CONIDX,CONIPOS,CONJPOS,SGAS,WELL,SWAT,DRAWDOWN,DATE,CONBPRES,WELLMODEL,DEPTH,PRESSURE,CONKPOS
10,17,42,0.0,R_A6,1.0,0,2018-01-01,306.0152587890625,STANDARD,1707.937255859375,306.0152587890625,10
11,17,42,0.0,R_A6,1.0,0,2018-01-01,306.1957092285156,STANDARD,1709.8399658203125,306.1957092285156,11
12,17,42,0.0,R_A6,1.0,0,2018-01-01,306.4109802246094,STANDARD,1712.1114501953125,306.4109802246094,12
13,17,42,0.0,R_A6,1.0,0,2018-01-01,306.6382141113281,STANDARD,1714.3829345703125,306.6382141113281,13
14,17,42,0.0,R_A6,1.0,0,2018-01-01,306.8534851074219,STANDARD,1716.6544189453125,306.8534851074219,14
15,17,42,0.0,R_A6,1.0,0,2018-01-01,307.06878662109375,STANDARD,1718.9259033203125,307.06878662109375,15
16,17,42,0.0,R_A6,1.0,0,2018-01-01,307.4290771484375,STANDARD,1721.1973876953125,307.4290771484375,16
17,17,42,0.0,R_A6,1.0,0,2018-01-01,307.64434814453125,STANDARD,1723.4688720703125,307.64434814453125,17
18,17,42,0.0,R_A6,1.0,0,2018-01-01,307.7949523925781,STANDARD,1725.0577392578125,307.7949523925781,18
19,17,42,0.0,R_A6,1.0,0,2018-01-01,307.76177978515625,STANDARD,1726.365234375,307.76177978515625,26
20,17,42,0.0,R_A6,1.0,0,2018-01-01,307.9237060546875,STANDARD,1728.0738525390625,307.9237060546875,27
21,17,42,0.0,R_A6,1.0,0,2018-01-01,308.3914489746094,STANDARD,1729.782470703125,308.3914489746094,28
22,17,42,0.0,R_A6,1.0,0,2018-01-01,308.5533752441406,STANDARD,1731.4910888671875,308.5533752441406,29
23,17,42,0.0,R_A6,1.0,0,2018-01-01,308.4095458984375,STANDARD,1733.19970703125,308.4095458984375,30
1,22,30,0.0,R_A2,0.05403624102473259,0,2018-03-01,297.54925537109375,STANDARD,1640.7071533203125,297.54925537109375,1
2,22,30,0.0,R_A2,0.09440677613019943,0,2018-03-01,297.6670837402344,STANDARD,1642.4620361328125,297.6670837402344,2
3,22,30,0.0,R_A2,0.058960072696208954,0,2018-03-01,297.7849426269531,STANDARD,1644.2169189453125,297.7849426269531,3
4,22,30,0.0,R_A2,0.06409473717212677,0,2018-03-01,297.9027099609375,STANDARD,1645.9718017578125,297.9027099609375,4
5,22,30,0.0,R_A2,0.06764111667871475,0,2018-03-01,298.0203857421875,STANDARD,1647.7266845703125,298.0203857421875,5
6,22,30,0.0,R_A2,0.6495485901832581,0,2018-03-01,298.1328125,STANDARD,1649.481689453125,298.1328125,6
7,22,30,0.0,R_A2,0.8700022101402283,0,2018-03-01,298.28497314453125,STANDARD,1651.236572265625,298.28497314453125,7
8,22,30,0.0,R_A2,0.8601405024528503,0,2018-03-01,298.4191589355469,STANDARD,1652.991455078125,298.4191589355469,8
9,22,30,0.0,R_A2,0.27939578890800476,0,2018-03-01,299.5746154785156,STANDARD,1654.746337890625,299.5746154785156,9
10,22,30,0.0,R_A2,0.8834347724914551,0,2018-03-01,299.61785888671875,STANDARD,1656.501220703125,299.61785888671875,10
11,22,30,0.0,R_A2,0.06765726953744888,0,2018-03-01,299.36834716796875,STANDARD,1658.406005859375,299.36834716796875,11
12,22,30,0.0,R_A2,0.0693594217300415,0,2018-03-01,299.5066833496094,STANDARD,1660.4609375,299.5066833496094,12
