CONJPOS,PRESSURE,SWAT,WELLMODEL,CONIPOS,CONBPRES,DEPTH,SGAS,WELL,DATE,CONKPOS,DRAWDOWN,CONIDX
20,280.6929931640625,1.0,STANDARD,31,280.6929931640625,1694.474365234375,-9.164710657039166e-11,R_A5,2018-04-28,6,0,6
20,281.2052307128906,1.0,STANDARD,31,281.2052307128906,1696.49951171875,-6.820687677849824e-12,R_A5,2018-04-28,7,0,7
20,278.8454284667969,1.0,STANDARD,31,278.8454284667969,1704.6007080078125,-2.3431678819463286e-10,R_A5,2018-04-28,11,0,8
21,278.1893005371094,1.0,STANDARD,31,278.1893005371094,1703.158203125,-3.71955001521318e-11,R_A5,2018-04-28,12,0,9
21,278.3986511230469,1.0,STANDARD,31,278.3986511230469,1705.220947265625,-1.3339812110838012e-12,R_A5,2018-04-28,13,0,10
21,278.60546875,1.0,STANDARD,31,278.60546875,1707.28369140625,-1.9253108222289095e-12,R_A5,2018-04-28,14,0,11
21,278.8110046386719,1.0,STANDARD,31,278.8110046386719,1709.346435546875,-4.33756437885624e-13,R_A5,2018-04-28,15,0,12
21,279.1761779785156,1.0,STANDARD,31,279.1761779785156,1711.4091796875,-7.83513743251793e-14,R_A5,2018-04-28,16,0,13
21,279.41265869140625,1.0,STANDARD,31,279.41265869140625,1713.4720458984375,-1.0849422759934974e-13,R_A5,2018-04-28,17,0,14
21,279.5616149902344,1.0,STANDARD,31,279.5616149902344,1714.918212890625,-1.0348824085822019e-14,R_A5,2018-04-28,18,0,15
21,283.4847717285156,1.0,STANDARD,31,283.4847717285156,1716.6697998046875,-1.4863096864381475e-11,R_A5,2018-04-28,25,0,16
21,283.69671630859375,1.0,STANDARD,31,283.69671630859375,1718.9217529296875,-1.8190468228929113e-11,R_A5,2018-04-28,26,0,17
21,290.6975402832031,1.0,STANDARD,31,290.6975402832031,1721.1737060546875,-9.253888715493047e-18,R_A5,2018-04-28,27,0,18
21,286.41253662109375,1.0,STANDARD,31,286.41253662109375,1723.4256591796875,-6.028569384284666e-15,R_A5,2018-04-28,28,0,19
21,299.78131103515625,1.0,STANDARD,31,299.78131103515625,1725.6776123046875,-4.0311021225880254e-19,R_A5,2018-04-28,29,0,20
41,270.99041748046875,0.13910402357578278,STANDARD,28,270.99041748046875,1609.1639404296875,0.0,R_A3,2018-07-03,1,0,1
41,271.1348571777344,0.12079104781150818,STANDARD,28,271.1348571777344,1611.3348388671875,0.0,R_A3,2018-07-03,2,0,2
41,271.2792663574219,0.19489599764347076,STANDARD,28,271.2792663574219,1613.5057373046875,0.0,R_A3,2018-07-03,3,0,3
41,271.41595458984375,0.3736470937728882,STANDARD,28,271.41595458984375,1615.6767578125,0.0,R_A3,2018-07-03,4,0,4
41,271.8128356933594,0.8113713264465332,STANDARD,28,271.8128356933594,1617.84765625,0.0,R_A3,2018-07-03,5,0,5
41,271.63079833984375,0.6499669551849365,STANDARD,28,271.63079833984375,1620.0185546875,0.0,R_A3,2018-07-03,6,0,6
41,271.77496337890625,0.2058812528848648,STANDARD,28,271.77496337890625,1622.189453125,0.0,R_A3,2018-07-03,7,0,7
41,271.9193420410156,0.2079681158065796,STANDARD,28,271.9193420410156,1624.3604736328125,0.0,R_A3,2018-07-03,8,0,8
41,271.3591613769531,0.7899612188339233,STANDARD,29,271.3591613769531,1615.604248046875,0.0,R_A3,2018-07-03,9,0,9
41,271.49139404296875,0.7898394465446472,STANDARD,29,271.49139404296875,1617.552490234375,0.0,R_A3,2018-07-03,10,0,10
41,288.6889953613281,0.04752826690673828,STANDARD,29,288.6889953613281,1619.6597900390625,0.0,R_A3,2018-07-03,11,0,11
41,288.8405456542969,0.05216604098677635,STANDARD,29,288.8405456542969,1621.92626953125,0.0,R_A3,2018-07-03,12,0,12
41,288.99249267578125,0.3601219654083252,STANDARD,29,288.99249267578125,1624.192626953125,0.0,R_A3,2018-07-03,13,0,13
41,289.7211608886719,0.6027353405952454,STANDARD,29,289.7211608886719,1628.653076171875,0.0,R_A3,2018-07-03,15,0,14
41,289.82989501953125,0.7978000640869141,STANDARD,29,289.82989501953125,1630.2796630859375,0.0,R_A3,2018-07-03,16,0,15
41,289.8771057128906,0.776758074760437,STANDARD,29,289.8771057128906,1630.983642578125,0.0,R_A3,2018-07-03,17,0,16
41,291.474609375,1.0,STANDARD,29,291.474609375,1632.955078125,7.168431023470492e-14,R_A3,2018-07-03,25,0,17
41,286.91986083984375,0.1495836228132248,STANDARD,29,286.91986083984375,1636.621826171875,0.0,R_A3,2018-07-03,26,0,18
41,287.14434814453125,0.05281343311071396,STANDARD,29,287.14434814453125,1640.28857421875,0.0,R_A3,2018-07-03,27,0,19
41,287.4065856933594,0.2238149791955948,STANDARD,29,287.4065856933594,1643.9552001953125,0.0,R_A3,2018-07-03,28,0,20
41,287.689208984375,0.06049620360136032,STANDARD,29,287.689208984375,1647.6219482421875,0.0,R_A3,2018-07-03,29,0,21
52,281.766357421875,0.0495748333632946,STANDARD,30,281.766357421875,1630.5546875,0.0,R_A4,2018-09-12,1,0,1
52,281.55877685546875,0.0481424517929554,STANDARD,31,281.55877685546875,1627.422607421875,0.0,R_A4,2018-09-12,1,0,2
52,281.69482421875,0.04966912418603897,STANDARD,31,281.69482421875,1629.461181640625,0.0,R_A4,2018-09-12,2,0,3
52,281.8308410644531,0.05119531974196434,STANDARD,31,281.8308410644531,1631.499755859375,0.0,R_A4,2018-09-12,3,0,4
52,281.9668884277344,0.05351503938436508,STANDARD,31,281.9668884277344,1633.538330078125,0.0,R_A4,2018-09-12,4,0,5
52,281.8641662597656,0.05495055392384529,STANDARD,32,281.8641662597656,1632.12060546875,0.0,R_A4,2018-09-12,4,0,6
52,281.9901123046875,0.056036971509456635,STANDARD,32,281.9901123046875,1634.00830078125,0.0,R_A4,2018-09-12,5,0,7
51,282.07659912109375,0.05609599128365517,STANDARD,32,282.07659912109375,1635.585693359375,0.0,R_A4,2018-09-12,5,0,8
51,282.2204284667969,0.05587204918265343,STANDARD,33,282.2204284667969,1638.23291015625,0.0,R_A4,2018-09-12,5,0,9
51,282.1012878417969,0.05721229314804077,STANDARD,33,282.1012878417969,1636.447265625,0.0,R_A4,2018-09-12,4,0,10
51,281.9821472167969,0.055756743997335434,STANDARD,33,281.9821472167969,1634.6617431640625,0.0,R_A4,2018-09-12,3,0,11
50,282.2780456542969,0.06035520136356354,STANDARD,33,282.2780456542969,1639.6024169921875,0.0,R_A4,2018-09-12,3,0,12
50,282.2835998535156,0.060629356652498245,STANDARD,34,282.2835998535156,1640.675537109375,0.0,R_A4,2018-09-12,3,0,13
50,282.1602478027344,0.19838307797908783,STANDARD,34,282.1602478027344,1638.8238525390625,0.0,R_A4,2018-09-12,2,0,14
50,282.3642883300781,0.27775755524635315,STANDARD,35,282.3642883300781,1643.2939453125,0.0,R_A4,2018-09-12,2,0,15
50,282.2463073730469,0.22484755516052246,STANDARD,35,282.2463073730469,1641.5567626953125,0.0,R_A4,2018-09-12,1,0,16
49,277.5281066894531,0.05828293785452843,STANDARD,36,277.5281066894531,1645.9384765625,0.0,R_A4,2018-09-12,27,0,17
49,277.1194152832031,0.09184418618679047,STANDARD,36,277.1194152832031,1639.8953857421875,0.0,R_A4,2018-09-12,26,0,18
48,276.4781494140625,0.09797143191099167,STANDARD,36,276.4781494140625,1636.421142578125,0.0,R_A4,2018-09-12,26,0,19
48,277.6944274902344,0.3253711760044098,STANDARD,37,277.6944274902344,1647.7945556640625,0.0,R_A4,2018-09-12,26,0,20
48,278.4019775390625,0.30718666315078735,STANDARD,38,278.4019775390625,1653.9510498046875,0.0,R_A4,2018-09-12,26,0,21
47,278.37744140625,0.269149512052536,STANDARD,38,278.37744140625,1656.8204345703125,0.0,R_A4,2018-09-12,26,0,22
42,276.9730529785156,1.0,STANDARD,17,276.9730529785156,1695.931884765625,-2.182209711461833e-15,R_A6,2018-11-07,1,0,1
42,277.1190490722656,1.0,STANDARD,17,277.1190490722656,1697.4932861328125,-6.125112823184172e-16,R_A6,2018-11-07,2,0,2
42,277.2618103027344,1.0,STANDARD,17,277.2618103027344,1699.0548095703125,-3.8912378606485297e-16,R_A6,2018-11-07,3,0,3
42,277.4006042480469,1.0,STANDARD,17,277.4006042480469,1700.6163330078125,-3.0921234201049773e-16,R_A6,2018-11-07,4,0,4
42,277.5376892089844,1.0,STANDARD,17,277.5376892089844,1702.1778564453125,-3.618398754519467e-16,R_A6,2018-11-07,5,0,5
42,277.67822265625,1.0,STANDARD,17,277.67822265625,1703.7392578125,-1.668515992687622e-14,R_A6,2018-11-07,6,0,6
42,277.5224609375,1.0,STANDARD,17,277.5224609375,1705.30078125,-2.6523518760002487e-14,R_A6,2018-11-07,7,0,7
42,277.6692810058594,1.0,STANDARD,17,277.6692810058594,1706.8623046875,-2.1719007275706852e-14,R_A6,2018-11-07,8,0,8
42,278.1114807128906,1.0,STANDARD,17,278.1114807128906,1708.423828125,-1.6924607670735538e-15,R_A6,2018-11-07,9,0,9
42,277.9399108886719,1.0,STANDARD,17,277.9399108886719,1709.9853515625,-2.0420605039827427e-13,R_A6,2018-11-07,10,0,10
42,278.67974853515625,1.0,STANDARD,17,278.67974853515625,1711.897216796875,4.412283560707112e-15,R_A6,2018-11-07,11,0,11
42,278.93927001953125,1.0,STANDARD,17,278.93927001953125,1714.1593017578125,7.255519584151214e-16,R_A6,2018-11-07,12,0,12
42,279.2164306640625,1.0,STANDARD,17,279.2164306640625,1716.42138671875,1.0922493825311143e-16,R_A6,2018-11-07,13,0,13
42,279.4307861328125,1.0,STANDARD,17,279.4307861328125,1718.68359375,9.54989281615331e-17,R_A6,2018-11-07,14,0,14
