DEPTH,DATE,WELLMODEL,CONBPRES,PRESSURE,CONKPOS,SWAT,CONIPOS,SGAS,CONIDX,DRAWDOWN,WELL,CONJPOS
1707.5906982421875,2018-01-01,STANDARD,306.2882080078125,306.2882080078125,9,1.0,17,0.0,9,0,R_A6,42
1709.1392822265625,2018-01-01,STANDARD,306.1291809082031,306.1291809082031,10,1.0,17,0.0,10,0,R_A6,42
1711.055419921875,2018-01-01,STANDARD,306.3109130859375,306.3109130859375,11,1.0,17,0.0,11,0,R_A6,42
1713.3392333984375,2018-01-01,STANDARD,306.52734375,306.52734375,12,1.0,17,0.0,12,0,R_A6,42
1715.623046875,2018-01-01,STANDARD,306.7557678222656,306.7557678222656,13,1.0,17,0.0,13,0,R_A6,42
1717.9068603515625,2018-01-01,STANDARD,306.9721984863281,306.9721984863281,14,1.0,17,0.0,14,0,R_A6,42
1720.190673828125,2018-01-01,STANDARD,307.18865966796875,307.18865966796875,15,1.0,17,0.0,15,0,R_A6,42
1722.474365234375,2018-01-01,STANDARD,307.55010986328125,307.55010986328125,16,1.0,17,0.0,16,0,R_A6,42
1724.7581787109375,2018-01-01,STANDARD,307.7665710449219,307.7665710449219,17,1.0,17,0.0,17,0,R_A6,42
1726.394287109375,2018-01-01,STANDARD,307.921630859375,307.921630859375,18,1.0,17,0.0,18,0,R_A6,42
1727.7508544921875,2018-01-01,STANDARD,307.8930969238281,307.8930969238281,27,1.0,17,0.0,19,0,R_A6,42
1729.4755859375,2018-01-01,STANDARD,308.3623352050781,308.3623352050781,28,1.0,17,0.0,20,0,R_A6,42
1731.2001953125,2018-01-01,STANDARD,308.52581787109375,308.52581787109375,29,1.0,17,0.0,21,0,R_A6,42
1732.9249267578125,2018-01-01,STANDARD,308.68927001953125,308.68927001953125,30,1.0,17,0.0,22,0,R_A6,42
1734.649658203125,2018-01-01,STANDARD,308.5469665527344,308.5469665527344,31,1.0,17,0.0,23,0,R_A6,42
1641.094970703125,2018-03-01,STANDARD,296.68792724609375,296.68792724609375,1,0.05672312527894974,22,0.0,1,0,R_A2,30
1642.8890380859375,2018-03-01,STANDARD,296.8080749511719,296.8080749511719,2,0.05871463194489479,22,0.0,2,0,R_A2,30
1644.68310546875,2018-03-01,STANDARD,296.9281921386719,296.9281921386719,3,0.062027331441640854,22,0.0,3,0,R_A2,30
1646.4771728515625,2018-03-01,STANDARD,297.0483093261719,297.0483093261719,4,0.06790407747030258,22,0.0,4,0,R_A2,30
1648.2713623046875,2018-03-01,STANDARD,297.1684875488281,297.1684875488281,5,0.07135019451379776,22,0.0,5,0,R_A2,30
1650.0654296875,2018-03-01,STANDARD,297.3289794921875,297.3289794921875,6,0.32142096757888794,22,0.0,6,0,R_A2,30
1651.859619140625,2018-03-01,STANDARD,297.4887390136719,297.4887390136719,7,0.8948907852172852,22,0.0,7,0,R_A2,30
1653.6536865234375,2018-03-01,STANDARD,297.6733703613281,297.6733703613281,8,0.7221741080284119,22,0.0,8,0,R_A2,30
1655.44775390625,2018-03-01,STANDARD,298.1678466796875,298.1678466796875,9,0.8978743553161621,22,0.0,9,0,R_A2,30
1657.2418212890625,2018-03-01,STANDARD,298.9983215332031,298.9983215332031,10,0.9283413290977478,22,0.0,10,0,R_A2,30
1659.1368408203125,2018-03-01,STANDARD,299.5589294433594,299.5589294433594,11,0.07667745649814606,22,0.0,11,0,R_A2,30
1661.132568359375,2018-03-01,STANDARD,299.6926574707031,299.6926574707031,12,0.08029474318027496,22,0.0,12,0,R_A2,30
1663.12841796875,2018-03-01,STANDARD,299.8277282714844,299.8277282714844,13,0.4426933228969574,22,0.0,13,0,R_A2,30
1665.1241455078125,2018-03-01,STANDARD,299.9649963378906,299.9649963378906,14,0.5040683150291443,22,0.0,14,0,R_A2,30
1667.1199951171875,2018-03-01,STANDARD,300.1046142578125,300.1046142578125,15,0.6873554587364197,22,0.0,15,0,R_A2,30
1669.11572265625,2018-03-01,STANDARD,300.2391052246094,300.2391052246094,16,0.9696407318115234,22,0.0,16,0,R_A2,30
1671.111572265625,2018-03-01,STANDARD,300.3746337890625,300.3746337890625,17,0.9681497812271118,22,0.0,17,0,R_A2,30
1672.9881591796875,2018-03-01,STANDARD,300.5018615722656,300.5018615722656,18,0.9883117079734802,22,0.0,18,0,R_A2,30
1674.229736328125,2018-03-01,STANDARD,300.5054016113281,300.5054016113281,18,0.9956541657447815,22,0.0,19,0,R_A2,29
1676.1676025390625,2018-03-01,STANDARD,303.01507568359375,303.01507568359375,27,1.0,22,7.225132806564058e-17,20,0,R_A2,29
1677.9368896484375,2018-03-01,STANDARD,303.4673156738281,303.4673156738281,28,1.0,22,4.766131640597045e-17,21,0,R_A2,29
1679.7061767578125,2018-03-01,STANDARD,303.6300964355469,303.6300964355469,29,1.0,22,2.007036627585184e-17,22,0,R_A2,29
