SGAS,DRAWDOWN,DEPTH,WELL,CONIPOS,CONIDX,CONBPRES,CONJPOS,SWAT,DATE,CONKPOS,PRESSURE,WELLMODEL
0.0,0,1697.4107666015625,R_A6,17,3,305.3234558105469,42,1.0,2018-01-01,3,305.3234558105469,STANDARD
0.0,0,1698.9403076171875,R_A6,17,4,305.4684143066406,42,1.0,2018-01-01,4,305.4684143066406,STANDARD
0.0,0,1700.4698486328125,R_A6,17,5,305.6133728027344,42,1.0,2018-01-01,5,305.6133728027344,STANDARD
0.0,0,1701.9993896484375,R_A6,17,6,305.75830078125,42,1.0,2018-01-01,6,305.75830078125,STANDARD
0.0,0,1703.52880859375,R_A6,17,7,305.6042175292969,42,1.0,2018-01-01,7,305.6042175292969,STANDARD
0.0,0,1705.058349609375,R_A6,17,8,305.7491760253906,42,1.0,2018-01-01,8,305.7491760253906,STANDARD
0.0,0,1706.587890625,R_A6,17,9,306.19317626953125,42,1.0,2018-01-01,9,306.19317626953125,STANDARD
0.0,0,1708.117431640625,R_A6,17,10,306.0323486328125,42,1.0,2018-01-01,10,306.0323486328125,STANDARD
0.0,0,1710.017333984375,R_A6,17,11,306.2125244140625,42,1.0,2018-01-01,11,306.2125244140625,STANDARD
0.0,0,1712.287841796875,R_A6,17,12,306.4277038574219,42,1.0,2018-01-01,12,306.4277038574219,STANDARD
0.0,0,1714.5582275390625,R_A6,17,13,306.65484619140625,42,1.0,2018-01-01,13,306.65484619140625,STANDARD
0.0,0,1716.82861328125,R_A6,17,14,306.8700256347656,42,1.0,2018-01-01,14,306.8700256347656,STANDARD
0.0,0,1719.0989990234375,R_A6,17,15,307.085205078125,42,1.0,2018-01-01,15,307.085205078125,STANDARD
0.0,0,1721.369384765625,R_A6,17,16,307.44537353515625,42,1.0,2018-01-01,16,307.44537353515625,STANDARD
0.0,0,1723.6397705078125,R_A6,17,17,307.6605529785156,42,1.0,2018-01-01,17,307.6605529785156,STANDARD
0.0,0,1725.2127685546875,R_A6,17,18,307.80963134765625,42,1.0,2018-01-01,18,307.80963134765625,STANDARD
0.0,0,1726.50244140625,R_A6,17,19,307.7747802734375,42,1.0,2018-01-01,27,307.7747802734375,STANDARD
0.0,0,1728.2064208984375,R_A6,17,20,308.2420654296875,42,1.0,2018-01-01,28,308.2420654296875,STANDARD
0.0,0,1729.9102783203125,R_A6,17,21,308.403564453125,42,1.0,2018-01-01,29,308.403564453125,STANDARD
0.0,0,1731.6142578125,R_A6,17,22,308.5650634765625,42,1.0,2018-01-01,30,308.5650634765625,STANDARD
0.0,0,1733.3182373046875,R_A6,17,23,308.4207763671875,42,1.0,2018-01-01,31,308.4207763671875,STANDARD
0.0,0,1641.9775390625,R_A2,22,1,296.71417236328125,30,0.055185072124004364,2018-03-01,1,296.71417236328125,STANDARD
0.0,0,1643.70947265625,R_A2,22,2,296.8302001953125,30,0.0565352737903595,2018-03-01,2,296.8302001953125,STANDARD
0.0,0,1645.44140625,R_A2,22,3,296.9461975097656,30,0.0605073943734169,2018-03-01,3,296.9461975097656,STANDARD
0.0,0,1647.17333984375,R_A2,22,4,297.0622253417969,30,0.06599502265453339,2018-03-01,4,297.0622253417969,STANDARD
0.0,0,1648.9052734375,R_A2,22,5,297.1782531738281,30,0.06967860460281372,2018-03-01,5,297.1782531738281,STANDARD
0.0,0,1650.63720703125,R_A2,22,6,297.34246826171875,30,0.31789839267730713,2018-03-01,6,297.34246826171875,STANDARD
0.0,0,1652.369140625,R_A2,22,7,297.4715881347656,30,0.8830770254135132,2018-03-01,7,297.4715881347656,STANDARD
0.0,0,1654.10107421875,R_A2,22,8,297.5950622558594,30,0.8640367388725281,2018-03-01,8,297.5950622558594,STANDARD
0.0,0,1655.8330078125,R_A2,22,9,297.9684753417969,30,0.8825516104698181,2018-03-01,9,297.9684753417969,STANDARD
0.0,0,1657.5648193359375,R_A2,22,10,298.37677001953125,30,0.9020786285400391,2018-03-01,10,298.37677001953125,STANDARD
0.0,0,1659.4691162109375,R_A2,22,11,299.0763854980469,30,0.07306034862995148,2018-03-01,11,299.0763854980469,STANDARD
0.0,0,1663.6219482421875,R_A2,22,12,299.86468505859375,30,0.44359341263771057,2018-03-01,13,299.86468505859375,STANDARD
0.0,0,1665.698486328125,R_A2,22,13,300.0041809082031,30,0.4923788011074066,2018-03-01,14,300.0041809082031,STANDARD
0.0,0,1667.77490234375,R_A2,22,14,300.1428527832031,30,0.9283618330955505,2018-03-01,15,300.1428527832031,STANDARD
0.0,0,1669.851318359375,R_A2,22,15,300.281494140625,30,0.9503869414329529,2018-03-01,16,300.281494140625,STANDARD
0.0,0,1671.9278564453125,R_A2,22,16,300.4206237792969,30,0.9075868129730225,2018-03-01,17,300.4206237792969,STANDARD
0.0,0,1673.573974609375,R_A2,22,17,300.53118896484375,30,0.9774647355079651,2018-03-01,18,300.53118896484375,STANDARD
-1.5065180616132164e-14,0,1675.0419921875,R_A2,22,18,302.54669189453125,30,1.0,2018-03-01,27,302.54669189453125,STANDARD
-8.051580735617711e-16,0,1676.7620849609375,R_A2,22,19,302.93621826171875,30,1.0,2018-03-01,28,302.93621826171875,STANDARD
