PRESSURE,DATE,SWAT,CONKPOS,CONIDX,DRAWDOWN,CONIPOS,WELLMODEL,WELL,CONBPRES,DEPTH,SGAS,CONJPOS
305.3400573730469,2018-01-01,1.0,10,9,0,31,STANDARD,R_A5,305.3400573730469,1697.585693359375,0.0,21
305.2461853027344,2018-01-01,1.0,11,10,0,31,STANDARD,R_A5,305.2461853027344,1699.8209228515625,0.0,21
305.448486328125,2018-01-01,1.0,12,11,0,31,STANDARD,R_A5,305.448486328125,1701.955322265625,0.0,21
305.6627197265625,2018-01-01,1.0,13,12,0,31,STANDARD,R_A5,305.6627197265625,1704.0897216796875,0.0,21
305.864990234375,2018-01-01,1.0,14,13,0,31,STANDARD,R_A5,305.864990234375,1706.22412109375,0.0,21
306.0672607421875,2018-01-01,1.0,15,14,0,31,STANDARD,R_A5,306.0672607421875,1708.3585205078125,0.0,21
306.41455078125,2018-01-01,1.0,16,15,0,31,STANDARD,R_A5,306.41455078125,1710.492919921875,0.0,21
306.6054992675781,2018-01-01,1.0,17,16,0,31,STANDARD,R_A5,306.6054992675781,1712.507568359375,0.0,21
306.7269592285156,2018-01-01,1.0,18,17,0,31,STANDARD,R_A5,306.7269592285156,1713.7890625,0.0,21
306.7835998535156,2018-01-01,1.0,19,18,0,31,STANDARD,R_A5,306.7835998535156,1714.38671875,0.0,21
306.7645263671875,2018-01-01,1.0,25,19,0,31,STANDARD,R_A5,306.7645263671875,1715.8431396484375,0.0,21
306.9800720214844,2018-01-01,1.0,26,20,0,31,STANDARD,R_A5,306.9800720214844,1718.117431640625,0.0,21
307.50140380859375,2018-01-01,1.0,27,21,0,31,STANDARD,R_A5,307.50140380859375,1720.391845703125,0.0,21
307.71697998046875,2018-01-01,1.0,28,22,0,31,STANDARD,R_A5,307.71697998046875,1722.666259765625,0.0,21
307.9325256347656,2018-01-01,1.0,29,23,0,31,STANDARD,R_A5,307.9325256347656,1724.940673828125,0.0,21
305.0516052246094,2018-01-01,1.0,1,1,0,17,STANDARD,R_A6,305.0516052246094,1694.542236328125,0.0,42
305.197509765625,2018-01-01,1.0,2,2,0,17,STANDARD,R_A6,305.197509765625,1696.08154296875,0.0,42
305.3433837890625,2018-01-01,1.0,3,3,0,17,STANDARD,R_A6,305.3433837890625,1697.620849609375,0.0,42
305.4892578125,2018-01-01,1.0,4,4,0,17,STANDARD,R_A6,305.4892578125,1699.16015625,0.0,42
305.6351318359375,2018-01-01,1.0,5,5,0,17,STANDARD,R_A6,305.6351318359375,1700.6995849609375,0.0,42
305.4819641113281,2018-01-01,1.0,6,6,0,17,STANDARD,R_A6,305.4819641113281,1702.2388916015625,0.0,42
305.6278381347656,2018-01-01,1.0,7,7,0,17,STANDARD,R_A6,305.6278381347656,1703.7781982421875,0.0,42
305.77374267578125,2018-01-01,1.0,8,8,0,17,STANDARD,R_A6,305.77374267578125,1705.3175048828125,0.0,42
306.2186584472656,2018-01-01,1.0,9,9,0,17,STANDARD,R_A6,306.2186584472656,1706.85693359375,0.0,42
306.0587463378906,2018-01-01,1.0,10,10,0,17,STANDARD,R_A6,306.0587463378906,1708.396240234375,0.0,42
306.2427673339844,2018-01-01,1.0,11,11,0,17,STANDARD,R_A6,306.2427673339844,1710.3365478515625,0.0,42
306.46466064453125,2018-01-01,1.0,12,12,0,17,STANDARD,R_A6,306.46466064453125,1712.677978515625,0.0,42
306.69854736328125,2018-01-01,1.0,13,13,0,17,STANDARD,R_A6,306.69854736328125,1715.0194091796875,0.0,42
306.9204406738281,2018-01-01,1.0,14,14,0,17,STANDARD,R_A6,306.9204406738281,1717.36083984375,0.0,42
307.1423645019531,2018-01-01,1.0,15,15,0,17,STANDARD,R_A6,307.1423645019531,1719.7021484375,0.0,42
307.50927734375,2018-01-01,1.0,16,16,0,17,STANDARD,R_A6,307.50927734375,1722.0435791015625,0.0,42
307.7311706542969,2018-01-01,1.0,17,17,0,17,STANDARD,R_A6,307.7311706542969,1724.385009765625,0.0,42
307.86572265625,2018-01-01,1.0,18,18,0,17,STANDARD,R_A6,307.86572265625,1725.8046875,0.0,42
307.81365966796875,2018-01-01,1.0,25,19,0,17,STANDARD,R_A6,307.81365966796875,1726.9127197265625,0.0,42
308.2823181152344,2018-01-01,1.0,26,20,0,17,STANDARD,R_A6,308.2823181152344,1728.6309814453125,0.0,42
308.4451599121094,2018-01-01,1.0,27,21,0,17,STANDARD,R_A6,308.4451599121094,1730.3492431640625,0.0,42
308.6080322265625,2018-01-01,1.0,28,22,0,17,STANDARD,R_A6,308.6080322265625,1732.0675048828125,0.0,42
308.465087890625,2018-01-01,1.0,29,23,0,17,STANDARD,R_A6,308.465087890625,1733.785888671875,0.0,42
298.2697448730469,2018-03-01,0.05503462627530098,1,1,0,22,STANDARD,R_A2,298.2697448730469,1641.7451171875,0.0,30
298.3900146484375,2018-03-01,0.05716368183493614,2,2,0,22,STANDARD,R_A2,298.3900146484375,1643.539794921875,0.0,30
298.5102844238281,2018-03-01,0.061118364334106445,3,3,0,22,STANDARD,R_A2,298.5102844238281,1645.3343505859375,0.0,30
298.6305847167969,2018-03-01,0.06785638630390167,4,4,0,22,STANDARD,R_A2,298.6305847167969,1647.1290283203125,0.0,30
298.75091552734375,2018-03-01,0.07087048888206482,5,5,0,22,STANDARD,R_A2,298.75091552734375,1648.9237060546875,0.0,30
299.1402893066406,2018-03-01,0.3033277988433838,6,6,0,22,STANDARD,R_A2,299.1402893066406,1650.7183837890625,0.0,30
299.33648681640625,2018-03-01,0.6483634114265442,7,7,0,22,STANDARD,R_A2,299.33648681640625,1652.512939453125,0.0,30
299.45709228515625,2018-03-01,0.6488338708877563,8,8,0,22,STANDARD,R_A2,299.45709228515625,1654.3076171875,0.0,30
299.5782165527344,2018-03-01,0.2337779700756073,9,9,0,22,STANDARD,R_A2,299.5782165527344,1656.102294921875,0.0,30
299.7894592285156,2018-03-01,0.18182413280010223,10,10,0,22,STANDARD,R_A2,299.7894592285156,1657.89697265625,0.0,30
299.9277648925781,2018-03-01,0.07103008031845093,11,11,0,22,STANDARD,R_A2,299.9277648925781,1659.8165283203125,0.0,30
300.55889892578125,2018-03-01,0.4374068081378937,13,12,0,22,STANDARD,R_A2,300.55889892578125,1663.9056396484375,0.0,30
300.6959533691406,2018-03-01,0.4833860993385315,14,13,0,22,STANDARD,R_A2,300.6959533691406,1665.9501953125,0.0,30
300.830322265625,2018-03-01,0.9170423150062561,15,14,0,22,STANDARD,R_A2,300.830322265625,1667.9947509765625,0.0,30
300.9654235839844,2018-03-01,0.9575673341751099,16,15,0,22,STANDARD,R_A2,300.9654235839844,1670.039306640625,0.0,30
301.10162353515625,2018-03-01,0.9177665114402771,17,16,0,22,STANDARD,R_A2,301.10162353515625,1672.0838623046875,0.0,30
300.7512512207031,2018-03-01,0.8924709558486938,17,17,0,22,STANDARD,R_A2,300.7512512207031,1672.172119140625,0.0,29
300.88262939453125,2018-03-01,0.9662792682647705,18,18,0,22,STANDARD,R_A2,300.88262939453125,1674.1280517578125,0.0,29
303.0820007324219,2018-03-01,1.0,25,19,0,22,STANDARD,R_A2,303.0820007324219,1676.06103515625,-6.393886224105973e-15,29
303.1731262207031,2018-03-01,1.0,26,20,0,22,STANDARD,R_A2,303.1731262207031,1677.8592529296875,-2.328761573226583e-14,29
303.1944580078125,2018-03-01,1.0,27,21,0,22,STANDARD,R_A2,303.1944580078125,1679.6573486328125,-2.165081807413427e-13,29
303.36956787109375,2018-03-01,1.0,28,22,0,22,STANDARD,R_A2,303.36956787109375,1681.4554443359375,-4.0566460780822045e-12,29
303.21392822265625,2018-03-01,0.9999966621398926,29,23,0,22,STANDARD,R_A2,303.21392822265625,1683.253662109375,0.0,29
276.2706604003906,2018-04-28,0.9999999403953552,1,1,0,31,STANDARD,R_A5,276.2706604003906,1685.5611572265625,-1.6118408829868258e-09,20
276.470947265625,2018-04-28,0.9999999403953552,2,2,0,31,STANDARD,R_A5,276.470947265625,1687.67431640625,-1.3882285321287213e-09,20
276.67144775390625,2018-04-28,0.9999999403953552,3,3,0,31,STANDARD,R_A5,276.67144775390625,1689.78759765625,-1.6851043893595374e-09,20
276.8719482421875,2018-04-28,0.9999999403953552,4,4,0,31,STANDARD,R_A5,276.8719482421875,1691.9007568359375,-1.6834810212529305e-09,20
277.072265625,2018-04-28,1.0,5,5,0,31,STANDARD,R_A5,277.072265625,1694.013916015625,-1.0522444027216693e-09,20
277.2725830078125,2018-04-28,1.0,6,6,0,31,STANDARD,R_A5,277.2725830078125,1696.1270751953125,-1.0431868702198699e-09,20
277.8577575683594,2018-04-28,1.0,7,7,0,31,STANDARD,R_A5,277.8577575683594,1698.240234375,-6.808166877481092e-12,20
276.4669189453125,2018-04-28,1.0,8,8,0,31,STANDARD,R_A5,276.4669189453125,1692.913818359375,-1.3973115720045115e-10,21
276.6005554199219,2018-04-28,1.0,10,9,0,31,STANDARD,R_A5,276.6005554199219,1697.585693359375,-7.0943069127582525e-12,21
275.9363708496094,2018-04-28,1.0,11,10,0,31,STANDARD,R_A5,275.9363708496094,1699.8209228515625,-1.0381692727712277e-10,21
276.1385192871094,2018-04-28,1.0,12,11,0,31,STANDARD,R_A5,276.1385192871094,1701.955322265625,-1.1163202306985198e-10,21
276.3533630371094,2018-04-28,1.0,13,12,0,31,STANDARD,R_A5,276.3533630371094,1704.0897216796875,-5.2316831422594134e-12,21
276.5569763183594,2018-04-28,1.0,14,13,0,31,STANDARD,R_A5,276.5569763183594,1706.22412109375,-6.489670779930012e-12,21
276.76007080078125,2018-04-28,1.0,15,14,0,31,STANDARD,R_A5,276.76007080078125,1708.3585205078125,-1.9576540909171936e-12,21
277.1117248535156,2018-04-28,1.0,16,15,0,31,STANDARD,R_A5,277.1117248535156,1710.492919921875,-3.7371614049902524e-13,21
277.3052978515625,2018-04-28,1.0,17,16,0,31,STANDARD,R_A5,277.3052978515625,1712.507568359375,-5.119836304044723e-13,21
277.4263000488281,2018-04-28,1.0,18,17,0,31,STANDARD,R_A5,277.4263000488281,1713.7890625,-2.73975294948686e-16,21
277.4827575683594,2018-04-28,1.0,19,18,0,31,STANDARD,R_A5,277.4827575683594,1714.38671875,0.0,21
289.0386962890625,2018-04-28,1.0,25,19,0,31,STANDARD,R_A5,289.0386962890625,1715.8431396484375,-3.307962931353714e-11,21
289.2882995605469,2018-04-28,1.0,26,20,0,31,STANDARD,R_A5,289.2882995605469,1718.117431640625,-4.472531373034272e-11,21
289.80999755859375,2018-04-28,1.0,27,21,0,31,STANDARD,R_A5,289.80999755859375,1720.391845703125,-1.4601063413888227e-11,21
290.04705810546875,2018-04-28,1.0,28,22,0,31,STANDARD,R_A5,290.04705810546875,1722.666259765625,-2.2210774885955686e-11,21
298.1134033203125,2018-04-28,1.0,29,23,0,31,STANDARD,R_A5,298.1134033203125,1724.940673828125,-1.0167629643246686e-18,21
291.7333984375,2018-07-03,0.2903595268726349,1,1,0,28,STANDARD,R_A3,291.7333984375,1609.3087158203125,0.0,41
291.8573303222656,2018-07-03,0.16997334361076355,2,2,0,28,STANDARD,R_A3,291.8573303222656,1611.3155517578125,0.0,41
291.3216552734375,2018-07-03,0.18724878132343292,3,3,0,29,STANDARD,R_A3,291.3216552734375,1604.4244384765625,0.0,41
291.4455871582031,2018-07-03,0.652282178401947,4,4,0,29,STANDARD,R_A3,291.4455871582031,1606.5318603515625,0.0,41
291.83123779296875,2018-07-03,0.8018004894256592,5,5,0,29,STANDARD,R_A3,291.83123779296875,1608.6392822265625,0.0,41
291.9924011230469,2018-07-03,0.6487202644348145,6,6,0,29,STANDARD,R_A3,291.9924011230469,1610.746826171875,0.0,41
292.176025390625,2018-07-03,0.19597379863262177,7,7,0,29,STANDARD,R_A3,292.176025390625,1612.854248046875,0.0,41
292.3171081542969,2018-07-03,0.20051461458206177,8,8,0,29,STANDARD,R_A3,292.3171081542969,1614.961669921875,0.0,41
292.4924621582031,2018-07-03,0.8000609874725342,9,9,0,29,STANDARD,R_A3,292.4924621582031,1617.069091796875,0.0,41
293.2577209472656,2018-07-03,0.7976714968681335,10,10,0,29,STANDARD,R_A3,293.2577209472656,1619.1766357421875,0.0,41
293.3721618652344,2018-07-03,0.04767380282282829,11,11,0,29,STANDARD,R_A3,293.3721618652344,1621.363525390625,0.0,41
