CONIDX,DRAWDOWN,CONKPOS,CONBPRES,SWAT,DEPTH,CONJPOS,DATE,CONIPOS,SGAS,PRESSURE,WELL,WELLMODEL
9,0,9,274.6573791503906,1.0,1708.41015625,42,2018-11-07,17,-1.0287412198148327e-12,274.6573791503906,R_A6,STANDARD
10,0,10,274.7769775390625,1.0,1709.980712890625,42,2018-11-07,17,0.0,274.7769775390625,R_A6,STANDARD
11,0,11,282.0957946777344,1.0,1711.9569091796875,42,2018-11-07,17,-2.9644482249063155e-17,282.0957946777344,R_A6,STANDARD
12,0,12,282.4249572753906,1.0,1714.3385009765625,42,2018-11-07,17,-8.836292916347216e-20,282.4249572753906,R_A6,STANDARD
13,0,13,282.6551208496094,1.0,1716.72021484375,42,2018-11-07,17,-1.3505216560933835e-18,282.6551208496094,R_A6,STANDARD
14,0,14,282.880615234375,1.0,1719.101806640625,42,2018-11-07,17,-7.496121125023855e-19,282.880615234375,R_A6,STANDARD
15,0,15,283.1062927246094,1.0,1721.4833984375,42,2018-11-07,17,-5.358812567230246e-19,283.1062927246094,R_A6,STANDARD
16,0,16,283.4773864746094,1.0,1723.8651123046875,42,2018-11-07,17,-2.2069300235067247e-19,283.4773864746094,R_A6,STANDARD
17,0,17,283.70330810546875,1.0,1726.246826171875,42,2018-11-07,17,-2.617362309300876e-19,283.70330810546875,R_A6,STANDARD
18,0,18,283.84222412109375,1.0,1727.712646484375,42,2018-11-07,17,-3.1108554193166566e-19,283.84222412109375,R_A6,STANDARD
19,0,28,283.97186279296875,1.0,1728.8631591796875,42,2018-11-07,17,-1.7746121930656455e-18,283.97186279296875,R_A6,STANDARD
20,0,29,284.1315002441406,1.0,1730.6142578125,42,2018-11-07,17,-3.883832695786674e-21,284.1315002441406,R_A6,STANDARD
21,0,30,284.8882751464844,1.0,1732.3653564453125,42,2018-11-07,17,-1.0115538932960973e-23,284.8882751464844,R_A6,STANDARD
22,0,31,284.5403137207031,1.0,1734.116455078125,42,2018-11-07,17,-1.0521774614802077e-18,284.5403137207031,R_A6,STANDARD
23,0,32,284.6968688964844,1.0,1735.867431640625,42,2018-11-07,17,-1.4306940690135543e-18,284.6968688964844,R_A6,STANDARD
