CONIDX,SGAS,SWAT,PRESSURE,CONKPOS,DRAWDOWN,WELLMODEL,DEPTH,WELL,CONJPOS,CONIPOS,CONBPRES,DATE
10,0.0,1.0,305.4322814941406,12,0,STANDARD,1701.7845458984375,R_A5,21,31,305.4322814941406,2018-01-01
11,0.0,1.0,305.6291198730469,13,0,STANDARD,1703.735107421875,R_A5,21,31,305.6291198730469,2018-01-01
12,0.0,1.0,305.81396484375,14,0,STANDARD,1705.6856689453125,R_A5,21,31,305.81396484375,2018-01-01
13,0.0,1.0,305.9988098144531,15,0,STANDARD,1707.63623046875,R_A5,21,31,305.9988098144531,2018-01-01
14,0.0,1.0,306.3287048339844,16,0,STANDARD,1709.5867919921875,R_A5,21,31,306.3287048339844,2018-01-01
15,0.0,1.0,306.5135498046875,17,0,STANDARD,1711.537353515625,R_A5,21,31,306.5135498046875,2018-01-01
16,0.0,1.0,306.6856994628906,18,0,STANDARD,1713.35400390625,R_A5,21,31,306.6856994628906,2018-01-01
17,0.0,1.0,306.7843933105469,19,0,STANDARD,1714.3951416015625,R_A5,21,31,306.7843933105469,2018-01-01
18,0.0,1.0,306.75689697265625,27,0,STANDARD,1715.7628173828125,R_A5,21,31,306.75689697265625,2018-01-01
19,0.0,1.0,306.978271484375,28,0,STANDARD,1718.098388671875,R_A5,21,31,306.978271484375,2018-01-01
20,0.0,1.0,307.5054016113281,29,0,STANDARD,1720.43408203125,R_A5,21,31,307.5054016113281,2018-01-01
21,0.0,1.0,307.7267761230469,30,0,STANDARD,1722.7696533203125,R_A5,21,31,307.7267761230469,2018-01-01
22,0.0,1.0,307.9481506347656,31,0,STANDARD,1725.105224609375,R_A5,21,31,307.9481506347656,2018-01-01
1,0.0,1.0,305.11419677734375,1,0,STANDARD,1695.20263671875,R_A6,42,17,305.11419677734375,2018-01-01
2,0.0,1.0,305.2609558105469,2,0,STANDARD,1696.7510986328125,R_A6,42,17,305.2609558105469,2018-01-01
3,0.0,1.0,305.4076843261719,3,0,STANDARD,1698.299560546875,R_A6,42,17,305.4076843261719,2018-01-01
4,0.0,1.0,305.554443359375,4,0,STANDARD,1699.84814453125,R_A6,42,17,305.554443359375,2018-01-01
5,0.0,1.0,305.7012023925781,5,0,STANDARD,1701.3966064453125,R_A6,42,17,305.7012023925781,2018-01-01
6,0.0,1.0,305.84796142578125,6,0,STANDARD,1702.9451904296875,R_A6,42,17,305.84796142578125,2018-01-01
7,0.0,1.0,305.6956481933594,7,0,STANDARD,1704.49365234375,R_A6,42,17,305.6956481933594,2018-01-01
8,0.0,1.0,305.8424072265625,8,0,STANDARD,1706.042236328125,R_A6,42,17,305.8424072265625,2018-01-01
9,0.0,1.0,306.2882080078125,9,0,STANDARD,1707.5906982421875,R_A6,42,17,306.2882080078125,2018-01-01
10,0.0,1.0,306.1291809082031,10,0,STANDARD,1709.1392822265625,R_A6,42,17,306.1291809082031,2018-01-01
11,0.0,1.0,306.3109130859375,11,0,STANDARD,1711.055419921875,R_A6,42,17,306.3109130859375,2018-01-01
12,0.0,1.0,306.52734375,12,0,STANDARD,1713.3392333984375,R_A6,42,17,306.52734375,2018-01-01
13,0.0,1.0,306.7557678222656,13,0,STANDARD,1715.623046875,R_A6,42,17,306.7557678222656,2018-01-01
14,0.0,1.0,306.9721984863281,14,0,STANDARD,1717.9068603515625,R_A6,42,17,306.9721984863281,2018-01-01
15,0.0,1.0,307.18865966796875,15,0,STANDARD,1720.190673828125,R_A6,42,17,307.18865966796875,2018-01-01
16,0.0,1.0,307.55010986328125,16,0,STANDARD,1722.474365234375,R_A6,42,17,307.55010986328125,2018-01-01
17,0.0,1.0,307.7665710449219,17,0,STANDARD,1724.7581787109375,R_A6,42,17,307.7665710449219,2018-01-01
18,0.0,1.0,307.921630859375,18,0,STANDARD,1726.394287109375,R_A6,42,17,307.921630859375,2018-01-01
