CONIDX,SGAS,SWAT,WELLMODEL,CONIPOS,DEPTH,DRAWDOWN,CONKPOS,CONBPRES,CONJPOS,DATE,PRESSURE,WELL
17,0.0,1.0,STANDARD,31,1714.3951416015625,0,19,306.7843933105469,21,2018-01-01,306.7843933105469,R_A5
18,0.0,1.0,STANDARD,31,1715.7628173828125,0,27,306.75689697265625,21,2018-01-01,306.75689697265625,R_A5
19,0.0,1.0,STANDARD,31,1718.098388671875,0,28,306.978271484375,21,2018-01-01,306.978271484375,R_A5
20,0.0,1.0,STANDARD,31,1720.43408203125,0,29,307.5054016113281,21,2018-01-01,307.5054016113281,R_A5
21,0.0,1.0,STANDARD,31,1722.7696533203125,0,30,307.7267761230469,21,2018-01-01,307.7267761230469,R_A5
22,0.0,1.0,STANDARD,31,1725.105224609375,0,31,307.9481506347656,21,2018-01-01,307.9481506347656,R_A5
1,0.0,1.0,STANDARD,17,1695.20263671875,0,1,305.11419677734375,42,2018-01-01,305.11419677734375,R_A6
2,0.0,1.0,STANDARD,17,1696.7510986328125,0,2,305.2609558105469,42,2018-01-01,305.2609558105469,R_A6
3,0.0,1.0,STANDARD,17,1698.299560546875,0,3,305.4076843261719,42,2018-01-01,305.4076843261719,R_A6
4,0.0,1.0,STANDARD,17,1699.84814453125,0,4,305.554443359375,42,2018-01-01,305.554443359375,R_A6
5,0.0,1.0,STANDARD,17,1701.3966064453125,0,5,305.7012023925781,42,2018-01-01,305.7012023925781,R_A6
6,0.0,1.0,STANDARD,17,1702.9451904296875,0,6,305.84796142578125,42,2018-01-01,305.84796142578125,R_A6
7,0.0,1.0,STANDARD,17,1704.49365234375,0,7,305.6956481933594,42,2018-01-01,305.6956481933594,R_A6
8,0.0,1.0,STANDARD,17,1706.042236328125,0,8,306.1414489746094,42,2018-01-01,306.1414489746094,R_A6
9,0.0,1.0,STANDARD,17,1707.5906982421875,0,9,306.2882080078125,42,2018-01-01,306.2882080078125,R_A6
10,0.0,1.0,STANDARD,17,1709.1392822265625,0,10,306.1291809082031,42,2018-01-01,306.1291809082031,R_A6
11,0.0,1.0,STANDARD,17,1711.055419921875,0,11,306.3109130859375,42,2018-01-01,306.3109130859375,R_A6
12,0.0,1.0,STANDARD,17,1713.3392333984375,0,12,306.52734375,42,2018-01-01,306.52734375,R_A6
13,0.0,1.0,STANDARD,17,1715.623046875,0,13,306.7557678222656,42,2018-01-01,306.7557678222656,R_A6
14,0.0,1.0,STANDARD,17,1717.9068603515625,0,14,306.9721984863281,42,2018-01-01,306.9721984863281,R_A6
15,0.0,1.0,STANDARD,17,1720.190673828125,0,15,307.18865966796875,42,2018-01-01,307.18865966796875,R_A6
16,0.0,1.0,STANDARD,17,1722.474365234375,0,16,307.55010986328125,42,2018-01-01,307.55010986328125,R_A6
17,0.0,1.0,STANDARD,17,1724.7581787109375,0,17,307.7665710449219,42,2018-01-01,307.7665710449219,R_A6
18,0.0,1.0,STANDARD,17,1726.394287109375,0,18,307.921630859375,42,2018-01-01,307.921630859375,R_A6
19,0.0,1.0,STANDARD,17,1727.7508544921875,0,27,307.8930969238281,42,2018-01-01,307.8930969238281,R_A6
20,0.0,1.0,STANDARD,17,1729.4755859375,0,28,308.3623352050781,42,2018-01-01,308.3623352050781,R_A6
21,0.0,1.0,STANDARD,17,1731.2001953125,0,29,308.52581787109375,42,2018-01-01,308.52581787109375,R_A6
22,0.0,1.0,STANDARD,17,1732.9249267578125,0,30,308.68927001953125,42,2018-01-01,308.68927001953125,R_A6
23,0.0,1.0,STANDARD,17,1734.649658203125,0,31,308.5469665527344,42,2018-01-01,308.5469665527344,R_A6
1,0.0,0.06050071865320206,STANDARD,22,1641.094970703125,0,1,298.12725830078125,30,2018-03-01,298.12725830078125,R_A2
2,0.0,0.061865393072366714,STANDARD,22,1642.8890380859375,0,2,298.2474670410156,30,2018-03-01,298.2474670410156,R_A2
3,0.0,0.06456145644187927,STANDARD,22,1644.68310546875,0,3,298.3677062988281,30,2018-03-01,298.3677062988281,R_A2
4,0.0,0.07313896715641022,STANDARD,22,1646.4771728515625,0,4,298.4879150390625,30,2018-03-01,298.4879150390625,R_A2
5,0.0,0.07484482228755951,STANDARD,22,1648.2713623046875,0,5,298.6081848144531,30,2018-03-01,298.6081848144531,R_A2
6,0.0,0.32199394702911377,STANDARD,22,1650.0654296875,0,6,298.7509765625,30,2018-03-01,298.7509765625,R_A2
7,0.0,0.9159221053123474,STANDARD,22,1651.859619140625,0,7,298.8794860839844,30,2018-03-01,298.8794860839844,R_A2
8,0.0,0.9035815000534058,STANDARD,22,1653.6536865234375,0,8,299.00518798828125,30,2018-03-01,299.00518798828125,R_A2
9,0.0,0.934533417224884,STANDARD,22,1655.44775390625,0,9,299.274169921875,30,2018-03-01,299.274169921875,R_A2
10,0.0,0.9479677677154541,STANDARD,22,1657.2418212890625,0,10,299.54498291015625,30,2018-03-01,299.54498291015625,R_A2
11,0.0,0.08879904448986053,STANDARD,22,1659.1368408203125,0,11,299.6588439941406,30,2018-03-01,299.6588439941406,R_A2
12,0.0,0.0980636402964592,STANDARD,22,1661.132568359375,0,12,299.7898864746094,30,2018-03-01,299.7898864746094,R_A2
13,0.0,0.511531412601471,STANDARD,22,1663.12841796875,0,13,299.9774169921875,30,2018-03-01,299.9774169921875,R_A2
14,0.0,0.5817472338676453,STANDARD,22,1665.1241455078125,0,14,300.1146240234375,30,2018-03-01,300.1146240234375,R_A2
15,0.0,0.7692034244537354,STANDARD,22,1667.1199951171875,0,15,300.24957275390625,30,2018-03-01,300.24957275390625,R_A2
16,0.0,0.9989005923271179,STANDARD,22,1669.11572265625,0,16,300.3836669921875,30,2018-03-01,300.3836669921875,R_A2
17,0.0,0.9959168434143066,STANDARD,22,1671.111572265625,0,17,300.51776123046875,30,2018-03-01,300.51776123046875,R_A2
18,-2.1181736364894732e-09,1.0,STANDARD,22,1672.9881591796875,0,18,300.8215637207031,30,2018-03-01,300.8215637207031,R_A2
19,-1.7101356997173411e-09,1.0,STANDARD,22,1674.229736328125,0,18,300.8279113769531,29,2018-03-01,300.8279113769531,R_A2
20,-8.616563424313803e-18,1.0,STANDARD,22,1676.1676025390625,0,27,302.7044372558594,29,2018-03-01,302.7044372558594,R_A2
21,-1.279983995359502e-22,1.0,STANDARD,22,1677.9368896484375,0,28,303.2237548828125,29,2018-03-01,303.2237548828125,R_A2
22,-3.85341134151677e-23,1.0,STANDARD,22,1679.7061767578125,0,29,303.5325927734375,29,2018-03-01,303.5325927734375,R_A2
23,-1.7512942443290787e-23,1.0,STANDARD,22,1681.4754638671875,0,30,303.7450866699219,29,2018-03-01,303.7450866699219,R_A2
24,1.3925169914187606e-23,1.0,STANDARD,22,1683.2447509765625,0,31,303.9189453125,29,2018-03-01,303.9189453125,R_A2
1,1.4484554565624154e-17,1.0,STANDARD,31,1685.026611328125,0,1,274.1156921386719,20,2018-04-28,274.1156921386719,R_A5
2,1.4530161995877878e-17,1.0,STANDARD,31,1687.3070068359375,0,2,274.3316345214844,20,2018-04-28,274.3316345214844,R_A5
3,1.3046640864224237e-17,1.0,STANDARD,31,1689.5875244140625,0,3,274.547607421875,20,2018-04-28,274.547607421875,R_A5
