CONJPOS,CONIPOS,DEPTH,WELL,SWAT,CONKPOS,DRAWDOWN,DATE,CONBPRES,PRESSURE,WELLMODEL,SGAS,CONIDX
30,22,1642.8890380859375,R_A2,0.05798232927918434,2,0,2018-03-01,298.12579345703125,298.12579345703125,STANDARD,0.0,2
30,22,1644.68310546875,R_A2,0.060675572603940964,3,0,2018-03-01,298.24603271484375,298.24603271484375,STANDARD,0.0,3
30,22,1646.4771728515625,R_A2,0.06784780323505402,4,0,2018-03-01,298.3663330078125,298.3663330078125,STANDARD,0.0,4
30,22,1648.2713623046875,R_A2,0.07155778259038925,5,0,2018-03-01,298.4866638183594,298.4866638183594,STANDARD,0.0,5
30,22,1650.0654296875,R_A2,0.14333991706371307,6,0,2018-03-01,298.6070861816406,298.6070861816406,STANDARD,0.0,6
30,22,1651.859619140625,R_A2,0.2599168121814728,7,0,2018-03-01,298.7276916503906,298.7276916503906,STANDARD,0.0,7
30,22,1653.6536865234375,R_A2,0.6483462452888489,8,0,2018-03-01,298.8609924316406,298.8609924316406,STANDARD,0.0,8
30,22,1655.44775390625,R_A2,0.6485965251922607,9,0,2018-03-01,298.9894714355469,298.9894714355469,STANDARD,0.0,9
30,22,1657.2418212890625,R_A2,0.9129337668418884,10,0,2018-03-01,299.8236083984375,299.8236083984375,STANDARD,0.0,10
30,22,1659.1368408203125,R_A2,0.07878436893224716,11,0,2018-03-01,300.5128173828125,300.5128173828125,STANDARD,0.0,11
30,22,1661.132568359375,R_A2,0.08624996989965439,12,0,2018-03-01,300.9251708984375,300.9251708984375,STANDARD,0.0,12
30,22,1663.12841796875,R_A2,0.45778578519821167,13,0,2018-03-01,301.02191162109375,301.02191162109375,STANDARD,0.0,13
30,22,1665.1241455078125,R_A2,0.519922137260437,14,0,2018-03-01,301.1504211425781,301.1504211425781,STANDARD,0.0,14
30,22,1667.1199951171875,R_A2,0.6916831731796265,15,0,2018-03-01,301.283203125,301.283203125,STANDARD,0.0,15
30,22,1669.11572265625,R_A2,0.9726939797401428,16,0,2018-03-01,301.41375732421875,301.41375732421875,STANDARD,0.0,16
30,22,1671.111572265625,R_A2,0.9493969678878784,17,0,2018-03-01,301.546875,301.546875,STANDARD,0.0,17
30,22,1672.9881591796875,R_A2,0.9820559620857239,18,0,2018-03-01,301.6725158691406,301.6725158691406,STANDARD,0.0,18
29,22,1674.229736328125,R_A2,0.9921706914901733,18,0,2018-03-01,301.45758056640625,301.45758056640625,STANDARD,0.0,19
29,22,1676.1676025390625,R_A2,0.4961991012096405,27,0,2018-03-01,301.5948181152344,301.5948181152344,STANDARD,0.0,20
29,22,1677.9368896484375,R_A2,0.999163031578064,28,0,2018-03-01,301.8293151855469,301.8293151855469,STANDARD,0.0,21
29,22,1679.7061767578125,R_A2,1.0,29,0,2018-03-01,302.18585205078125,302.18585205078125,STANDARD,-8.31788860011784e-10,22
29,22,1681.4754638671875,R_A2,1.0,30,0,2018-03-01,303.1228942871094,303.1228942871094,STANDARD,-2.2674451292253872e-13,23
29,22,1683.2447509765625,R_A2,1.0,31,0,2018-03-01,303.6241455078125,303.6241455078125,STANDARD,-1.544037555418435e-14,24
20,31,1685.026611328125,R_A5,1.0,1,0,2018-04-28,270.6246032714844,270.6246032714844,STANDARD,-2.4516655214997396e-18,1
20,31,1687.3070068359375,R_A5,1.0,2,0,2018-04-28,270.84130859375,270.84130859375,STANDARD,-1.233383468040504e-16,2
20,31,1689.5875244140625,R_A5,1.0,3,0,2018-04-28,271.05767822265625,271.05767822265625,STANDARD,-1.5299582902362043e-16,3
20,31,1691.8680419921875,R_A5,1.0,4,0,2018-04-28,271.2738952636719,271.2738952636719,STANDARD,-1.792296967146172e-16,4
20,31,1694.1485595703125,R_A5,1.0,5,0,2018-04-28,271.48992919921875,271.48992919921875,STANDARD,-1.7653012330237893e-16,5
20,31,1696.4290771484375,R_A5,1.0,6,0,2018-04-28,271.7058410644531,271.7058410644531,STANDARD,-1.451568832039167e-16,6
20,31,1698.70947265625,R_A5,1.0,7,0,2018-04-28,272.2480773925781,272.2480773925781,STANDARD,-6.406883097648643e-17,7
20,31,1707.6488037109375,R_A5,1.0,11,0,2018-04-28,274.1233215332031,274.1233215332031,STANDARD,-2.0604549425158603e-13,8
