CONKPOS,DATE,CONJPOS,DEPTH,CONIDX,CONBPRES,WELL,SWAT,CONIPOS,DRAWDOWN,WELLMODEL,PRESSURE,SGAS
14,2018-01-01,21,1708.5474853515625,14,306.0851745605469,R_A5,1.0,31,0,STANDARD,306.0851745605469,0.0
15,2018-01-01,21,1710.5712890625,15,306.4219970703125,R_A5,1.0,31,0,STANDARD,306.4219970703125,0.0
16,2018-01-01,21,1712.5950927734375,16,306.6138000488281,R_A5,1.0,31,0,STANDARD,306.6138000488281,0.0
17,2018-01-01,21,1714.334228515625,17,306.77862548828125,R_A5,1.0,31,0,STANDARD,306.77862548828125,0.0
18,2018-01-01,21,1715.318603515625,18,306.8719177246094,R_A5,1.0,31,0,STANDARD,306.8719177246094,0.0
19,2018-01-01,21,1715.73828125,19,306.91168212890625,R_A5,1.0,31,0,STANDARD,306.91168212890625,0.0
25,2018-01-01,21,1716.9444580078125,20,306.868896484375,R_A5,1.0,31,0,STANDARD,306.868896484375,0.0
26,2018-01-01,21,1719.0316162109375,21,307.06671142578125,R_A5,1.0,31,0,STANDARD,307.06671142578125,0.0
27,2018-01-01,21,1721.11865234375,22,307.5703125,R_A5,1.0,31,0,STANDARD,307.5703125,0.0
28,2018-01-01,21,1723.205810546875,23,307.7680969238281,R_A5,1.0,31,0,STANDARD,307.7680969238281,0.0
29,2018-01-01,21,1725.2928466796875,24,307.9659118652344,R_A5,1.0,31,0,STANDARD,307.9659118652344,0.0
1,2018-01-01,42,1694.195556640625,1,305.0187683105469,R_A6,1.0,17,0,STANDARD,305.0187683105469,0.0
2,2018-01-01,42,1695.724365234375,2,305.16363525390625,R_A6,1.0,17,0,STANDARD,305.16363525390625,0.0
3,2018-01-01,42,1697.2530517578125,3,305.30853271484375,R_A6,1.0,17,0,STANDARD,305.30853271484375,0.0
4,2018-01-01,42,1698.7818603515625,4,305.4533996582031,R_A6,1.0,17,0,STANDARD,305.4533996582031,0.0
5,2018-01-01,42,1700.310546875,5,305.5982666015625,R_A6,1.0,17,0,STANDARD,305.5982666015625,0.0
6,2018-01-01,42,1701.83935546875,6,305.7431640625,R_A6,1.0,17,0,STANDARD,305.7431640625,0.0
7,2018-01-01,42,1703.3681640625,7,305.5889892578125,R_A6,1.0,17,0,STANDARD,305.5889892578125,0.0
8,2018-01-01,42,1704.89697265625,8,305.7338562011719,R_A6,1.0,17,0,STANDARD,305.7338562011719,0.0
9,2018-01-01,42,1706.4256591796875,9,306.17779541015625,R_A6,1.0,17,0,STANDARD,306.17779541015625,0.0
10,2018-01-01,42,1707.9544677734375,10,306.01690673828125,R_A6,1.0,17,0,STANDARD,306.01690673828125,0.0
11,2018-01-01,42,1709.83740234375,11,306.1954650878906,R_A6,1.0,17,0,STANDARD,306.1954650878906,0.0
12,2018-01-01,42,1712.0745849609375,12,306.4075012207031,R_A6,1.0,17,0,STANDARD,306.4075012207031,0.0
13,2018-01-01,42,1714.311767578125,13,306.6314697265625,R_A6,1.0,17,0,STANDARD,306.6314697265625,0.0
