SWAT,CONJPOS,DEPTH,WELLMODEL,WELL,PRESSURE,CONIPOS,SGAS,DATE,CONBPRES,DRAWDOWN,CONIDX,CONKPOS
1.0,20,1709.5638427734375,STANDARD,R_A5,306.1695251464844,31,0.0,2018-01-01,306.1695251464844,0,9,12
1.0,21,1701.7845458984375,STANDARD,R_A5,305.4322814941406,31,0.0,2018-01-01,305.4322814941406,0,10,12
1.0,21,1703.735107421875,STANDARD,R_A5,305.6291198730469,31,0.0,2018-01-01,305.6291198730469,0,11,13
1.0,21,1705.6856689453125,STANDARD,R_A5,305.81396484375,31,0.0,2018-01-01,305.81396484375,0,12,14
1.0,21,1707.63623046875,STANDARD,R_A5,305.9988098144531,31,0.0,2018-01-01,305.9988098144531,0,13,15
1.0,21,1709.5867919921875,STANDARD,R_A5,306.3287048339844,31,0.0,2018-01-01,306.3287048339844,0,14,16
1.0,21,1711.537353515625,STANDARD,R_A5,306.5135498046875,31,0.0,2018-01-01,306.5135498046875,0,15,17
1.0,21,1713.35400390625,STANDARD,R_A5,306.6856994628906,31,0.0,2018-01-01,306.6856994628906,0,16,18
1.0,21,1714.3951416015625,STANDARD,R_A5,306.7843933105469,31,0.0,2018-01-01,306.7843933105469,0,17,19
1.0,21,1715.7628173828125,STANDARD,R_A5,306.75689697265625,31,0.0,2018-01-01,306.75689697265625,0,18,27
1.0,21,1718.098388671875,STANDARD,R_A5,306.978271484375,31,0.0,2018-01-01,306.978271484375,0,19,28
1.0,21,1720.43408203125,STANDARD,R_A5,307.5054016113281,31,0.0,2018-01-01,307.5054016113281,0,20,29
1.0,21,1722.7696533203125,STANDARD,R_A5,307.7267761230469,31,0.0,2018-01-01,307.7267761230469,0,21,30
1.0,21,1725.105224609375,STANDARD,R_A5,307.9481506347656,31,0.0,2018-01-01,307.9481506347656,0,22,31
1.0,42,1695.20263671875,STANDARD,R_A6,305.11419677734375,17,0.0,2018-01-01,305.11419677734375,0,1,1
1.0,42,1696.7510986328125,STANDARD,R_A6,305.2609558105469,17,0.0,2018-01-01,305.2609558105469,0,2,2
1.0,42,1698.299560546875,STANDARD,R_A6,305.4076843261719,17,0.0,2018-01-01,305.4076843261719,0,3,3
1.0,42,1699.84814453125,STANDARD,R_A6,305.554443359375,17,0.0,2018-01-01,305.554443359375,0,4,4
1.0,42,1701.3966064453125,STANDARD,R_A6,305.7012023925781,17,0.0,2018-01-01,305.7012023925781,0,5,5
1.0,42,1702.9451904296875,STANDARD,R_A6,305.84796142578125,17,0.0,2018-01-01,305.84796142578125,0,6,6
1.0,42,1704.49365234375,STANDARD,R_A6,305.6956481933594,17,0.0,2018-01-01,305.6956481933594,0,7,7
1.0,42,1706.042236328125,STANDARD,R_A6,305.8424072265625,17,0.0,2018-01-01,305.8424072265625,0,8,8
1.0,42,1707.5906982421875,STANDARD,R_A6,306.2882080078125,17,0.0,2018-01-01,306.2882080078125,0,9,9
1.0,42,1709.1392822265625,STANDARD,R_A6,306.1291809082031,17,0.0,2018-01-01,306.1291809082031,0,10,10
1.0,42,1711.055419921875,STANDARD,R_A6,306.3109130859375,17,0.0,2018-01-01,306.3109130859375,0,11,11
1.0,42,1713.3392333984375,STANDARD,R_A6,306.52734375,17,0.0,2018-01-01,306.52734375,0,12,12
1.0,42,1715.623046875,STANDARD,R_A6,306.7557678222656,17,0.0,2018-01-01,306.7557678222656,0,13,13
1.0,42,1717.9068603515625,STANDARD,R_A6,306.9721984863281,17,0.0,2018-01-01,306.9721984863281,0,14,14
1.0,42,1720.190673828125,STANDARD,R_A6,307.18865966796875,17,0.0,2018-01-01,307.18865966796875,0,15,15
1.0,42,1722.474365234375,STANDARD,R_A6,307.55010986328125,17,0.0,2018-01-01,307.55010986328125,0,16,16
1.0,42,1724.7581787109375,STANDARD,R_A6,307.7665710449219,17,0.0,2018-01-01,307.7665710449219,0,17,17
1.0,42,1726.394287109375,STANDARD,R_A6,307.921630859375,17,0.0,2018-01-01,307.921630859375,0,18,18
1.0,42,1727.7508544921875,STANDARD,R_A6,307.8930969238281,17,0.0,2018-01-01,307.8930969238281,0,19,27
1.0,42,1729.4755859375,STANDARD,R_A6,308.3623352050781,17,0.0,2018-01-01,308.3623352050781,0,20,28
1.0,42,1731.2001953125,STANDARD,R_A6,308.52581787109375,17,0.0,2018-01-01,308.52581787109375,0,21,29
1.0,42,1732.9249267578125,STANDARD,R_A6,308.68927001953125,17,0.0,2018-01-01,308.68927001953125,0,22,30
1.0,42,1734.649658203125,STANDARD,R_A6,308.5469665527344,17,0.0,2018-01-01,308.5469665527344,0,23,31
0.05651742219924927,30,1641.094970703125,STANDARD,R_A2,298.7535400390625,22,0.0,2018-03-01,298.7535400390625,0,1,1
0.05711068585515022,30,1642.8890380859375,STANDARD,R_A2,298.873779296875,22,0.0,2018-03-01,298.873779296875,0,2,2
0.0613810159265995,30,1644.68310546875,STANDARD,R_A2,298.9940185546875,22,0.0,2018-03-01,298.9940185546875,0,3,3
0.0675659254193306,30,1646.4771728515625,STANDARD,R_A2,299.1142578125,22,0.0,2018-03-01,299.1142578125,0,4,4
0.07107152044773102,30,1648.2713623046875,STANDARD,R_A2,299.2344970703125,22,0.0,2018-03-01,299.2344970703125,0,5,5
0.32046958804130554,30,1650.0654296875,STANDARD,R_A2,299.359130859375,22,0.0,2018-03-01,299.359130859375,0,6,6
0.6901035904884338,30,1651.859619140625,STANDARD,R_A2,299.5450744628906,22,0.0,2018-03-01,299.5450744628906,0,7,7
0.6483078002929688,30,1653.6536865234375,STANDARD,R_A2,299.6887512207031,22,0.0,2018-03-01,299.6887512207031,0,8,8
