WELLMODEL,CONJPOS,PRESSURE,SWAT,WELL,CONIDX,CONKPOS,DATE,CONBPRES,DEPTH,DRAWDOWN,CONIPOS,SGAS
STANDARD,41,298.7941589355469,0.19669803977012634,R_A3,8,7,2018-01-01,298.7941589355469,1611.896484375,0,29,0.0
STANDARD,41,298.9309387207031,0.19686757028102875,R_A3,9,8,2018-01-01,298.9309387207031,1613.93701171875,0,29,0.0
STANDARD,41,299.06768798828125,0.22733700275421143,R_A3,10,9,2018-01-01,299.06768798828125,1615.9775390625,0,29,0.0
STANDARD,41,299.2044677734375,0.14960825443267822,R_A3,11,10,2018-01-01,299.2044677734375,1618.0181884765625,0,29,0.0
STANDARD,41,299.34832763671875,0.04814767837524414,R_A3,12,11,2018-01-01,299.34832763671875,1620.16455078125,0,29,0.0
STANDARD,41,299.4992980957031,0.053002048283815384,R_A3,13,12,2018-01-01,299.4992980957031,1622.4166259765625,0,29,0.0
STANDARD,41,299.6502685546875,0.36276164650917053,R_A3,14,13,2018-01-01,299.6502685546875,1624.6688232421875,0,29,0.0
STANDARD,41,299.8012390136719,0.13955754041671753,R_A3,15,14,2018-01-01,299.8012390136719,1626.9208984375,0,29,0.0
STANDARD,41,299.95220947265625,0.601466715335846,R_A3,16,15,2018-01-01,299.95220947265625,1629.173095703125,0,29,0.0
STANDARD,41,300.07647705078125,0.8039178848266602,R_A3,17,16,2018-01-01,300.07647705078125,1631.026611328125,0,29,0.0
STANDARD,41,300.1327819824219,0.7522484660148621,R_A3,18,17,2018-01-01,300.1327819824219,1631.8662109375,0,29,0.0
STANDARD,41,300.2626953125,1.0,R_A3,19,27,2018-01-01,300.2626953125,1633.803955078125,0,29,0.0
STANDARD,41,300.50750732421875,0.04490021988749504,R_A3,20,28,2018-01-01,300.50750732421875,1637.455322265625,0,29,0.0
STANDARD,41,300.7523193359375,0.04969742149114609,R_A3,21,29,2018-01-01,300.7523193359375,1641.1065673828125,0,29,0.0
STANDARD,41,300.9971618652344,0.26056143641471863,R_A3,22,30,2018-01-01,300.9971618652344,1644.7579345703125,0,29,0.0
