CONIDX,SWAT,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,WELL,DEPTH
15,0.3586631119251251,STANDARD,14,0.0,299.70855712890625,41,299.70855712890625,2018-01-01,29,0,R_A3,1628.1239013671875
16,0.8114745616912842,STANDARD,15,0.0,299.8670349121094,41,299.8670349121094,2018-01-01,29,0,R_A3,1630.48779296875
17,0.8067567944526672,STANDARD,16,0.0,299.9765625,41,299.9765625,2018-01-01,29,0,R_A3,1632.121826171875
18,0.6879495978355408,STANDARD,26,0.0,300.1250915527344,41,300.1250915527344,2018-01-01,29,0,R_A3,1634.337158203125
19,0.10524604469537735,STANDARD,27,0.0,300.3601379394531,41,300.3601379394531,2018-01-01,29,0,R_A3,1637.8431396484375
20,0.31911230087280273,STANDARD,28,0.0,300.59521484375,41,300.59521484375,2018-01-01,29,0,R_A3,1641.34912109375
21,0.6481541991233826,STANDARD,29,0.0,300.8302917480469,41,300.8302917480469,2018-01-01,29,0,R_A3,1644.8551025390625
22,0.06767037510871887,STANDARD,30,0.0,301.0653991699219,41,301.0653991699219,2018-01-01,29,0,R_A3,1648.361083984375
1,0.05236943066120148,STANDARD,1,0.0,299.94989013671875,52,299.94989013671875,2018-01-01,30,0,R_A4,1631.7239990234375
2,0.05127276852726936,STANDARD,1,0.0,299.6875305175781,52,299.6875305175781,2018-01-01,31,0,R_A4,1627.8104248046875
3,0.054791342467069626,STANDARD,2,0.0,299.8341369628906,52,299.8341369628906,2018-01-01,31,0,R_A4,1629.9971923828125
4,0.057643916457891464,STANDARD,3,0.0,299.9807434082031,52,299.9807434082031,2018-01-01,31,0,R_A4,1632.1839599609375
5,0.05817367136478424,STANDARD,4,0.0,299.96148681640625,52,299.96148681640625,2018-01-01,32,0,R_A4,1631.896728515625
6,0.058189429342746735,STANDARD,5,0.0,300.09539794921875,52,300.09539794921875,2018-01-01,32,0,R_A4,1633.89453125
7,0.10260213166475296,STANDARD,5,0.0,300.3457946777344,51,300.3457946777344,2018-01-01,32,0,R_A4,1637.629150390625
8,0.062110140919685364,STANDARD,4,0.0,300.2198486328125,51,300.2198486328125,2018-01-01,32,0,R_A4,1635.7508544921875
9,0.06090637668967247,STANDARD,4,0.0,300.2011413574219,51,300.2011413574219,2018-01-01,33,0,R_A4,1635.4716796875
10,0.2957684099674225,STANDARD,4,0.0,300.7060546875,50,300.7060546875,2018-01-01,33,0,R_A4,1643.0020751953125
11,0.6481541991233826,STANDARD,4,0.0,300.5580139160156,50,300.5580139160156,2018-01-01,34,0,R_A4,1640.7943115234375
12,0.15036435425281525,STANDARD,3,0.0,300.427734375,50,300.427734375,2018-01-01,34,0,R_A4,1638.8509521484375
13,0.17087392508983612,STANDARD,3,0.0,300.4423828125,50,300.4423828125,2018-01-01,35,0,R_A4,1639.0697021484375
14,0.23242473602294922,STANDARD,2,0.0,300.32135009765625,50,300.32135009765625,2018-01-01,35,0,R_A4,1637.264404296875
15,0.2522081732749939,STANDARD,2,0.0,300.8355712890625,49,300.8355712890625,2018-01-01,35,0,R_A4,1644.9337158203125
16,0.3545369803905487,STANDARD,1,0.0,300.714111328125,49,300.714111328125,2018-01-01,35,0,R_A4,1643.1224365234375
17,0.06178371608257294,STANDARD,29,0.0,300.7542419433594,49,300.7542419433594,2018-01-01,36,0,R_A4,1643.720703125
18,0.8435696959495544,STANDARD,29,0.0,300.7316589355469,48,300.7316589355469,2018-01-01,36,0,R_A4,1643.384033203125
19,1.0,STANDARD,29,0.0,301.1343688964844,48,301.1343688964844,2018-01-01,37,0,R_A4,1649.3895263671875
20,0.6481541991233826,STANDARD,28,0.0,300.7668762207031,48,300.7668762207031,2018-01-01,37,0,R_A4,1643.9093017578125
21,0.20779111981391907,STANDARD,28,0.0,301.3958740234375,48,301.3958740234375,2018-01-01,38,0,R_A4,1653.2890625
22,0.11738277971744537,STANDARD,28,0.0,301.8326721191406,47,301.8326721191406,2018-01-01,38,0,R_A4,1659.8018798828125
1,1.0,STANDARD,1,0.0,303.81756591796875,20,303.81756591796875,2018-01-01,31,0,R_A5,1684.7467041015625
2,1.0,STANDARD,2,0.0,304.0433349609375,20,304.0433349609375,2018-01-01,31,0,R_A5,1687.1290283203125
3,1.0,STANDARD,3,0.0,304.2690734863281,20,304.2690734863281,2018-01-01,31,0,R_A5,1689.5113525390625
4,1.0,STANDARD,4,0.0,304.4948425292969,20,304.4948425292969,2018-01-01,31,0,R_A5,1691.8936767578125
5,1.0,STANDARD,5,0.0,304.7206115722656,20,304.7206115722656,2018-01-01,31,0,R_A5,1694.2760009765625
6,1.0,STANDARD,6,0.0,304.9463806152344,20,304.9463806152344,2018-01-01,31,0,R_A5,1696.658447265625
7,1.0,STANDARD,7,0.0,305.4779357910156,20,305.4779357910156,2018-01-01,31,0,R_A5,1699.040771484375
8,1.0,STANDARD,11,0.0,306.0497741699219,20,306.0497741699219,2018-01-01,31,0,R_A5,1708.300048828125
9,1.0,STANDARD,12,0.0,306.224365234375,20,306.224365234375,2018-01-01,31,0,R_A5,1710.1422119140625
10,1.0,STANDARD,12,0.0,305.65313720703125,21,305.65313720703125,2018-01-01,31,0,R_A5,1704.1148681640625
11,1.0,STANDARD,13,0.0,305.84881591796875,21,305.84881591796875,2018-01-01,31,0,R_A5,1706.0535888671875
12,1.0,STANDARD,14,0.0,306.0325622558594,21,306.0325622558594,2018-01-01,31,0,R_A5,1707.9921875
13,1.0,STANDARD,15,0.0,306.2162780761719,21,306.2162780761719,2018-01-01,31,0,R_A5,1709.9307861328125
14,1.0,STANDARD,16,0.0,306.5450134277344,21,306.5450134277344,2018-01-01,31,0,R_A5,1711.8695068359375
15,1.0,STANDARD,17,0.0,306.7171936035156,21,306.7171936035156,2018-01-01,31,0,R_A5,1713.68603515625
16,1.0,STANDARD,18,0.0,306.83135986328125,21,306.83135986328125,2018-01-01,31,0,R_A5,1714.890625
17,1.0,STANDARD,19,0.0,306.87286376953125,21,306.87286376953125,2018-01-01,31,0,R_A5,1715.3287353515625
18,1.0,STANDARD,26,0.0,306.826171875,21,306.826171875,2018-01-01,31,0,R_A5,1716.4935302734375
19,1.0,STANDARD,27,0.0,307.0316162109375,21,307.0316162109375,2018-01-01,31,0,R_A5,1718.6612548828125
20,1.0,STANDARD,28,0.0,307.5428466796875,21,307.5428466796875,2018-01-01,31,0,R_A5,1720.8289794921875
21,1.0,STANDARD,29,0.0,307.748291015625,21,307.748291015625,2018-01-01,31,0,R_A5,1722.9967041015625
22,1.0,STANDARD,30,0.0,307.9537353515625,21,307.9537353515625,2018-01-01,31,0,R_A5,1725.164306640625
1,1.0,STANDARD,1,0.0,305.0615539550781,42,305.0615539550781,2018-01-01,17,0,R_A6,1694.647216796875
