CONJPOS,DATE,CONIPOS,CONKPOS,CONBPRES,DRAWDOWN,SWAT,PRESSURE,SGAS,WELLMODEL,CONIDX,DEPTH,WELL
30,2018-03-01,22,1,297.1264953613281,0,0.05582283437252045,297.1264953613281,0.0,STANDARD,1,1641.094970703125,R_A2
30,2018-03-01,22,2,297.24658203125,0,0.058917444199323654,297.24658203125,0.0,STANDARD,2,1642.8890380859375,R_A2
30,2018-03-01,22,3,297.36669921875,0,0.061804067343473434,297.36669921875,0.0,STANDARD,3,1644.68310546875,R_A2
30,2018-03-01,22,4,297.4869079589844,0,0.06822068989276886,297.4869079589844,0.0,STANDARD,4,1646.4771728515625,R_A2
30,2018-03-01,22,5,297.60748291015625,0,0.1356976181268692,297.60748291015625,0.0,STANDARD,5,1648.2713623046875,R_A2
30,2018-03-01,22,6,297.96966552734375,0,0.3085656464099884,297.96966552734375,0.0,STANDARD,6,1650.0654296875,R_A2
30,2018-03-01,22,7,298.276611328125,0,0.8830894827842712,298.276611328125,0.0,STANDARD,7,1651.859619140625,R_A2
30,2018-03-01,22,8,298.4610595703125,0,0.6484663486480713,298.4610595703125,0.0,STANDARD,8,1653.6536865234375,R_A2
30,2018-03-01,22,9,298.581298828125,0,0.18737700581550598,298.581298828125,0.0,STANDARD,9,1655.44775390625,R_A2
30,2018-03-01,22,10,299.0472106933594,0,0.904292643070221,299.0472106933594,0.0,STANDARD,10,1657.2418212890625,R_A2
30,2018-03-01,22,11,299.31097412109375,0,0.07901353389024734,299.31097412109375,0.0,STANDARD,11,1659.1368408203125,R_A2
30,2018-03-01,22,12,299.4715576171875,0,0.07945634424686432,299.4715576171875,0.0,STANDARD,12,1661.132568359375,R_A2
30,2018-03-01,22,13,299.9789123535156,0,0.45315250754356384,299.9789123535156,0.0,STANDARD,13,1663.12841796875,R_A2
30,2018-03-01,22,14,300.3479919433594,0,0.5042566657066345,300.3479919433594,0.0,STANDARD,14,1665.1241455078125,R_A2
30,2018-03-01,22,15,300.48138427734375,0,0.690466582775116,300.48138427734375,0.0,STANDARD,15,1667.1199951171875,R_A2
30,2018-03-01,22,16,300.6130065917969,0,0.9649080038070679,300.6130065917969,0.0,STANDARD,16,1669.11572265625,R_A2
30,2018-03-01,22,17,300.746337890625,0,0.9507895708084106,300.746337890625,0.0,STANDARD,17,1671.111572265625,R_A2
30,2018-03-01,22,18,300.8719787597656,0,0.9831520318984985,300.8719787597656,0.0,STANDARD,18,1672.9881591796875,R_A2
29,2018-03-01,22,18,300.9377746582031,0,0.9968764185905457,300.9377746582031,0.0,STANDARD,19,1674.229736328125,R_A2
29,2018-03-01,22,27,302.7929992675781,0,1.0,302.7929992675781,-1.7100559707286305e-15,STANDARD,20,1676.1676025390625,R_A2
29,2018-03-01,22,28,303.1553955078125,0,1.0,303.1553955078125,-4.1174552145695317e-16,STANDARD,21,1677.9368896484375,R_A2
29,2018-03-01,22,29,302.93731689453125,0,1.0,302.93731689453125,-4.946621060592687e-16,STANDARD,22,1679.7061767578125,R_A2
29,2018-03-01,22,30,302.1844787597656,0,1.0,302.1844787597656,-4.555471304066899e-16,STANDARD,23,1681.4754638671875,R_A2
29,2018-03-01,22,31,301.31103515625,0,1.0,301.31103515625,-5.60757198664265e-16,STANDARD,24,1683.2447509765625,R_A2
20,2018-04-28,31,1,277.7922668457031,0,1.0,277.7922668457031,8.427086455352201e-17,STANDARD,1,1685.026611328125,R_A5
20,2018-04-28,31,2,277.70263671875,0,1.0,277.70263671875,2.2484643744861803e-14,STANDARD,2,1687.3070068359375,R_A5
20,2018-04-28,31,3,277.9187316894531,0,1.0,277.9187316894531,3.3552672494769134e-14,STANDARD,3,1689.5875244140625,R_A5
20,2018-04-28,31,4,278.1347961425781,0,1.0,278.1347961425781,3.9343938399100456e-14,STANDARD,4,1691.8680419921875,R_A5
20,2018-04-28,31,5,278.3507385253906,0,1.0,278.3507385253906,1.2696233597602174e-14,STANDARD,5,1694.1485595703125,R_A5
20,2018-04-28,31,6,278.5667724609375,0,1.0,278.5667724609375,6.153971510982834e-14,STANDARD,6,1696.4290771484375,R_A5
20,2018-04-28,31,7,279.1510925292969,0,1.0,279.1510925292969,8.613937132486392e-15,STANDARD,7,1698.70947265625,R_A5
20,2018-04-28,31,8,279.4587707519531,0,1.0,279.4587707519531,3.804251970948927e-14,STANDARD,8,1700.989990234375,R_A5
20,2018-04-28,31,9,282.2520446777344,0,1.0,282.2520446777344,0.0,STANDARD,9,1703.2706298828125,R_A5
20,2018-04-28,31,11,284.620849609375,0,1.0,284.620849609375,-1.539121434468438e-11,STANDARD,10,1707.6488037109375,R_A5
20,2018-04-28,31,12,284.755859375,0,1.0,284.755859375,-5.191777563418043e-12,STANDARD,11,1709.5638427734375,R_A5
21,2018-04-28,31,12,283.262451171875,0,0.9999999403953552,283.262451171875,-1.7330508139679068e-09,STANDARD,12,1701.7845458984375,R_A5
21,2018-04-28,31,13,284.02154541015625,0,1.0,284.02154541015625,0.0,STANDARD,13,1703.735107421875,R_A5
21,2018-04-28,31,14,284.2276916503906,0,1.0,284.2276916503906,-5.185910589844411e-10,STANDARD,14,1705.6856689453125,R_A5
21,2018-04-28,31,15,284.43072509765625,0,1.0,284.43072509765625,-9.932527716971506e-11,STANDARD,15,1707.63623046875,R_A5
21,2018-04-28,31,16,284.84326171875,0,1.0,284.84326171875,-2.5788794710823737e-11,STANDARD,16,1709.5867919921875,R_A5
21,2018-04-28,31,17,285.2084045410156,0,1.0,285.2084045410156,-2.548898939136457e-11,STANDARD,17,1711.537353515625,R_A5
21,2018-04-28,31,18,285.7629699707031,0,1.0,285.7629699707031,-4.5087163169643674e-11,STANDARD,18,1713.35400390625,R_A5
21,2018-04-28,31,19,286.1402893066406,0,1.0,286.1402893066406,0.0,STANDARD,19,1714.3951416015625,R_A5
21,2018-04-28,31,27,286.24420166015625,0,1.0,286.24420166015625,-1.6603564009787242e-11,STANDARD,20,1715.7628173828125,R_A5
21,2018-04-28,31,28,286.7477722167969,0,1.0,286.7477722167969,-1.287607607342034e-11,STANDARD,21,1718.098388671875,R_A5
21,2018-04-28,31,29,291.6397399902344,0,1.0,291.6397399902344,-6.844987423535928e-20,STANDARD,22,1720.43408203125,R_A5
21,2018-04-28,31,30,286.3610534667969,0,1.0,286.3610534667969,-4.2418214665600196e-13,STANDARD,23,1722.7696533203125,R_A5
21,2018-04-28,31,31,288.26263427734375,0,1.0,288.26263427734375,9.132870770159861e-20,STANDARD,24,1725.105224609375,R_A5
41,2018-07-03,28,1,275.13214111328125,0,0.6497676372528076,275.13214111328125,0.0,STANDARD,1,1609.243408203125,R_A3
41,2018-07-03,28,2,275.2763366699219,0,0.19772738218307495,275.2763366699219,0.0,STANDARD,2,1611.3077392578125,R_A3
41,2018-07-03,28,3,275.4140319824219,0,0.15836317837238312,275.4140319824219,0.0,STANDARD,3,1613.3720703125,R_A3
41,2018-07-03,28,4,275.5517578125,0,0.17300823330879211,275.5517578125,0.0,STANDARD,4,1615.4365234375,R_A3
41,2018-07-03,28,5,275.70269775390625,0,0.6508275270462036,275.70269775390625,0.0,STANDARD,5,1617.5008544921875,R_A3
41,2018-07-03,28,6,275.833251953125,0,0.3379729986190796,275.833251953125,0.0,STANDARD,6,1619.565185546875,R_A3
41,2018-07-03,29,6,274.97235107421875,0,0.6502873301506042,274.97235107421875,0.0,STANDARD,7,1609.3663330078125,R_A3
41,2018-07-03,29,7,275.1340637207031,0,0.19896316528320312,275.1340637207031,0.0,STANDARD,8,1611.4163818359375,R_A3
41,2018-07-03,29,8,275.2719421386719,0,0.35306841135025024,275.2719421386719,0.0,STANDARD,9,1613.46630859375,R_A3
