WELL,CONIDX,DATE,DRAWDOWN,CONBPRES,WELLMODEL,CONJPOS,DEPTH,CONKPOS,SWAT,SGAS,PRESSURE,CONIPOS
R_A4,13,2018-01-01,0,300.3360290527344,STANDARD,50,1637.41748046875,2,0.1447860151529312,0.0,300.3360290527344,34
R_A4,14,2018-01-01,0,300.8046569824219,STANDARD,50,1644.40673828125,2,0.17792528867721558,0.0,300.8046569824219,35
R_A4,15,2018-01-01,0,300.6717224121094,STANDARD,49,1642.42431640625,2,0.2859712243080139,0.0,300.6717224121094,35
R_A4,16,2018-01-01,0,300.5466613769531,STANDARD,49,1640.558837890625,1,0.24018892645835876,0.0,300.5466613769531,35
R_A4,17,2018-01-01,0,300.7518005371094,STANDARD,49,1643.6185302734375,32,0.101399265229702,0.0,300.7518005371094,36
R_A4,18,2018-01-01,0,300.62548828125,STANDARD,48,1641.734375,32,0.28456950187683105,0.0,300.62548828125,36
R_A4,19,2018-01-01,0,301.1241149902344,STANDARD,48,1649.1707763671875,32,0.25286421179771423,0.0,301.1241149902344,37
R_A4,20,2018-01-01,0,301.39404296875,STANDARD,48,1653.1956787109375,32,0.3212125599384308,0.0,301.39404296875,38
R_A4,21,2018-01-01,0,301.51458740234375,STANDARD,47,1654.9931640625,32,0.2458602488040924,0.0,301.51458740234375,38
R_A5,1,2018-01-01,0,303.7676086425781,STANDARD,20,1684.2196044921875,1,1.0,0.0,303.7676086425781,31
R_A5,2,2018-01-01,0,303.9811096191406,STANDARD,20,1686.4725341796875,2,1.0,0.0,303.9811096191406,31
R_A5,3,2018-01-01,0,304.1946105957031,STANDARD,20,1688.7254638671875,3,1.0,0.0,304.1946105957031,31
R_A5,4,2018-01-01,0,304.4080810546875,STANDARD,20,1690.978271484375,4,1.0,0.0,304.4080810546875,31
R_A5,5,2018-01-01,0,304.62158203125,STANDARD,20,1693.231201171875,5,1.0,0.0,304.62158203125,31
R_A5,6,2018-01-01,0,304.8350830078125,STANDARD,20,1695.4840087890625,6,1.0,0.0,304.8350830078125,31
R_A5,7,2018-01-01,0,305.3543701171875,STANDARD,20,1697.7369384765625,7,1.0,0.0,305.3543701171875,31
R_A5,8,2018-01-01,0,305.2458801269531,STANDARD,21,1699.817626953125,11,1.0,0.0,305.2458801269531,31
R_A5,9,2018-01-01,0,305.4409484863281,STANDARD,21,1701.8758544921875,12,1.0,0.0,305.4409484863281,31
R_A5,10,2018-01-01,0,305.64794921875,STANDARD,21,1703.93408203125,13,1.0,0.0,305.64794921875,31
R_A5,11,2018-01-01,0,305.843017578125,STANDARD,21,1705.9921875,14,1.0,0.0,305.843017578125,31
R_A5,12,2018-01-01,0,306.0380554199219,STANDARD,21,1708.05029296875,15,1.0,0.0,306.0380554199219,31
R_A5,13,2018-01-01,0,306.3781433105469,STANDARD,21,1710.1085205078125,16,1.0,0.0,306.3781433105469,31
R_A5,14,2018-01-01,0,306.57318115234375,STANDARD,21,1712.166748046875,17,1.0,0.0,306.57318115234375,31
R_A5,15,2018-01-01,0,306.7548522949219,STANDARD,21,1714.08349609375,18,1.0,0.0,306.7548522949219,31
R_A5,16,2018-01-01,0,306.8664855957031,STANDARD,21,1715.2613525390625,19,1.0,0.0,306.8664855957031,31
R_A5,17,2018-01-01,0,306.8535461425781,STANDARD,21,1716.782470703125,29,1.0,0.0,306.8535461425781,31
R_A5,18,2018-01-01,0,307.0868835449219,STANDARD,21,1719.2445068359375,30,1.0,0.0,307.0868835449219,31
R_A5,19,2018-01-01,0,307.6260070800781,STANDARD,21,1721.70654296875,31,1.0,0.0,307.6260070800781,31
R_A5,20,2018-01-01,0,307.859375,STANDARD,21,1724.1685791015625,32,1.0,0.0,307.859375,31
R_A5,21,2018-01-01,0,308.09271240234375,STANDARD,21,1726.630615234375,33,1.0,0.0,308.09271240234375,31
R_A6,1,2018-01-01,0,305.20819091796875,STANDARD,42,1696.194580078125,1,1.0,0.0,305.20819091796875,17
R_A6,2,2018-01-01,0,305.35662841796875,STANDARD,42,1697.7607421875,2,1.0,0.0,305.35662841796875,17
R_A6,3,2018-01-01,0,305.50506591796875,STANDARD,42,1699.3270263671875,3,1.0,0.0,305.50506591796875,17
R_A6,4,2018-01-01,0,305.65350341796875,STANDARD,42,1700.893310546875,4,1.0,0.0,305.65350341796875,17
R_A6,5,2018-01-01,0,305.80194091796875,STANDARD,42,1702.4595947265625,5,1.0,0.0,305.80194091796875,17
R_A6,6,2018-01-01,0,305.95037841796875,STANDARD,42,1704.02587890625,6,1.0,0.0,305.95037841796875,17
R_A6,7,2018-01-01,0,305.79974365234375,STANDARD,42,1705.592041015625,7,1.0,0.0,305.79974365234375,17
R_A6,8,2018-01-01,0,305.94818115234375,STANDARD,42,1707.158203125,8,1.0,0.0,305.94818115234375,17
R_A6,9,2018-01-01,0,306.3956604003906,STANDARD,42,1708.7244873046875,9,1.0,0.0,306.3956604003906,17
R_A6,10,2018-01-01,0,306.2383117675781,STANDARD,42,1710.290771484375,10,1.0,0.0,306.2383117675781,17
R_A6,11,2018-01-01,0,306.4240417480469,STANDARD,42,1712.2493896484375,11,1.0,0.0,306.4240417480469,17
R_A6,12,2018-01-01,0,306.6468505859375,STANDARD,42,1714.600341796875,12,1.0,0.0,306.6468505859375,17
R_A6,13,2018-01-01,0,306.88165283203125,STANDARD,42,1716.951416015625,13,1.0,0.0,306.88165283203125,17
R_A6,14,2018-01-01,0,307.1044616699219,STANDARD,42,1719.3023681640625,14,1.0,0.0,307.1044616699219,17
R_A6,15,2018-01-01,0,307.3272705078125,STANDARD,42,1721.6533203125,15,1.0,0.0,307.3272705078125,17
R_A6,16,2018-01-01,0,307.6950988769531,STANDARD,42,1724.00439453125,16,1.0,0.0,307.6950988769531,17
R_A6,17,2018-01-01,0,307.9179382324219,STANDARD,42,1726.3553466796875,17,1.0,0.0,307.9179382324219,17
R_A6,18,2018-01-01,0,308.06072998046875,STANDARD,42,1727.86181640625,18,1.0,0.0,308.06072998046875,17
R_A6,19,2018-01-01,0,308.0172424316406,STANDARD,42,1729.060791015625,29,1.0,0.0,308.0172424316406,17
R_A6,20,2018-01-01,0,308.4875793457031,STANDARD,42,1730.7967529296875,30,1.0,0.0,308.4875793457031,17
R_A6,21,2018-01-01,0,308.652099609375,STANDARD,42,1732.53271484375,31,1.0,0.0,308.652099609375,17
R_A6,22,2018-01-01,0,308.816650390625,STANDARD,42,1734.268798828125,32,1.0,0.0,308.816650390625,17
R_A6,23,2018-01-01,0,308.6754150390625,STANDARD,42,1736.0047607421875,33,1.0,0.0,308.6754150390625,17
R_A2,1,2018-03-01,0,299.0759582519531,STANDARD,30,1639.9912109375,1,0.056736353784799576,0.0,299.0759582519531,22
R_A2,2,2018-03-01,0,299.1898193359375,STANDARD,30,1641.6900634765625,2,0.06041190028190613,0.0,299.1898193359375,22
R_A2,3,2018-03-01,0,299.3037109375,STANDARD,30,1643.388916015625,3,0.06431116163730621,0.0,299.3037109375,22
R_A2,4,2018-03-01,0,299.4176025390625,STANDARD,30,1645.087890625,4,0.0699225589632988,0.0,299.4176025390625,22
R_A2,5,2018-03-01,0,299.531494140625,STANDARD,30,1646.7867431640625,5,0.07418360561132431,0.0,299.531494140625,22
R_A2,6,2018-03-01,0,299.6565246582031,STANDARD,30,1648.485595703125,6,0.2767922878265381,0.0,299.6565246582031,22
R_A2,7,2018-03-01,0,299.77716064453125,STANDARD,30,1650.1844482421875,7,0.8991336226463318,0.0,299.77716064453125,22
R_A2,8,2018-03-01,0,299.8948974609375,STANDARD,30,1651.88330078125,8,0.8964000344276428,0.0,299.8948974609375,22
R_A2,9,2018-03-01,0,300.1393127441406,STANDARD,30,1653.5821533203125,9,0.9077022075653076,0.0,300.1393127441406,22
R_A2,10,2018-03-01,0,300.38330078125,STANDARD,30,1655.281005859375,10,0.9227810502052307,0.0,300.38330078125,22
R_A2,11,2018-03-01,0,301.0077819824219,STANDARD,30,1657.1328125,11,0.08050617575645447,0.0,301.0077819824219,22
R_A2,12,2018-03-01,0,301.3648681640625,STANDARD,30,1661.14208984375,13,0.4756251573562622,0.0,301.3648681640625,22
R_A2,13,2018-03-01,0,301.49951171875,STANDARD,30,1663.146728515625,14,0.534267246723175,0.0,301.49951171875,22
R_A2,14,2018-03-01,0,301.6337585449219,STANDARD,30,1665.1513671875,15,0.9596917629241943,0.0,301.6337585449219,22
R_A2,15,2018-03-01,0,301.9216613769531,STANDARD,29,1669.65087890625,15,0.9973825216293335,0.0,301.9216613769531,22
R_A2,16,2018-03-01,0,302.06414794921875,STANDARD,29,1671.7783203125,16,1.0,1.309761882284377e-10,302.06414794921875,22
R_A2,17,2018-03-01,0,302.370849609375,STANDARD,29,1673.90576171875,17,1.0,5.679397382073181e-13,302.370849609375,22
R_A2,18,2018-03-01,0,302.52978515625,STANDARD,29,1675.583740234375,18,1.0,1.4220394306541095e-10,302.52978515625,22
R_A2,19,2018-03-01,0,303.37548828125,STANDARD,29,1677.1982421875,29,1.0,5.3623458898962814e-17,303.37548828125,22
R_A2,20,2018-03-01,0,303.5438537597656,STANDARD,29,1678.94140625,30,1.0,4.572746408677253e-17,303.5438537597656,22
R_A2,21,2018-03-01,0,303.69720458984375,STANDARD,29,1680.6845703125,31,1.0,2.505718275556089e-14,303.69720458984375,22
R_A2,22,2018-03-01,0,303.8211364746094,STANDARD,29,1682.427734375,32,1.0,2.010441001230965e-14,303.8211364746094,22
R_A2,23,2018-03-01,0,304.0256042480469,STANDARD,29,1684.1708984375,33,1.0,1.1495181535977044e-15,304.0256042480469,22
R_A5,1,2018-04-28,0,266.3336181640625,STANDARD,20,1684.2196044921875,1,1.0,-1.5759751737902511e-24,266.3336181640625,31
R_A5,2,2018-04-28,0,266.5467529296875,STANDARD,20,1686.4725341796875,2,1.0,-1.3244048673173285e-24,266.5467529296875,31
