SGAS,DEPTH,DRAWDOWN,PRESSURE,CONIPOS,SWAT,CONIDX,CONBPRES,WELLMODEL,CONKPOS,DATE,CONJPOS,WELL
0.0,1732.70703125,0,308.36285400390625,17,1.0,23,308.36285400390625,STANDARD,30,2018-01-01,42,R_A6
0.0,1639.7047119140625,0,297.7364196777344,22,0.05265501141548157,1,297.7364196777344,STANDARD,1,2018-03-01,30,R_A2
0.0,1641.426513671875,0,297.851806640625,22,0.05377046763896942,2,297.851806640625,STANDARD,2,2018-03-01,30,R_A2
0.0,1643.1484375,0,297.96722412109375,22,0.05797404423356056,3,297.96722412109375,STANDARD,3,2018-03-01,30,R_A2
0.0,1644.8702392578125,0,298.0826110839844,22,0.06127981096506119,4,298.0826110839844,STANDARD,4,2018-03-01,30,R_A2
0.0,1646.5921630859375,0,298.1980285644531,22,0.06317279487848282,5,298.1980285644531,STANDARD,5,2018-03-01,30,R_A2
0.0,1648.31396484375,0,298.3309326171875,22,0.30158933997154236,6,298.3309326171875,STANDARD,6,2018-03-01,30,R_A2
0.0,1650.0357666015625,0,298.4560852050781,22,0.8703356981277466,7,298.4560852050781,STANDARD,7,2018-03-01,30,R_A2
0.0,1651.7576904296875,0,298.57708740234375,22,0.8509158492088318,8,298.57708740234375,STANDARD,8,2018-03-01,30,R_A2
0.0,1653.4796142578125,0,298.8871765136719,22,0.8795186281204224,9,298.8871765136719,STANDARD,9,2018-03-01,30,R_A2
0.0,1655.201416015625,0,299.1077880859375,22,0.8741071224212646,10,299.1077880859375,STANDARD,10,2018-03-01,30,R_A2
0.0,1657.0697021484375,0,298.9400634765625,22,0.0660603791475296,11,298.9400634765625,STANDARD,11,2018-03-01,30,R_A2
0.0,1659.0845947265625,0,299.1169738769531,22,0.06749202311038971,12,299.1169738769531,STANDARD,12,2018-03-01,30,R_A2
0.0,1661.099365234375,0,299.349853515625,22,0.4271174669265747,13,299.349853515625,STANDARD,13,2018-03-01,30,R_A2
0.0,1663.1142578125,0,299.4865417480469,22,0.4678574502468109,14,299.4865417480469,STANDARD,14,2018-03-01,30,R_A2
0.0,1665.129150390625,0,299.62744140625,22,0.8908424973487854,15,299.62744140625,STANDARD,15,2018-03-01,30,R_A2
0.0,1667.1439208984375,0,299.764892578125,22,0.909868061542511,16,299.764892578125,STANDARD,16,2018-03-01,30,R_A2
0.0,1671.9908447265625,0,300.0921936035156,22,0.9525612592697144,17,300.0921936035156,STANDARD,16,2018-03-01,29,R_A2
0.0,1674.0811767578125,0,300.23162841796875,22,0.9244858026504517,18,300.23162841796875,STANDARD,17,2018-03-01,29,R_A2
0.0,1675.724853515625,0,300.3417053222656,22,0.9805105328559875,19,300.3417053222656,STANDARD,18,2018-03-01,29,R_A2
0.0,1677.18505859375,0,300.6500244140625,22,0.6599348187446594,20,300.6500244140625,STANDARD,26,2018-03-01,29,R_A2
-5.589317632535932e-17,1678.90869140625,0,303.3018798828125,22,1.0,21,303.3018798828125,STANDARD,27,2018-03-01,29,R_A2
-1.606468129383725e-17,1680.6322021484375,0,303.4177551269531,22,1.0,22,303.4177551269531,STANDARD,28,2018-03-01,29,R_A2
-4.0472223527823084e-17,1682.355712890625,0,303.8604431152344,22,1.0,23,303.8604431152344,STANDARD,29,2018-03-01,29,R_A2
-1.545784883979234e-20,1684.079345703125,0,304.0144348144531,22,1.0,24,304.0144348144531,STANDARD,30,2018-03-01,29,R_A2
-9.266686307185523e-10,1684.8951416015625,0,284.72662353515625,31,1.0,1,284.72662353515625,STANDARD,1,2018-04-28,20,R_A5
-1.3733957304751243e-09,1686.973876953125,0,284.9240417480469,31,1.0,2,284.9240417480469,STANDARD,2,2018-04-28,20,R_A5
-1.5087968652238715e-09,1689.0526123046875,0,285.1216125488281,31,1.0,3,285.1216125488281,STANDARD,3,2018-04-28,20,R_A5
-1.5925729623944562e-09,1691.13134765625,0,285.3189392089844,31,1.0,4,285.3189392089844,STANDARD,4,2018-04-28,20,R_A5
-1.3164432877132981e-09,1693.2100830078125,0,285.5159912109375,31,1.0,5,285.5159912109375,STANDARD,5,2018-04-28,20,R_A5
-1.8959076530933316e-09,1695.2889404296875,0,285.7130126953125,31,0.9999999403953552,6,285.7130126953125,STANDARD,6,2018-04-28,20,R_A5
-1.6481179268557078e-11,1697.36767578125,0,286.2300720214844,31,1.0,7,286.2300720214844,STANDARD,7,2018-04-28,20,R_A5
