PRESSURE,WELL,DRAWDOWN,CONIDX,SGAS,CONBPRES,DEPTH,CONKPOS,CONJPOS,WELLMODEL,SWAT,DATE,CONIPOS
301.0065002441406,R_A3,0,21,0.0,301.0065002441406,1644.63330078125,29,41,STANDARD,0.6481541991233826,2018-01-01,29
301.24688720703125,R_A3,0,22,0.0,301.24688720703125,1648.2178955078125,30,41,STANDARD,0.10241367667913437,2018-01-01,29
299.99853515625,R_A4,0,1,0.0,299.99853515625,1629.599853515625,1,52,STANDARD,0.04779684543609619,2018-01-01,30
299.8016662597656,R_A4,0,2,0.0,299.8016662597656,1626.663330078125,1,52,STANDARD,0.05030803382396698,2018-01-01,31
299.94525146484375,R_A4,0,3,0.0,299.94525146484375,1628.80517578125,2,52,STANDARD,0.049679506570100784,2018-01-01,31
300.0888366699219,R_A4,0,4,0.0,300.0888366699219,1630.9471435546875,3,52,STANDARD,0.05111387372016907,2018-01-01,31
300.2324523925781,R_A4,0,5,0.0,300.2324523925781,1633.0889892578125,4,52,STANDARD,0.27854153513908386,2018-01-01,31
300.3706970214844,R_A4,0,6,0.0,300.3706970214844,1635.1510009765625,4,52,STANDARD,0.19739282131195068,2018-01-01,32
300.3039245605469,R_A4,0,7,0.0,300.3039245605469,1634.1549072265625,4,51,STANDARD,0.09247912466526031,2018-01-01,32
300.1737060546875,R_A4,0,8,0.0,300.1737060546875,1632.212890625,3,51,STANDARD,0.11133434623479843,2018-01-01,32
300.4559020996094,R_A4,0,9,0.0,300.4559020996094,1636.4219970703125,3,51,STANDARD,0.21531513333320618,2018-01-01,33
300.5854797363281,R_A4,0,10,0.0,300.5854797363281,1638.354248046875,4,51,STANDARD,0.05770695582032204,2018-01-01,33
300.63275146484375,R_A4,0,11,0.0,300.63275146484375,1639.0592041015625,4,50,STANDARD,0.05944804847240448,2018-01-01,33
300.69061279296875,R_A4,0,12,0.0,300.69061279296875,1639.9224853515625,4,50,STANDARD,0.059858791530132294,2018-01-01,34
300.9414367675781,R_A4,0,13,0.0,300.9414367675781,1643.6627197265625,4,50,STANDARD,0.10042613744735718,2018-01-01,35
300.8085021972656,R_A4,0,14,0.0,300.8085021972656,1641.680419921875,3,50,STANDARD,0.2313176542520523,2018-01-01,35
300.8676452636719,R_A4,0,15,0.0,300.8676452636719,1642.5625,3,49,STANDARD,0.23100624978542328,2018-01-01,35
300.74078369140625,R_A4,0,16,0.0,300.74078369140625,1640.67041015625,2,49,STANDARD,0.22994929552078247,2018-01-01,35
300.6138916015625,R_A4,0,17,0.0,300.6138916015625,1638.7783203125,1,49,STANDARD,0.20202766358852386,2018-01-01,35
300.8962707519531,R_A4,0,18,0.0,300.8962707519531,1642.9891357421875,29,49,STANDARD,0.053605690598487854,2018-01-01,36
300.6897277832031,R_A4,0,19,0.0,300.6897277832031,1639.9090576171875,29,48,STANDARD,0.08613486588001251,2018-01-01,36
301.2127990722656,R_A4,0,20,0.0,301.2127990722656,1647.709716796875,29,48,STANDARD,0.19369933009147644,2018-01-01,37
301.4347839355469,R_A4,0,21,0.0,301.4347839355469,1651.019775390625,29,48,STANDARD,0.22480300068855286,2018-01-01,38
301.9573059082031,R_A4,0,22,0.0,301.9573059082031,1658.8104248046875,29,47,STANDARD,0.17345553636550903,2018-01-01,38
303.9400329589844,R_A5,0,1,0.0,303.9400329589844,1686.0390625,1,20,STANDARD,1.0,2018-01-01,31
304.15216064453125,R_A5,0,2,0.0,304.15216064453125,1688.277587890625,2,20,STANDARD,1.0,2018-01-01,31
304.3642883300781,R_A5,0,3,0.0,304.3642883300781,1690.51611328125,3,20,STANDARD,1.0,2018-01-01,31
304.5764465332031,R_A5,0,4,0.0,304.5764465332031,1692.754638671875,4,20,STANDARD,1.0,2018-01-01,31
304.78857421875,R_A5,0,5,0.0,304.78857421875,1694.9931640625,5,20,STANDARD,1.0,2018-01-01,31
305.0007019042969,R_A5,0,6,0.0,305.0007019042969,1697.231689453125,6,20,STANDARD,1.0,2018-01-01,31
305.2128601074219,R_A5,0,7,0.0,305.2128601074219,1699.47021484375,7,20,STANDARD,1.0,2018-01-01,31
306.0518798828125,R_A5,0,8,0.0,306.0518798828125,1708.322265625,11,20,STANDARD,1.0,2018-01-01,31
305.1896057128906,R_A5,0,9,0.0,305.1896057128906,1699.2236328125,11,21,STANDARD,1.0,2018-01-01,31
305.37359619140625,R_A5,0,10,0.0,305.37359619140625,1701.1651611328125,12,21,STANDARD,1.0,2018-01-01,31
305.569580078125,R_A5,0,11,0.0,305.569580078125,1703.1068115234375,13,21,STANDARD,1.0,2018-01-01,31
305.7535705566406,R_A5,0,12,0.0,305.7535705566406,1705.0484619140625,14,21,STANDARD,1.0,2018-01-01,31
305.9375915527344,R_A5,0,13,0.0,305.9375915527344,1706.9901123046875,15,21,STANDARD,1.0,2018-01-01,31
