CONJPOS,DEPTH,DRAWDOWN,CONKPOS,CONIDX,CONIPOS,CONBPRES,PRESSURE,SGAS,SWAT,WELLMODEL,WELL,DATE
21,1718.4267578125,0,27,18,31,307.0093688964844,307.0093688964844,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1720.55322265625,0,28,19,31,307.5166931152344,307.5166931152344,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1722.6796875,0,29,20,31,307.7182312011719,307.7182312011719,0.0,1.0,STANDARD,R_A5,2018-01-01
21,1724.80615234375,0,30,21,31,307.9197998046875,307.9197998046875,0.0,1.0,STANDARD,R_A5,2018-01-01
42,1694.296142578125,0,1,1,17,305.0282897949219,305.0282897949219,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1695.82763671875,0,2,2,17,305.1734313964844,305.1734313964844,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1697.3592529296875,0,3,3,17,305.3185729980469,305.3185729980469,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1698.8907470703125,0,4,4,17,305.4637145996094,305.4637145996094,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1700.4222412109375,0,5,5,17,305.6088562011719,305.6088562011719,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1701.9537353515625,0,6,6,17,305.4549560546875,305.4549560546875,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1703.4852294921875,0,7,7,17,305.6000671386719,305.6000671386719,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1705.016845703125,0,8,8,17,305.7452392578125,305.7452392578125,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1706.54833984375,0,9,9,17,306.1894226074219,306.1894226074219,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1708.079833984375,0,10,10,17,306.0287780761719,306.0287780761719,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1709.9617919921875,0,11,11,17,306.2072448730469,306.2072448730469,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1712.1942138671875,0,12,12,17,306.4188232421875,306.4188232421875,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1714.426513671875,0,13,13,17,306.6423645019531,306.6423645019531,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1716.658935546875,0,14,14,17,306.85394287109375,306.85394287109375,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1718.891357421875,0,15,15,17,307.06549072265625,307.06549072265625,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1721.123779296875,0,16,16,17,307.4220886230469,307.4220886230469,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1723.3560791015625,0,17,17,17,307.6336669921875,307.6336669921875,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1725.04443359375,0,18,18,17,307.793701171875,307.793701171875,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1726.4693603515625,0,26,19,17,307.7716369628906,307.7716369628906,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1728.174560546875,0,27,20,17,308.2390441894531,308.2390441894531,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1729.8798828125,0,28,21,17,308.4006652832031,308.4006652832031,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1731.5850830078125,0,29,22,17,308.5622863769531,308.5622863769531,0.0,1.0,STANDARD,R_A6,2018-01-01
42,1733.290283203125,0,30,23,17,308.4181213378906,308.4181213378906,0.0,1.0,STANDARD,R_A6,2018-01-01
30,1640.683837890625,0,1,1,22,299.0430908203125,299.0430908203125,0.0,0.05303031578660011,STANDARD,R_A2,2018-03-01
30,1642.4471435546875,0,2,2,22,299.16131591796875,299.16131591796875,0.0,0.054584093391895294,STANDARD,R_A2,2018-03-01
30,1644.21044921875,0,3,3,22,299.27960205078125,299.27960205078125,0.0,0.05733177065849304,STANDARD,R_A2,2018-03-01
30,1645.9736328125,0,4,4,22,299.39788818359375,299.39788818359375,0.0,0.062399812042713165,STANDARD,R_A2,2018-03-01
30,1647.7369384765625,0,5,5,22,299.51617431640625,299.51617431640625,0.0,0.0652492344379425,STANDARD,R_A2,2018-03-01
30,1649.500244140625,0,6,6,22,299.6355285644531,299.6355285644531,0.0,0.6484972834587097,STANDARD,R_A2,2018-03-01
