CONKPOS,DEPTH,CONIPOS,DATE,SGAS,PRESSURE,WELL,SWAT,CONIDX,CONBPRES,WELLMODEL,CONJPOS,DRAWDOWN
4,1699.2310791015625,17,2018-11-07,-1.554527231766023e-12,277.4431457519531,R_A6,1.0,4,277.4431457519531,STANDARD,42,0
5,1700.764404296875,17,2018-11-07,-2.251017297907887e-12,277.580078125,R_A6,1.0,5,277.580078125,STANDARD,42,0
6,1702.2977294921875,17,2018-11-07,-8.979079285653668e-11,277.42205810546875,R_A6,1.0,6,277.42205810546875,STANDARD,42,0
7,1703.8310546875,17,2018-11-07,-1.568664781403939e-10,277.5672607421875,R_A6,1.0,7,277.5672607421875,STANDARD,42,0
8,1705.3643798828125,17,2018-11-07,-1.4188469843468e-10,277.7159423828125,R_A6,1.0,8,277.7159423828125,STANDARD,42,0
9,1706.897705078125,17,2018-11-07,-6.347678025570014e-12,278.1701354980469,R_A6,1.0,9,278.1701354980469,STANDARD,42,0
10,1708.4310302734375,17,2018-11-07,-1.0594044530520819e-09,278.0315856933594,R_A6,1.0,10,278.0315856933594,STANDARD,42,0
11,1710.333984375,17,2018-11-07,-2.166943013914846e-11,278.4233703613281,R_A6,1.0,11,278.4233703613281,STANDARD,42,0
12,1712.6065673828125,17,2018-11-07,-9.784981852556385e-12,278.64556884765625,R_A6,1.0,12,278.64556884765625,STANDARD,42,0
13,1714.879150390625,17,2018-11-07,-7.245344190061342e-13,278.89166259765625,R_A6,1.0,13,278.89166259765625,STANDARD,42,0
14,1717.151611328125,17,2018-11-07,-5.315817230844289e-13,279.1069030761719,R_A6,1.0,14,279.1069030761719,STANDARD,42,0
15,1719.4241943359375,17,2018-11-07,-3.352329264877385e-13,279.32244873046875,R_A6,1.0,15,279.32244873046875,STANDARD,42,0
16,1721.69677734375,17,2018-11-07,-1.1523057898490952e-13,279.6833190917969,R_A6,1.0,16,279.6833190917969,STANDARD,42,0
17,1723.9693603515625,17,2018-11-07,-1.6797114643207073e-13,279.8990783691406,R_A6,1.0,17,279.8990783691406,STANDARD,42,0
18,1725.5521240234375,17,2018-11-07,-1.9183664531040312e-13,280.0491027832031,R_A6,1.0,18,280.0491027832031,STANDARD,42,0
28,1726.8531494140625,17,2018-11-07,-4.1264538173154536e-14,281.5931701660156,R_A6,1.0,19,281.5931701660156,STANDARD,42,0
29,1728.5618896484375,17,2018-11-07,-6.030233380509547e-15,282.0608825683594,R_A6,1.0,20,282.0608825683594,STANDARD,42,0
30,1730.270751953125,17,2018-11-07,-9.10771737095486e-21,282.89886474609375,R_A6,1.0,21,282.89886474609375,STANDARD,42,0
31,1731.9796142578125,17,2018-11-07,-5.313575711467565e-22,283.240478515625,R_A6,1.0,22,283.240478515625,STANDARD,42,0
32,1733.6884765625,17,2018-11-07,-1.521030857913731e-20,282.2380065917969,R_A6,1.0,23,282.2380065917969,STANDARD,42,0
