PRESSURE,DATE,WELL,DEPTH,SGAS,CONIDX,WELLMODEL,CONJPOS,CONKPOS,CONBPRES,SWAT,DRAWDOWN,CONIPOS
300.29644775390625,2018-01-01,R_A4,1635.474609375,0.0,9,STANDARD,51,3,300.29644775390625,0.058206330984830856,0,33
300.74395751953125,2018-01-01,R_A4,1642.1485595703125,0.0,10,STANDARD,50,4,300.74395751953125,0.2798222005367279,0,33
300.67578125,2018-01-01,R_A4,1641.132080078125,0.0,11,STANDARD,50,4,300.67578125,0.6481541991233826,0,34
300.5467224121094,2018-01-01,R_A4,1639.20703125,0.0,12,STANDARD,50,3,300.5467224121094,0.09663576632738113,0,34
300.66064453125,2018-01-01,R_A4,1640.9061279296875,0.0,13,STANDARD,50,3,300.66064453125,0.16213864088058472,0,35
300.53570556640625,2018-01-01,R_A4,1639.0426025390625,0.0,14,STANDARD,50,2,300.53570556640625,0.18770018219947815,0,35
300.72943115234375,2018-01-01,R_A4,1641.93212890625,0.0,15,STANDARD,49,2,300.72943115234375,0.2386992871761322,0,35
300.7579650878906,2018-01-01,R_A4,1642.357421875,0.0,16,STANDARD,49,30,300.7579650878906,0.09703515470027924,0,36
300.5735168457031,2018-01-01,R_A4,1639.6068115234375,0.0,17,STANDARD,48,30,300.5735168457031,0.05722138658165932,0,36
301.0526123046875,2018-01-01,R_A4,1646.7513427734375,0.0,18,STANDARD,48,30,301.0526123046875,0.06256399303674698,0,37
301.5025939941406,2018-01-01,R_A4,1653.461669921875,0.0,19,STANDARD,48,30,301.5025939941406,0.6481541991233826,0,38
301.7947998046875,2018-01-01,R_A4,1657.8184814453125,0.0,20,STANDARD,47,30,301.7947998046875,0.17424188554286957,0,38
303.8440856933594,2018-01-01,R_A5,1685.026611328125,0.0,1,STANDARD,20,1,303.8440856933594,1.0,0,31
304.0601806640625,2018-01-01,R_A5,1687.3070068359375,0.0,2,STANDARD,20,2,304.0601806640625,1.0,0,31
304.27630615234375,2018-01-01,R_A5,1689.5875244140625,0.0,3,STANDARD,20,3,304.27630615234375,1.0,0,31
304.4924011230469,2018-01-01,R_A5,1691.8680419921875,0.0,4,STANDARD,20,4,304.4924011230469,1.0,0,31
304.7085266113281,2018-01-01,R_A5,1694.1485595703125,0.0,5,STANDARD,20,5,304.7085266113281,1.0,0,31
304.9246520996094,2018-01-01,R_A5,1696.4290771484375,0.0,6,STANDARD,20,6,304.9246520996094,1.0,0,31
305.446533203125,2018-01-01,R_A5,1698.70947265625,0.0,7,STANDARD,20,7,305.446533203125,1.0,0,31
305.988037109375,2018-01-01,R_A5,1707.6488037109375,0.0,8,STANDARD,20,11,305.988037109375,1.0,0,31
306.1695251464844,2018-01-01,R_A5,1709.5638427734375,0.0,9,STANDARD,20,12,306.1695251464844,1.0,0,31
305.4322814941406,2018-01-01,R_A5,1701.7845458984375,0.0,10,STANDARD,21,12,305.4322814941406,1.0,0,31
305.6291198730469,2018-01-01,R_A5,1703.735107421875,0.0,11,STANDARD,21,13,305.6291198730469,1.0,0,31
305.81396484375,2018-01-01,R_A5,1705.6856689453125,0.0,12,STANDARD,21,14,305.81396484375,1.0,0,31
305.9988098144531,2018-01-01,R_A5,1707.63623046875,0.0,13,STANDARD,21,15,305.9988098144531,1.0,0,31
306.3287048339844,2018-01-01,R_A5,1709.5867919921875,0.0,14,STANDARD,21,16,306.3287048339844,1.0,0,31
306.5135498046875,2018-01-01,R_A5,1711.537353515625,0.0,15,STANDARD,21,17,306.5135498046875,1.0,0,31
306.6856994628906,2018-01-01,R_A5,1713.35400390625,0.0,16,STANDARD,21,18,306.6856994628906,1.0,0,31
