CONIDX,WELL,SWAT,CONIPOS,DATE,DEPTH,WELLMODEL,DRAWDOWN,SGAS,CONJPOS,PRESSURE,CONKPOS,CONBPRES
26,R_A4,0.06565133482217789,38,2018-09-12,1655.095703125,STANDARD,0,0.0,47,279.8226013183594,28,279.8226013183594
1,R_A6,1.0,17,2018-11-07,1694.3812255859375,STANDARD,0,-8.400744657134879e-16,42,276.047607421875,1,276.047607421875
2,R_A6,1.0,17,2018-11-07,1695.915283203125,STANDARD,0,-6.046741099739468e-16,42,276.19207763671875,2,276.19207763671875
3,R_A6,1.0,17,2018-11-07,1697.4493408203125,STANDARD,0,-9.96537015301763e-16,42,276.334228515625,3,276.334228515625
4,R_A6,1.0,17,2018-11-07,1698.9833984375,STANDARD,0,-1.3574732124781077e-15,42,276.47320556640625,4,276.47320556640625
5,R_A6,1.0,17,2018-11-07,1700.517578125,STANDARD,0,-2.5058129314879446e-15,42,276.6104431152344,5,276.6104431152344
6,R_A6,1.0,17,2018-11-07,1702.0516357421875,STANDARD,0,-1.4043701911017198e-13,42,276.7499694824219,6,276.7499694824219
7,R_A6,1.0,17,2018-11-07,1703.585693359375,STANDARD,0,-2.5336991619356874e-13,42,276.5945129394531,7,276.5945129394531
8,R_A6,1.0,17,2018-11-07,1705.119873046875,STANDARD,0,-1.7591502798723624e-13,42,276.7389831542969,8,276.7389831542969
9,R_A6,1.0,17,2018-11-07,1706.6539306640625,STANDARD,0,-1.0442782909562097e-14,42,277.1842346191406,9,277.1842346191406
10,R_A6,1.0,17,2018-11-07,1708.18798828125,STANDARD,0,0.0,42,277.1689453125,10,277.1689453125
11,R_A6,1.0,17,2018-11-07,1710.0782470703125,STANDARD,0,-5.406666867685539e-14,42,277.2810974121094,11,277.2810974121094
12,R_A6,1.0,17,2018-11-07,1712.32470703125,STANDARD,0,0.0,42,277.6268005371094,12,277.6268005371094
13,R_A6,1.0,17,2018-11-07,1714.571044921875,STANDARD,0,-9.731482121665852e-16,42,277.7928771972656,13,277.7928771972656
14,R_A6,1.0,17,2018-11-07,1716.8175048828125,STANDARD,0,-7.692375767906435e-16,42,278.0055236816406,14,278.0055236816406
15,R_A6,1.0,17,2018-11-07,1719.06396484375,STANDARD,0,-4.471382637623821e-16,42,278.2185974121094,15,278.2185974121094
16,R_A6,1.0,17,2018-11-07,1721.3104248046875,STANDARD,0,-1.2439232048823076e-16,42,278.5775451660156,16,278.5775451660156
17,R_A6,1.0,17,2018-11-07,1723.556884765625,STANDARD,0,-3.050314932619689e-16,42,278.79119873046875,17,278.79119873046875
18,R_A6,1.0,17,2018-11-07,1725.22314453125,STANDARD,0,-2.2181140616674036e-16,42,278.9491271972656,18,278.9491271972656
19,R_A6,1.0,17,2018-11-07,1726.6201171875,STANDARD,0,-1.9648760920311934e-16,42,279.1905822753906,26,279.1905822753906
20,R_A6,1.0,17,2018-11-07,1728.3280029296875,STANDARD,0,-7.11019970004451e-17,42,279.6069030761719,27,279.6069030761719
21,R_A6,1.0,17,2018-11-07,1730.0357666015625,STANDARD,0,-2.521981663831035e-19,42,279.82257080078125,28,279.82257080078125
22,R_A6,1.0,17,2018-11-07,1731.7435302734375,STANDARD,0,-6.953651814161546e-20,42,280.1237487792969,29,280.1237487792969
23,R_A6,1.0,17,2018-11-07,1733.451416015625,STANDARD,0,1.1030162300819005e-17,42,280.03643798828125,30,280.03643798828125
