SGAS,DEPTH,PRESSURE,CONIDX,CONJPOS,WELL,SWAT,DATE,CONIPOS,WELLMODEL,DRAWDOWN,CONKPOS,CONBPRES
0.0,1699.75390625,305.2398376464844,9,21,R_A5,1.0,2018-01-01,31,STANDARD,0,11,305.2398376464844
0.0,1701.746337890625,305.4286804199219,10,21,R_A5,1.0,2018-01-01,31,STANDARD,0,12,305.4286804199219
0.0,1703.73876953125,305.62945556640625,11,21,R_A5,1.0,2018-01-01,31,STANDARD,0,13,305.62945556640625
0.0,1705.731201171875,305.8182678222656,12,21,R_A5,1.0,2018-01-01,31,STANDARD,0,14,305.8182678222656
0.0,1707.7235107421875,306.0071105957031,13,21,R_A5,1.0,2018-01-01,31,STANDARD,0,15,306.0071105957031
0.0,1709.7159423828125,306.3409423828125,14,21,R_A5,1.0,2018-01-01,31,STANDARD,0,16,306.3409423828125
0.0,1711.7083740234375,306.5297546386719,15,21,R_A5,1.0,2018-01-01,31,STANDARD,0,17,306.5297546386719
0.0,1713.543212890625,306.7036437988281,16,21,R_A5,1.0,2018-01-01,31,STANDARD,0,18,306.7036437988281
0.0,1714.5543212890625,306.7994689941406,17,21,R_A5,1.0,2018-01-01,31,STANDARD,0,19,306.7994689941406
0.0,1715.8935546875,306.7693176269531,18,21,R_A5,1.0,2018-01-01,31,STANDARD,0,26,306.7693176269531
0.0,1718.2274169921875,306.9905090332031,19,21,R_A5,1.0,2018-01-01,31,STANDARD,0,27,306.9905090332031
0.0,1720.561279296875,307.5174865722656,20,21,R_A5,1.0,2018-01-01,31,STANDARD,0,28,307.5174865722656
0.0,1722.8951416015625,307.7386779785156,21,21,R_A5,1.0,2018-01-01,31,STANDARD,0,29,307.7386779785156
0.0,1725.22900390625,307.9598693847656,22,21,R_A5,1.0,2018-01-01,31,STANDARD,0,30,307.9598693847656
0.0,1695.175537109375,305.11163330078125,1,42,R_A6,1.0,2018-01-01,17,STANDARD,0,1,305.11163330078125
0.0,1696.7191162109375,305.2579040527344,2,42,R_A6,1.0,2018-01-01,17,STANDARD,0,2,305.2579040527344
0.0,1698.2625732421875,305.4041748046875,3,42,R_A6,1.0,2018-01-01,17,STANDARD,0,3,305.4041748046875
0.0,1699.80615234375,305.55047607421875,4,42,R_A6,1.0,2018-01-01,17,STANDARD,0,4,305.55047607421875
0.0,1701.349609375,305.6967468261719,5,42,R_A6,1.0,2018-01-01,17,STANDARD,0,5,305.6967468261719
0.0,1702.89306640625,305.843017578125,6,42,R_A6,1.0,2018-01-01,17,STANDARD,0,6,305.843017578125
0.0,1704.4366455078125,305.69024658203125,7,42,R_A6,1.0,2018-01-01,17,STANDARD,0,7,305.69024658203125
0.0,1705.9801025390625,305.8365173339844,8,42,R_A6,1.0,2018-01-01,17,STANDARD,0,8,305.8365173339844
0.0,1707.523681640625,306.2818603515625,9,42,R_A6,1.0,2018-01-01,17,STANDARD,0,9,306.2818603515625
0.0,1709.067138671875,306.1223449707031,10,42,R_A6,1.0,2018-01-01,17,STANDARD,0,10,306.1223449707031
0.0,1710.9720458984375,306.302978515625,11,42,R_A6,1.0,2018-01-01,17,STANDARD,0,11,306.302978515625
0.0,1713.23828125,306.51776123046875,12,42,R_A6,1.0,2018-01-01,17,STANDARD,0,12,306.51776123046875
0.0,1715.5045166015625,306.7445068359375,13,42,R_A6,1.0,2018-01-01,17,STANDARD,0,13,306.7445068359375
0.0,1717.770751953125,306.95928955078125,14,42,R_A6,1.0,2018-01-01,17,STANDARD,0,14,306.95928955078125
0.0,1720.0369873046875,307.174072265625,15,42,R_A6,1.0,2018-01-01,17,STANDARD,0,15,307.174072265625
0.0,1722.30322265625,307.53387451171875,16,42,R_A6,1.0,2018-01-01,17,STANDARD,0,16,307.53387451171875
0.0,1724.569580078125,307.7486877441406,17,42,R_A6,1.0,2018-01-01,17,STANDARD,0,17,307.7486877441406
0.0,1726.2314453125,307.90618896484375,18,42,R_A6,1.0,2018-01-01,17,STANDARD,0,18,307.90618896484375
0.0,1727.6190185546875,307.880615234375,19,42,R_A6,1.0,2018-01-01,17,STANDARD,0,26,307.880615234375
0.0,1729.3365478515625,308.34918212890625,20,42,R_A6,1.0,2018-01-01,17,STANDARD,0,27,308.34918212890625
0.0,1731.0540771484375,308.511962890625,21,42,R_A6,1.0,2018-01-01,17,STANDARD,0,28,308.511962890625
0.0,1732.7716064453125,308.67474365234375,22,42,R_A6,1.0,2018-01-01,17,STANDARD,0,29,308.67474365234375
0.0,1734.489013671875,308.53173828125,23,42,R_A6,1.0,2018-01-01,17,STANDARD,0,30,308.53173828125
0.0,1643.5736083984375,299.5314025878906,1,30,R_A2,0.05367737635970116,2018-03-01,22,STANDARD,0,1,299.5314025878906
0.0,1645.38916015625,299.65313720703125,2,30,R_A2,0.05648424103856087,2018-03-01,22,STANDARD,0,2,299.65313720703125
0.0,1647.2047119140625,299.7748718261719,3,30,R_A2,0.060130927711725235,2018-03-01,22,STANDARD,0,3,299.7748718261719
0.0,1649.020263671875,299.8966064453125,4,30,R_A2,0.06592047959566116,2018-03-01,22,STANDARD,0,4,299.8966064453125
0.0,1650.8358154296875,300.0183410644531,5,30,R_A2,0.07060343772172928,2018-03-01,22,STANDARD,0,5,300.0183410644531
0.0,1652.6513671875,300.1466064453125,6,30,R_A2,0.31765830516815186,2018-03-01,22,STANDARD,0,6,300.1466064453125
0.0,1654.4669189453125,300.2749328613281,7,30,R_A2,0.885354220867157,2018-03-01,22,STANDARD,0,7,300.2749328613281
0.0,1656.282470703125,300.4006652832031,8,30,R_A2,0.8764214515686035,2018-03-01,22,STANDARD,0,8,300.4006652832031
0.0,1658.0980224609375,300.6690368652344,9,30,R_A2,0.8953645825386047,2018-03-01,22,STANDARD,0,9,300.6690368652344
0.0,1659.91357421875,300.9449768066406,10,30,R_A2,0.912596583366394,2018-03-01,22,STANDARD,0,10,300.9449768066406
