WELLMODEL,DATE,SWAT,DRAWDOWN,CONJPOS,CONBPRES,CONKPOS,PRESSURE,DEPTH,WELL,CONIPOS,SGAS,CONIDX
STANDARD,2018-01-01,1.0,0,21,305.36004638671875,11,305.36004638671875,1701.0220947265625,R_A5,31,0.0,9
STANDARD,2018-01-01,1.0,0,21,305.5540771484375,12,305.5540771484375,1703.069580078125,R_A5,31,0.0,10
STANDARD,2018-01-01,1.0,0,21,305.76007080078125,13,305.76007080078125,1705.116943359375,R_A5,31,0.0,11
STANDARD,2018-01-01,1.0,0,21,305.9541015625,14,305.9541015625,1707.1644287109375,R_A5,31,0.0,12
STANDARD,2018-01-01,1.0,0,21,306.1481628417969,15,306.1481628417969,1709.2119140625,R_A5,31,0.0,13
STANDARD,2018-01-01,1.0,0,21,306.4872131347656,16,306.4872131347656,1711.25927734375,R_A5,31,0.0,14
STANDARD,2018-01-01,1.0,0,21,306.6798095703125,17,306.6798095703125,1713.291748046875,R_A5,31,0.0,15
STANDARD,2018-01-01,1.0,0,21,306.81689453125,18,306.81689453125,1714.7379150390625,R_A5,31,0.0,16
STANDARD,2018-01-01,1.0,0,21,306.8756408691406,19,306.8756408691406,1715.3580322265625,R_A5,31,0.0,17
STANDARD,2018-01-01,1.0,0,21,306.8460693359375,27,306.8460693359375,1716.7034912109375,R_A5,31,0.0,18
STANDARD,2018-01-01,1.0,0,21,307.0665283203125,28,307.0665283203125,1719.0296630859375,R_A5,31,0.0,19
STANDARD,2018-01-01,1.0,0,21,307.5927734375,29,307.5927734375,1721.35595703125,R_A5,31,0.0,20
STANDARD,2018-01-01,1.0,0,21,307.8132629394531,30,307.8132629394531,1723.68212890625,R_A5,31,0.0,21
STANDARD,2018-01-01,1.0,0,21,308.0337219238281,31,308.0337219238281,1726.00830078125,R_A5,31,0.0,22
STANDARD,2018-01-01,1.0,0,42,305.00994873046875,1,305.00994873046875,1694.1025390625,R_A6,17,0.0,1
STANDARD,2018-01-01,1.0,0,42,305.1551208496094,2,305.1551208496094,1695.634521484375,R_A6,17,0.0,2
STANDARD,2018-01-01,1.0,0,42,305.3003234863281,3,305.3003234863281,1697.16650390625,R_A6,17,0.0,3
STANDARD,2018-01-01,1.0,0,42,305.44549560546875,4,305.44549560546875,1698.698486328125,R_A6,17,0.0,4
STANDARD,2018-01-01,1.0,0,42,305.5906982421875,5,305.5906982421875,1700.2305908203125,R_A6,17,0.0,5
STANDARD,2018-01-01,1.0,0,42,305.7358703613281,6,305.7358703613281,1701.762451171875,R_A6,17,0.0,6
STANDARD,2018-01-01,1.0,0,42,305.5820007324219,7,305.5820007324219,1703.29443359375,R_A6,17,0.0,7
STANDARD,2018-01-01,1.0,0,42,305.7272033691406,8,305.7272033691406,1704.8265380859375,R_A6,17,0.0,8
STANDARD,2018-01-01,1.0,0,42,306.17144775390625,9,306.17144775390625,1706.3585205078125,R_A6,17,0.0,9
STANDARD,2018-01-01,1.0,0,42,306.0108337402344,10,306.0108337402344,1707.8905029296875,R_A6,17,0.0,10
STANDARD,2018-01-01,1.0,0,42,306.1960144042969,11,306.1960144042969,1709.843017578125,R_A6,17,0.0,11
STANDARD,2018-01-01,1.0,0,42,306.4208984375,12,306.4208984375,1712.216064453125,R_A6,17,0.0,12
STANDARD,2018-01-01,1.0,0,42,306.65777587890625,13,306.65777587890625,1714.589111328125,R_A6,17,0.0,13
STANDARD,2018-01-01,1.0,0,42,306.8826599121094,14,306.8826599121094,1716.962158203125,R_A6,17,0.0,14
STANDARD,2018-01-01,1.0,0,42,307.1075744628906,15,307.1075744628906,1719.335205078125,R_A6,17,0.0,15
STANDARD,2018-01-01,1.0,0,42,307.47747802734375,16,307.47747802734375,1721.708251953125,R_A6,17,0.0,16
STANDARD,2018-01-01,1.0,0,42,307.69976806640625,17,307.69976806640625,1724.0535888671875,R_A6,17,0.0,17
STANDARD,2018-01-01,1.0,0,42,307.8210144042969,18,307.8210144042969,1725.332763671875,R_A6,17,0.0,18
STANDARD,2018-01-01,1.0,0,42,307.75628662109375,27,307.75628662109375,1726.3072509765625,R_A6,17,0.0,19
STANDARD,2018-01-01,1.0,0,42,308.22393798828125,28,308.22393798828125,1728.0152587890625,R_A6,17,0.0,20
STANDARD,2018-01-01,1.0,0,42,308.38580322265625,29,308.38580322265625,1729.72314453125,R_A6,17,0.0,21
STANDARD,2018-01-01,1.0,0,42,308.5476989746094,30,308.5476989746094,1731.4310302734375,R_A6,17,0.0,22
STANDARD,2018-01-01,1.0,0,42,308.4037780761719,31,308.4037780761719,1733.138916015625,R_A6,17,0.0,23
STANDARD,2018-03-01,0.054261691868305206,0,30,297.80096435546875,1,297.80096435546875,1640.78515625,R_A2,22,0.0,1
STANDARD,2018-03-01,0.056002307683229446,0,30,297.91680908203125,2,297.91680908203125,1642.5142822265625,R_A2,22,0.0,2
STANDARD,2018-03-01,0.059479497373104095,0,30,298.03271484375,3,298.03271484375,1644.243408203125,R_A2,22,0.0,3
STANDARD,2018-03-01,0.06396184861660004,0,30,298.14862060546875,4,298.14862060546875,1645.972412109375,R_A2,22,0.0,4
STANDARD,2018-03-01,0.06641827523708344,0,30,298.2645263671875,5,298.2645263671875,1647.7015380859375,R_A2,22,0.0,5
STANDARD,2018-03-01,0.2242024689912796,0,30,298.38067626953125,6,298.38067626953125,1649.4306640625,R_A2,22,0.0,6
STANDARD,2018-03-01,0.6530457735061646,0,30,298.5221862792969,7,298.5221862792969,1651.1597900390625,R_A2,22,0.0,7
STANDARD,2018-03-01,0.8505929112434387,0,30,298.7906799316406,8,298.7906799316406,1652.888916015625,R_A2,22,0.0,8
STANDARD,2018-03-01,0.29635506868362427,0,30,299.0394592285156,9,299.0394592285156,1654.617919921875,R_A2,22,0.0,9
STANDARD,2018-03-01,0.16681180894374847,0,30,299.2054138183594,10,299.2054138183594,1656.3470458984375,R_A2,22,0.0,10
STANDARD,2018-03-01,0.0692199319601059,0,30,299.42596435546875,11,299.42596435546875,1658.2193603515625,R_A2,22,0.0,11
STANDARD,2018-03-01,0.22329649329185486,0,30,299.5526123046875,12,299.5526123046875,1660.235107421875,R_A2,22,0.0,12
STANDARD,2018-03-01,0.4325679838657379,0,30,299.8510437011719,13,299.8510437011719,1662.250732421875,R_A2,22,0.0,13
STANDARD,2018-03-01,0.47104358673095703,0,30,299.9864807128906,14,299.9864807128906,1664.266357421875,R_A2,22,0.0,14
STANDARD,2018-03-01,0.9027870297431946,0,30,300.1218566894531,15,300.1218566894531,1666.2821044921875,R_A2,22,0.0,15
STANDARD,2018-03-01,0.9168282747268677,0,30,300.2565612792969,16,300.2565612792969,1668.2977294921875,R_A2,22,0.0,16
STANDARD,2018-03-01,0.9398509860038757,0,29,300.2093505859375,16,300.2093505859375,1671.7132568359375,R_A2,22,0.0,17
STANDARD,2018-03-01,0.9313533902168274,0,29,300.3536376953125,17,300.3536376953125,1673.8525390625,R_A2,22,0.0,18
STANDARD,2018-03-01,0.9778556823730469,0,29,300.46661376953125,18,300.46661376953125,1675.5357666015625,R_A2,22,0.0,19
STANDARD,2018-03-01,0.9999999403953552,0,29,303.0874938964844,27,303.0874938964844,1677.0250244140625,R_A2,22,-4.1860106492208615e-09,20
STANDARD,2018-03-01,1.0,0,29,303.1546325683594,28,303.1546325683594,1678.77587890625,R_A2,22,-8.481073556083332e-17,21
STANDARD,2018-03-01,0.9999999403953552,0,29,303.0880126953125,29,303.0880126953125,1680.52685546875,R_A2,22,-8.658785688453463e-09,22
STANDARD,2018-03-01,1.0,0,29,303.09765625,30,303.09765625,1682.27783203125,R_A2,22,-9.71269704847812e-16,23
STANDARD,2018-03-01,1.0,0,29,302.7686462402344,31,302.7686462402344,1684.02880859375,R_A2,22,-1.2222497048752085e-13,24
STANDARD,2018-04-28,1.0,0,20,276.0435791015625,1,276.0435791015625,1684.9058837890625,R_A5,31,-9.525853413364094e-13,1
STANDARD,2018-04-28,1.0,0,20,276.2611389160156,2,276.2611389160156,1687.200439453125,R_A5,31,-6.449550095377621e-13,2
STANDARD,2018-04-28,1.0,0,20,276.4790954589844,3,276.4790954589844,1689.4949951171875,R_A5,31,-2.6931007771069382e-11,3
STANDARD,2018-04-28,1.0,0,20,276.69671630859375,4,276.69671630859375,1691.78955078125,R_A5,31,-3.687173483202244e-11,4
STANDARD,2018-04-28,1.0,0,20,276.9140319824219,5,276.9140319824219,1694.084228515625,R_A5,31,-3.3405108540440764e-11,5
STANDARD,2018-04-28,1.0,0,20,277.1311340332031,6,277.1311340332031,1696.37890625,R_A5,31,-1.8919848326914845e-11,6
STANDARD,2018-04-28,1.0,0,20,277.6708679199219,7,277.6708679199219,1698.6734619140625,R_A5,31,-1.0627561791752907e-13,7
STANDARD,2018-04-28,1.0,0,20,277.9086608886719,8,277.9086608886719,1700.968017578125,R_A5,31,-1.5199355717174928e-13,8
STANDARD,2018-04-28,1.0,0,21,276.6955261230469,11,276.6955261230469,1701.0220947265625,R_A5,31,-2.709985014170968e-12,9
STANDARD,2018-04-28,1.0,0,21,276.87933349609375,12,276.87933349609375,1703.069580078125,R_A5,31,-1.96393140465545e-12,10
STANDARD,2018-04-28,1.0,0,21,277.0865173339844,13,277.0865173339844,1705.116943359375,R_A5,31,-1.213006745829498e-13,11
STANDARD,2018-04-28,1.0,0,21,277.28228759765625,14,277.28228759765625,1707.1644287109375,R_A5,31,-1.5239068687500357e-13,12
STANDARD,2018-04-28,1.0,0,21,277.47772216796875,15,277.47772216796875,1709.2119140625,R_A5,31,-6.474298365217318e-14,13
STANDARD,2018-04-28,1.0,0,21,277.8243408203125,16,277.8243408203125,1711.25927734375,R_A5,31,-7.348986599386292e-15,14
STANDARD,2018-04-28,1.0,0,21,278.0281677246094,17,278.0281677246094,1713.291748046875,R_A5,31,-8.35583264093085e-15,15
STANDARD,2018-04-28,1.0,0,21,278.1703796386719,18,278.1703796386719,1714.7379150390625,R_A5,31,-7.401444196842698e-15,16
