DEPTH,PRESSURE,SGAS,CONIPOS,CONBPRES,CONJPOS,WELLMODEL,CONKPOS,DRAWDOWN,DATE,CONIDX,SWAT,WELL
1719.546142578125,307.115478515625,0.0,31,307.115478515625,21,STANDARD,26,0,2018-01-01,18,1.0,R_A5
1721.8612060546875,307.64068603515625,0.0,31,307.64068603515625,21,STANDARD,27,0,2018-01-01,19,1.0,R_A5
1724.1763916015625,307.860107421875,0.0,31,307.860107421875,21,STANDARD,28,0,2018-01-01,20,1.0,R_A5
1726.491455078125,308.07952880859375,0.0,31,308.07952880859375,21,STANDARD,29,0,2018-01-01,21,1.0,R_A5
1695.238037109375,304.811767578125,0.0,17,304.811767578125,42,STANDARD,1,0,2018-01-01,1,1.0,R_A6
1696.77734375,305.263427734375,0.0,17,305.263427734375,42,STANDARD,2,0,2018-01-01,2,1.0,R_A6
1698.3167724609375,305.4093322753906,0.0,17,305.4093322753906,42,STANDARD,3,0,2018-01-01,3,1.0,R_A6
1699.8560791015625,305.5552062988281,0.0,17,305.5552062988281,42,STANDARD,4,0,2018-01-01,4,1.0,R_A6
1701.395263671875,305.7010803222656,0.0,17,305.7010803222656,42,STANDARD,5,0,2018-01-01,5,1.0,R_A6
1702.9345703125,305.8469543457031,0.0,17,305.8469543457031,42,STANDARD,6,0,2018-01-01,6,1.0,R_A6
1704.4739990234375,305.69378662109375,0.0,17,305.69378662109375,42,STANDARD,7,0,2018-01-01,7,1.0,R_A6
1706.0133056640625,305.83966064453125,0.0,17,305.83966064453125,42,STANDARD,8,0,2018-01-01,8,1.0,R_A6
1707.5526123046875,306.28460693359375,0.0,17,306.28460693359375,42,STANDARD,9,0,2018-01-01,9,1.0,R_A6
1709.0919189453125,306.12469482421875,0.0,17,306.12469482421875,42,STANDARD,10,0,2018-01-01,10,1.0,R_A6
1711.011474609375,306.3067321777344,0.0,17,306.3067321777344,42,STANDARD,11,0,2018-01-01,11,1.0,R_A6
1713.3114013671875,306.52471923828125,0.0,17,306.52471923828125,42,STANDARD,12,0,2018-01-01,12,1.0,R_A6
1715.611328125,306.754638671875,0.0,17,306.754638671875,42,STANDARD,13,0,2018-01-01,13,1.0,R_A6
1717.9112548828125,306.9726257324219,0.0,17,306.9726257324219,42,STANDARD,14,0,2018-01-01,14,1.0,R_A6
1720.211181640625,307.1905822753906,0.0,17,307.1905822753906,42,STANDARD,15,0,2018-01-01,15,1.0,R_A6
1722.5111083984375,307.5535888671875,0.0,17,307.5535888671875,42,STANDARD,16,0,2018-01-01,16,1.0,R_A6
1724.81103515625,307.7715759277344,0.0,17,307.7715759277344,42,STANDARD,17,0,2018-01-01,17,1.0,R_A6
1726.3416748046875,307.9166259765625,0.0,17,307.9166259765625,42,STANDARD,18,0,2018-01-01,18,1.0,R_A6
1727.5791015625,307.8768005371094,0.0,17,307.8768005371094,42,STANDARD,25,0,2018-01-01,19,1.0,R_A6
1729.2923583984375,308.344970703125,0.0,17,308.344970703125,42,STANDARD,26,0,2018-01-01,20,1.0,R_A6
1731.005615234375,308.50738525390625,0.0,17,308.50738525390625,42,STANDARD,27,0,2018-01-01,21,1.0,R_A6
1732.718994140625,308.6697692871094,0.0,17,308.6697692871094,42,STANDARD,28,0,2018-01-01,22,1.0,R_A6
1734.43212890625,308.5263671875,0.0,17,308.5263671875,42,STANDARD,29,0,2018-01-01,23,1.0,R_A6
1640.1754150390625,298.60931396484375,0.0,22,298.60931396484375,30,STANDARD,1,0,2018-03-01,1,0.05399925634264946,R_A2
1641.8768310546875,298.7233581542969,0.0,22,298.7233581542969,30,STANDARD,2,0,2018-03-01,2,0.05684980750083923,R_A2
1643.5782470703125,298.83746337890625,0.0,22,298.83746337890625,30,STANDARD,3,0,2018-03-01,3,0.060673728585243225,R_A2
1645.2796630859375,298.9515686035156,0.0,22,298.9515686035156,30,STANDARD,4,0,2018-03-01,4,0.06521222740411758,R_A2
1646.98095703125,299.0657043457031,0.0,22,299.0657043457031,30,STANDARD,5,0,2018-03-01,5,0.06739024817943573,R_A2
1648.6822509765625,299.2403259277344,0.0,22,299.2403259277344,30,STANDARD,6,0,2018-03-01,6,0.30577459931373596,R_A2
1650.3836669921875,299.3515930175781,0.0,22,299.3515930175781,30,STANDARD,7,0,2018-03-01,7,0.876904308795929,R_A2
1652.0850830078125,299.47357177734375,0.0,22,299.47357177734375,30,STANDARD,8,0,2018-03-01,8,0.8603572845458984,R_A2
1653.7864990234375,299.9620361328125,0.0,22,299.9620361328125,30,STANDARD,9,0,2018-03-01,9,0.8767755031585693,R_A2
1655.4879150390625,300.31646728515625,0.0,22,300.31646728515625,30,STANDARD,10,0,2018-03-01,10,0.8814288377761841,R_A2
1657.3509521484375,300.29718017578125,0.0,22,300.29718017578125,30,STANDARD,11,0,2018-03-01,11,0.07049670815467834,R_A2
1661.400146484375,300.8636169433594,0.0,22,300.8636169433594,30,STANDARD,13,0,2018-03-01,12,0.43858271837234497,R_A2
1663.4248046875,300.9996337890625,0.0,22,300.9996337890625,30,STANDARD,14,0,2018-03-01,13,0.48021870851516724,R_A2
1665.449462890625,301.13616943359375,0.0,22,301.13616943359375,30,STANDARD,15,0,2018-03-01,14,0.950694739818573,R_A2
1667.47412109375,301.2728576660156,0.0,22,301.2728576660156,30,STANDARD,16,0,2018-03-01,15,0.9264904856681824,R_A2
1671.0802001953125,301.3804016113281,0.0,22,301.3804016113281,29,STANDARD,16,0,2018-03-01,16,0.9603525400161743,R_A2
1673.1815185546875,301.5213317871094,0.0,22,301.5213317871094,29,STANDARD,17,0,2018-03-01,17,0.945436954498291,R_A2
1674.8831787109375,301.6354675292969,0.0,22,301.6354675292969,29,STANDARD,18,0,2018-03-01,18,0.989555835723877,R_A2
1676.4173583984375,302.44207763671875,-2.7040703630947926e-16,22,302.44207763671875,29,STANDARD,25,0,2018-03-01,19,1.0,R_A2
1678.1834716796875,302.3161926269531,-5.586331093890284e-13,22,302.3161926269531,29,STANDARD,26,0,2018-03-01,20,1.0,R_A2
1679.9495849609375,302.3395690917969,0.0,22,302.3395690917969,29,STANDARD,27,0,2018-03-01,21,0.998711109161377,R_A2
1681.7156982421875,302.6292724609375,2.6363416658070626e-12,22,302.6292724609375,29,STANDARD,28,0,2018-03-01,22,1.0,R_A2
1683.4818115234375,303.33624267578125,7.841208324115183e-17,22,303.33624267578125,29,STANDARD,29,0,2018-03-01,23,1.0,R_A2
1684.379638671875,283.034912109375,8.878690426102065e-13,31,283.034912109375,20,STANDARD,1,0,2018-04-28,1,1.0,R_A5
1686.60791015625,283.2458801269531,1.0064563115211311e-12,31,283.2458801269531,20,STANDARD,2,0,2018-04-28,2,1.0,R_A5
1688.836181640625,283.4567565917969,8.948354752492949e-13,31,283.4567565917969,20,STANDARD,3,0,2018-04-28,3,1.0,R_A5
1691.0645751953125,283.6676025390625,9.397634580243786e-13,31,283.6676025390625,20,STANDARD,4,0,2018-04-28,4,1.0,R_A5
1693.29296875,283.87847900390625,6.529030788238188e-13,31,283.87847900390625,20,STANDARD,5,0,2018-04-28,5,1.0,R_A5
1695.521240234375,284.08935546875,3.939244763717653e-13,31,284.08935546875,20,STANDARD,6,0,2018-04-28,6,1.0,R_A5
1697.7496337890625,284.6166687011719,6.326852036660268e-15,31,284.6166687011719,20,STANDARD,7,0,2018-04-28,7,1.0,R_A5
1701.326416015625,278.68536376953125,-7.025559994877639e-11,31,278.68536376953125,21,STANDARD,11,0,2018-04-28,8,1.0,R_A5
1703.29052734375,278.9216613769531,-4.352137400465139e-11,31,278.9216613769531,21,STANDARD,12,0,2018-04-28,9,1.0,R_A5
1705.254638671875,279.1199035644531,-2.5523467887811346e-12,31,279.1199035644531,21,STANDARD,13,0,2018-04-28,10,1.0,R_A5
1707.2188720703125,279.3069763183594,-5.413572368162534e-12,31,279.3069763183594,21,STANDARD,14,0,2018-04-28,11,1.0,R_A5
1709.18310546875,279.734619140625,-5.267418012183667e-12,31,279.734619140625,21,STANDARD,15,0,2018-04-28,12,1.0,R_A5
1711.147216796875,280.5245361328125,-4.018976124120499e-12,31,280.5245361328125,21,STANDARD,16,0,2018-04-28,13,1.0,R_A5
1713.111328125,280.71710205078125,-8.016486237848175e-13,31,280.71710205078125,21,STANDARD,17,0,2018-04-28,14,1.0,R_A5
1714.9012451171875,280.8914794921875,-1.5712779384904896e-12,31,280.8914794921875,21,STANDARD,18,0,2018-04-28,15,1.0,R_A5
1715.891357421875,280.9859619140625,0.0,31,280.9859619140625,21,STANDARD,19,0,2018-04-28,16,1.0,R_A5
1717.23095703125,287.5656433105469,-7.583259649564245e-14,31,287.5656433105469,21,STANDARD,25,0,2018-04-28,17,1.0,R_A5
1719.546142578125,287.7168884277344,-6.77368520974296e-14,31,287.7168884277344,21,STANDARD,26,0,2018-04-28,18,1.0,R_A5
