CONKPOS,CONBPRES,CONIDX,SWAT,CONJPOS,WELL,SGAS,WELLMODEL,CONIPOS,DEPTH,DATE,DRAWDOWN,PRESSURE
30,301.7947998046875,20,0.6481541991233826,47,R_A4,0.0,STANDARD,38,1657.8184814453125,2018-01-01,0,301.7947998046875
1,303.8440856933594,1,1.0,20,R_A5,0.0,STANDARD,31,1685.026611328125,2018-01-01,0,303.8440856933594
2,304.0601806640625,2,1.0,20,R_A5,0.0,STANDARD,31,1687.3070068359375,2018-01-01,0,304.0601806640625
3,304.27630615234375,3,1.0,20,R_A5,0.0,STANDARD,31,1689.5875244140625,2018-01-01,0,304.27630615234375
4,304.4924011230469,4,1.0,20,R_A5,0.0,STANDARD,31,1691.8680419921875,2018-01-01,0,304.4924011230469
5,304.7085266113281,5,1.0,20,R_A5,0.0,STANDARD,31,1694.1485595703125,2018-01-01,0,304.7085266113281
6,304.9246520996094,6,1.0,20,R_A5,0.0,STANDARD,31,1696.4290771484375,2018-01-01,0,304.9246520996094
7,305.446533203125,7,1.0,20,R_A5,0.0,STANDARD,31,1698.70947265625,2018-01-01,0,305.446533203125
11,305.988037109375,8,1.0,20,R_A5,0.0,STANDARD,31,1707.6488037109375,2018-01-01,0,305.988037109375
12,306.1695251464844,9,1.0,20,R_A5,0.0,STANDARD,31,1709.5638427734375,2018-01-01,0,306.1695251464844
12,305.4322814941406,10,1.0,21,R_A5,0.0,STANDARD,31,1701.7845458984375,2018-01-01,0,305.4322814941406
13,305.6291198730469,11,1.0,21,R_A5,0.0,STANDARD,31,1703.735107421875,2018-01-01,0,305.6291198730469
14,305.81396484375,12,1.0,21,R_A5,0.0,STANDARD,31,1705.6856689453125,2018-01-01,0,305.81396484375
15,305.9988098144531,13,1.0,21,R_A5,0.0,STANDARD,31,1707.63623046875,2018-01-01,0,305.9988098144531
16,306.3287048339844,14,1.0,21,R_A5,0.0,STANDARD,31,1709.5867919921875,2018-01-01,0,306.3287048339844
17,306.5135498046875,15,1.0,21,R_A5,0.0,STANDARD,31,1711.537353515625,2018-01-01,0,306.5135498046875
