SGAS,SWAT,CONJPOS,WELLMODEL,DATE,DRAWDOWN,CONIDX,CONIPOS,CONBPRES,WELL,PRESSURE,CONKPOS,DEPTH
0.0,0.6481541991233826,50,STANDARD,2018-01-01,0,17,35,300.59893798828125,R_A4,300.59893798828125,3,1640.217041015625
0.0,0.24227185547351837,49,STANDARD,2018-01-01,0,18,35,300.80548095703125,R_A4,300.80548095703125,3,1643.2969970703125
0.0,0.23759950697422028,49,STANDARD,2018-01-01,0,19,35,300.68402099609375,R_A4,300.68402099609375,2,1641.4857177734375
0.0,0.2341139316558838,49,STANDARD,2018-01-01,0,20,35,300.56256103515625,R_A4,300.56256103515625,1,1639.6744384765625
0.0,0.8567411303520203,49,STANDARD,2018-01-01,0,21,36,300.7059020996094,R_A4,300.7059020996094,34,1641.8121337890625
0.0,0.1310752034187317,48,STANDARD,2018-01-01,0,22,36,300.32672119140625,R_A4,300.32672119140625,34,1636.1568603515625
0.0,0.23433302342891693,48,STANDARD,2018-01-01,0,23,37,300.857421875,R_A4,300.857421875,34,1644.07177734375
0.0,0.06338997185230255,48,STANDARD,2018-01-01,0,24,38,301.328125,R_A4,301.328125,34,1651.091064453125
0.0,0.07161707431077957,48,STANDARD,2018-01-01,0,25,38,301.71612548828125,R_A4,301.71612548828125,35,1656.8763427734375
0.0,0.0701855719089508,47,STANDARD,2018-01-01,0,26,38,301.5978698730469,R_A4,301.5978698730469,34,1655.11279296875
0.0,1.0,20,STANDARD,2018-01-01,0,1,31,303.8399353027344,R_A5,303.8399353027344,1,1684.982666015625
0.0,1.0,20,STANDARD,2018-01-01,0,2,31,304.0768127441406,R_A5,304.0768127441406,2,1687.4825439453125
0.0,1.0,20,STANDARD,2018-01-01,0,3,31,304.313720703125,R_A5,304.313720703125,3,1689.982421875
0.0,1.0,20,STANDARD,2018-01-01,0,4,31,304.55059814453125,R_A5,304.55059814453125,4,1692.482177734375
0.0,1.0,20,STANDARD,2018-01-01,0,5,31,304.7875061035156,R_A5,304.7875061035156,5,1694.98193359375
0.0,1.0,20,STANDARD,2018-01-01,0,6,31,305.0243835449219,R_A5,305.0243835449219,6,1697.481689453125
0.0,1.0,20,STANDARD,2018-01-01,0,7,31,305.56707763671875,R_A5,305.56707763671875,7,1699.9814453125
0.0,1.0,20,STANDARD,2018-01-01,0,8,31,306.1795654296875,R_A5,306.1795654296875,11,1709.669677734375
0.0,1.0,21,STANDARD,2018-01-01,0,9,31,305.041748046875,R_A5,305.041748046875,11,1697.66357421875
0.0,1.0,21,STANDARD,2018-01-01,0,10,31,305.21771240234375,R_A5,305.21771240234375,12,1699.5201416015625
0.0,1.0,21,STANDARD,2018-01-01,0,11,31,305.4056091308594,R_A5,305.4056091308594,13,1701.376708984375
0.0,1.0,21,STANDARD,2018-01-01,0,12,31,305.58154296875,R_A5,305.58154296875,14,1703.2333984375
0.0,1.0,21,STANDARD,2018-01-01,0,13,31,305.75750732421875,R_A5,305.75750732421875,15,1705.0899658203125
0.0,1.0,21,STANDARD,2018-01-01,0,14,31,305.9334411621094,R_A5,305.9334411621094,16,1706.946533203125
0.0,1.0,21,STANDARD,2018-01-01,0,15,31,306.2544250488281,R_A5,306.2544250488281,17,1708.8031005859375
0.0,1.0,21,STANDARD,2018-01-01,0,16,31,306.43035888671875,R_A5,306.43035888671875,18,1710.65966796875
0.0,1.0,21,STANDARD,2018-01-01,0,17,31,306.59124755859375,R_A5,306.59124755859375,19,1712.357177734375
0.0,1.0,21,STANDARD,2018-01-01,0,18,31,306.7005310058594,R_A5,306.7005310058594,20,1713.5103759765625
0.0,1.0,21,STANDARD,2018-01-01,0,19,31,306.70123291015625,R_A5,306.70123291015625,32,1715.1751708984375
0.0,1.0,21,STANDARD,2018-01-01,0,20,31,306.9439697265625,R_A5,306.9439697265625,33,1717.7366943359375
0.0,1.0,21,STANDARD,2018-01-01,0,21,31,307.1867370605469,R_A5,307.1867370605469,34,1720.298095703125
0.0,1.0,21,STANDARD,2018-01-01,0,22,31,307.73529052734375,R_A5,307.73529052734375,35,1722.859619140625
