CONIDX,DEPTH,CONIPOS,CONBPRES,DRAWDOWN,SGAS,CONKPOS,PRESSURE,CONJPOS,SWAT,WELLMODEL,DATE,WELL
11,1704.544189453125,31,305.7057800292969,0,0.0,13,305.7057800292969,21,1.0,STANDARD,2018-01-01,R_A5
12,1706.4837646484375,31,305.88958740234375,0,0.0,14,305.88958740234375,21,1.0,STANDARD,2018-01-01,R_A5
13,1708.42333984375,31,306.07342529296875,0,0.0,15,306.07342529296875,21,1.0,STANDARD,2018-01-01,R_A5
14,1710.363037109375,31,306.4022521972656,0,0.0,16,306.4022521972656,21,1.0,STANDARD,2018-01-01,R_A5
15,1712.2816162109375,31,306.5840759277344,0,0.0,17,306.5840759277344,21,1.0,STANDARD,2018-01-01,R_A5
16,1713.7669677734375,31,306.724853515625,0,0.0,18,306.724853515625,21,1.0,STANDARD,2018-01-01,R_A5
17,1714.422119140625,31,306.7869567871094,0,0.0,19,306.7869567871094,21,1.0,STANDARD,2018-01-01,R_A5
18,1715.6734619140625,31,306.7484436035156,0,0.0,26,306.7484436035156,21,1.0,STANDARD,2018-01-01,R_A5
19,1717.938720703125,31,306.963134765625,0,0.0,27,306.963134765625,21,1.0,STANDARD,2018-01-01,R_A5
20,1720.2039794921875,31,307.4836120605469,0,0.0,28,307.4836120605469,21,1.0,STANDARD,2018-01-01,R_A5
21,1722.46923828125,31,307.69830322265625,0,0.0,29,307.69830322265625,21,1.0,STANDARD,2018-01-01,R_A5
22,1724.734619140625,31,307.9129943847656,0,0.0,30,307.9129943847656,21,1.0,STANDARD,2018-01-01,R_A5
1,1694.1885986328125,17,305.0180969238281,0,0.0,1,305.0180969238281,42,1.0,STANDARD,2018-01-01,R_A6
2,1695.718994140625,17,305.16314697265625,0,0.0,2,305.16314697265625,42,1.0,STANDARD,2018-01-01,R_A6
3,1697.249267578125,17,305.30816650390625,0,0.0,3,305.30816650390625,42,1.0,STANDARD,2018-01-01,R_A6
4,1698.779541015625,17,305.45318603515625,0,0.0,4,305.45318603515625,42,1.0,STANDARD,2018-01-01,R_A6
5,1700.3099365234375,17,305.59820556640625,0,0.0,5,305.59820556640625,42,1.0,STANDARD,2018-01-01,R_A6
6,1701.8402099609375,17,305.74322509765625,0,0.0,6,305.74322509765625,42,1.0,STANDARD,2018-01-01,R_A6
7,1703.37060546875,17,305.5892028808594,0,0.0,7,305.5892028808594,42,1.0,STANDARD,2018-01-01,R_A6
8,1704.90087890625,17,305.7342529296875,0,0.0,8,305.7342529296875,42,1.0,STANDARD,2018-01-01,R_A6
9,1706.4312744140625,17,306.1783142089844,0,0.0,9,306.1783142089844,42,1.0,STANDARD,2018-01-01,R_A6
10,1707.961669921875,17,306.017578125,0,0.0,10,306.017578125,42,1.0,STANDARD,2018-01-01,R_A6
11,1709.8623046875,17,306.19781494140625,0,0.0,11,306.19781494140625,42,1.0,STANDARD,2018-01-01,R_A6
12,1712.1331787109375,17,306.4130554199219,0,0.0,12,306.4130554199219,42,1.0,STANDARD,2018-01-01,R_A6
13,1714.4041748046875,17,306.6402282714844,0,0.0,13,306.6402282714844,42,1.0,STANDARD,2018-01-01,R_A6
14,1716.675048828125,17,306.85546875,0,0.0,14,306.85546875,42,1.0,STANDARD,2018-01-01,R_A6
15,1718.946044921875,17,307.0706787109375,0,0.0,15,307.0706787109375,42,1.0,STANDARD,2018-01-01,R_A6
16,1721.2169189453125,17,307.4309387207031,0,0.0,16,307.4309387207031,42,1.0,STANDARD,2018-01-01,R_A6
17,1723.4879150390625,17,307.6461486816406,0,0.0,17,307.6461486816406,42,1.0,STANDARD,2018-01-01,R_A6
18,1725.0589599609375,17,307.7950744628906,0,0.0,18,307.7950744628906,42,1.0,STANDARD,2018-01-01,R_A6
19,1726.3470458984375,17,307.7600402832031,0,0.0,26,307.7600402832031,42,1.0,STANDARD,2018-01-01,R_A6
20,1728.0516357421875,17,307.9216003417969,0,0.0,27,307.9216003417969,42,1.0,STANDARD,2018-01-01,R_A6
21,1729.75634765625,17,308.3889465332031,0,0.0,28,308.3889465332031,42,1.0,STANDARD,2018-01-01,R_A6
22,1731.4609375,17,308.550537109375,0,0.0,29,308.550537109375,42,1.0,STANDARD,2018-01-01,R_A6
23,1733.1656494140625,17,308.40631103515625,0,0.0,30,308.40631103515625,42,1.0,STANDARD,2018-01-01,R_A6
1,1639.932861328125,22,298.1425476074219,0,0.0,1,298.1425476074219,30,0.052597373723983765,STANDARD,2018-03-01,R_A2
2,1641.6949462890625,22,298.2606201171875,0,0.0,2,298.2606201171875,30,0.0551103837788105,STANDARD,2018-03-01,R_A2
3,1643.45703125,22,298.37872314453125,0,0.0,3,298.37872314453125,30,0.05726971849799156,STANDARD,2018-03-01,R_A2
4,1645.2191162109375,22,298.496826171875,0,0.0,4,298.496826171875,30,0.06224842742085457,STANDARD,2018-03-01,R_A2
5,1646.981201171875,22,298.61492919921875,0,0.0,5,298.61492919921875,30,0.06587083637714386,STANDARD,2018-03-01,R_A2
6,1648.743408203125,22,298.75018310546875,0,0.0,6,298.75018310546875,30,0.30350956320762634,STANDARD,2018-03-01,R_A2
7,1650.5054931640625,22,298.8411865234375,0,0.0,7,298.8411865234375,30,0.6682382822036743,STANDARD,2018-03-01,R_A2
8,1652.267578125,22,298.9818115234375,0,0.0,8,298.9818115234375,30,0.8703177571296692,STANDARD,2018-03-01,R_A2
9,1654.0296630859375,22,299.38818359375,0,0.0,9,299.38818359375,30,0.8681665062904358,STANDARD,2018-03-01,R_A2
10,1655.791748046875,22,299.7818908691406,0,0.0,10,299.7818908691406,30,0.8763773441314697,STANDARD,2018-03-01,R_A2
11,1657.6793212890625,22,299.9017333984375,0,0.0,11,299.9017333984375,30,0.06728804856538773,STANDARD,2018-03-01,R_A2
12,1659.6923828125,22,300.0381774902344,0,0.0,12,300.0381774902344,30,0.14113162457942963,STANDARD,2018-03-01,R_A2
13,1661.70556640625,22,300.1751403808594,0,0.0,13,300.1751403808594,30,0.42566683888435364,STANDARD,2018-03-01,R_A2
14,1663.7186279296875,22,300.3111572265625,0,0.0,14,300.3111572265625,30,0.4602524936199188,STANDARD,2018-03-01,R_A2
15,1665.731689453125,22,300.4512634277344,0,0.0,15,300.4512634277344,30,0.8967076539993286,STANDARD,2018-03-01,R_A2
16,1667.744873046875,22,300.5887451171875,0,0.0,16,300.5887451171875,30,0.9134581685066223,STANDARD,2018-03-01,R_A2
17,1670.794921875,22,300.9277038574219,0,0.0,16,300.9277038574219,29,0.9275291562080383,STANDARD,2018-03-01,R_A2
18,1672.893310546875,22,301.06842041015625,0,0.0,17,301.06842041015625,29,0.894387423992157,STANDARD,2018-03-01,R_A2
19,1674.8218994140625,22,301.19769287109375,0,0.0,18,301.19769287109375,29,0.9598290324211121,STANDARD,2018-03-01,R_A2
20,1676.6097412109375,22,303.0953369140625,0,0.0,26,303.0953369140625,29,0.7642569541931152,STANDARD,2018-03-01,R_A2
21,1678.380615234375,22,302.5907897949219,0,0.0,27,302.5907897949219,29,0.815913736820221,STANDARD,2018-03-01,R_A2
22,1680.1514892578125,22,302.92413330078125,0,-1.4642011426013388e-14,28,302.92413330078125,29,1.0,STANDARD,2018-03-01,R_A2
23,1681.92236328125,22,303.11053466796875,0,-1.0604258221308047e-13,29,303.11053466796875,29,1.0,STANDARD,2018-03-01,R_A2
24,1683.693115234375,22,302.8432312011719,0,3.2602162747252805e-08,30,302.8432312011719,29,0.9999983310699463,STANDARD,2018-03-01,R_A2
1,1685.8377685546875,31,283.9493713378906,0,-8.317873056995495e-10,1,283.9493713378906,20,1.0,STANDARD,2018-04-28,R_A5
2,1688.03564453125,31,284.1575012207031,0,-8.971855480766067e-10,2,284.1575012207031,20,1.0,STANDARD,2018-04-28,R_A5
3,1690.2333984375,31,284.3656311035156,0,-8.963887410118332e-10,3,284.3656311035156,20,1.0,STANDARD,2018-04-28,R_A5
4,1692.4312744140625,31,284.5737609863281,0,-9.558613900395585e-10,4,284.5737609863281,20,1.0,STANDARD,2018-04-28,R_A5
5,1694.629150390625,31,284.7818603515625,0,-8.666182216288121e-10,5,284.7818603515625,20,1.0,STANDARD,2018-04-28,R_A5
6,1696.8270263671875,31,284.98992919921875,0,-7.7300832401761e-10,6,284.98992919921875,20,1.0,STANDARD,2018-04-28,R_A5
7,1699.02490234375,31,285.5146484375,0,-5.383537365899471e-12,7,285.5146484375,20,1.0,STANDARD,2018-04-28,R_A5
8,1701.2227783203125,31,285.9769287109375,0,-7.204887728096132e-12,8,285.9769287109375,20,1.0,STANDARD,2018-04-28,R_A5
9,1700.6649169921875,31,279.9884338378906,0,-2.2376955843839141e-10,11,279.9884338378906,21,1.0,STANDARD,2018-04-28,R_A5
10,1702.6044921875,31,280.1723937988281,0,-1.7176401967411437e-10,12,280.1723937988281,21,1.0,STANDARD,2018-04-28,R_A5
11,1704.544189453125,31,280.3683166503906,0,-3.3748073779982235e-11,13,280.3683166503906,21,1.0,STANDARD,2018-04-28,R_A5
12,1706.4837646484375,31,280.5537414550781,0,-3.086718033951108e-11,14,280.5537414550781,21,1.0,STANDARD,2018-04-28,R_A5
13,1708.42333984375,31,281.60089111328125,0,-8.260204152621409e-12,15,281.60089111328125,21,1.0,STANDARD,2018-04-28,R_A5
14,1710.363037109375,31,282.4431457519531,0,-5.881076875491331e-13,16,282.4431457519531,21,1.0,STANDARD,2018-04-28,R_A5
15,1712.2816162109375,31,282.6349792480469,0,-7.149408560828963e-13,17,282.6349792480469,21,1.0,STANDARD,2018-04-28,R_A5
