CONKPOS,DRAWDOWN,DEPTH,CONJPOS,PRESSURE,SWAT,CONBPRES,SGAS,WELL,WELLMODEL,CONIDX,DATE,CONIPOS
4,0,1641.6507568359375,50,300.8388366699219,0.06158599629998207,300.8388366699219,0.0,R_A4,STANDARD,11,2018-01-01,34
3,0,1639.774658203125,50,300.7130432128906,0.07810276746749878,300.7130432128906,0.0,R_A4,STANDARD,12,2018-01-01,34
3,0,1638.403076171875,50,300.62109375,0.07931835204362869,300.62109375,0.0,R_A4,STANDARD,13,2018-01-01,35
32,0,1639.664306640625,49,300.7056579589844,0.0539899505674839,300.7056579589844,0.0,R_A4,STANDARD,14,2018-01-01,35
32,0,1645.779296875,49,301.1156921386719,0.055781979113817215,301.1156921386719,0.0,R_A4,STANDARD,15,2018-01-01,36
31,0,1639.9425048828125,49,300.72430419921875,0.6481541991233826,300.72430419921875,0.0,R_A4,STANDARD,16,2018-01-01,36
31,0,1643.026123046875,48,300.93109130859375,0.05430864542722702,300.93109130859375,0.0,R_A4,STANDARD,17,2018-01-01,36
31,0,1650.028564453125,48,301.4006652832031,0.8430271148681641,301.4006652832031,0.0,R_A4,STANDARD,18,2018-01-01,37
30,0,1644.48486328125,48,301.0289001464844,0.8051871061325073,301.0289001464844,0.0,R_A4,STANDARD,19,2018-01-01,37
30,0,1648.2694091796875,48,301.2826843261719,0.6481541991233826,301.2826843261719,0.0,R_A4,STANDARD,20,2018-01-01,38
30,0,1661.462158203125,47,302.1675109863281,0.26073864102363586,302.1675109863281,0.0,R_A4,STANDARD,21,2018-01-01,38
1,0,1684.9766845703125,20,304.1451416015625,1.0,304.1451416015625,0.0,R_A5,STANDARD,1,2018-01-01,31
2,0,1687.0845947265625,20,304.0390930175781,1.0,304.0390930175781,0.0,R_A5,STANDARD,2,2018-01-01,31
3,0,1689.1923828125,20,304.2388610839844,1.0,304.2388610839844,0.0,R_A5,STANDARD,3,2018-01-01,31
4,0,1691.30029296875,20,304.4385986328125,1.0,304.4385986328125,0.0,R_A5,STANDARD,4,2018-01-01,31
5,0,1693.408203125,20,304.63836669921875,1.0,304.63836669921875,0.0,R_A5,STANDARD,5,2018-01-01,31
6,0,1695.51611328125,20,304.8381042480469,1.0,304.8381042480469,0.0,R_A5,STANDARD,6,2018-01-01,31
7,0,1697.6239013671875,20,305.3436584472656,1.0,305.3436584472656,0.0,R_A5,STANDARD,7,2018-01-01,31
8,0,1699.7318115234375,20,305.5434265136719,1.0,305.5434265136719,0.0,R_A5,STANDARD,8,2018-01-01,31
9,0,1698.2886962890625,21,305.4066467285156,1.0,305.4066467285156,0.0,R_A5,STANDARD,9,2018-01-01,31
11,0,1702.5792236328125,21,305.5075988769531,1.0,305.5075988769531,0.0,R_A5,STANDARD,10,2018-01-01,31
12,0,1704.5364990234375,21,305.6930847167969,1.0,305.6930847167969,0.0,R_A5,STANDARD,11,2018-01-01,31
13,0,1706.493896484375,21,305.89056396484375,1.0,305.89056396484375,0.0,R_A5,STANDARD,12,2018-01-01,31
14,0,1708.451171875,21,306.0760498046875,1.0,306.0760498046875,0.0,R_A5,STANDARD,13,2018-01-01,31
15,0,1710.4085693359375,21,306.2615661621094,1.0,306.2615661621094,0.0,R_A5,STANDARD,14,2018-01-01,31
16,0,1712.3658447265625,21,306.5920715332031,1.0,306.5920715332031,0.0,R_A5,STANDARD,15,2018-01-01,31
17,0,1714.2047119140625,21,306.766357421875,1.0,306.766357421875,0.0,R_A5,STANDARD,16,2018-01-01,31
18,0,1715.42626953125,21,306.8821105957031,1.0,306.8821105957031,0.0,R_A5,STANDARD,17,2018-01-01,31
29,0,1716.9793701171875,21,307.1780090332031,1.0,307.1780090332031,0.0,R_A5,STANDARD,18,2018-01-01,31
30,0,1719.114013671875,21,307.07452392578125,1.0,307.07452392578125,0.0,R_A5,STANDARD,19,2018-01-01,31
31,0,1721.2486572265625,21,307.5826110839844,1.0,307.5826110839844,0.0,R_A5,STANDARD,20,2018-01-01,31
32,0,1723.3831787109375,21,307.7849426269531,1.0,307.7849426269531,0.0,R_A5,STANDARD,21,2018-01-01,31
33,0,1725.517822265625,21,307.98724365234375,1.0,307.98724365234375,0.0,R_A5,STANDARD,22,2018-01-01,31
1,0,1694.060302734375,42,305.0059509277344,1.0,305.0059509277344,0.0,R_A6,STANDARD,1,2018-01-01,17
2,0,1695.5928955078125,42,305.15118408203125,1.0,305.15118408203125,0.0,R_A6,STANDARD,2,2018-01-01,17
3,0,1697.12548828125,42,305.2964172363281,1.0,305.2964172363281,0.0,R_A6,STANDARD,3,2018-01-01,17
4,0,1698.657958984375,42,305.441650390625,1.0,305.441650390625,0.0,R_A6,STANDARD,4,2018-01-01,17
5,0,1700.1905517578125,42,305.5868835449219,1.0,305.5868835449219,0.0,R_A6,STANDARD,5,2018-01-01,17
6,0,1701.7230224609375,42,305.73211669921875,1.0,305.73211669921875,0.0,R_A6,STANDARD,6,2018-01-01,17
7,0,1703.2554931640625,42,305.57830810546875,1.0,305.57830810546875,0.0,R_A6,STANDARD,7,2018-01-01,17
8,0,1704.7880859375,42,305.7235412597656,1.0,305.7235412597656,0.0,R_A6,STANDARD,8,2018-01-01,17
9,0,1706.3206787109375,42,306.1678466796875,1.0,306.1678466796875,0.0,R_A6,STANDARD,9,2018-01-01,17
10,0,1707.8531494140625,42,306.3130798339844,1.0,306.3130798339844,0.0,R_A6,STANDARD,10,2018-01-01,17
11,0,1709.7698974609375,42,306.1890563964844,1.0,306.1890563964844,0.0,R_A6,STANDARD,11,2018-01-01,17
12,0,1712.0709228515625,42,306.4071350097656,1.0,306.4071350097656,0.0,R_A6,STANDARD,12,2018-01-01,17
13,0,1714.371826171875,42,306.6371765136719,1.0,306.6371765136719,0.0,R_A6,STANDARD,13,2018-01-01,17
14,0,1716.6728515625,42,306.8552551269531,1.0,306.8552551269531,0.0,R_A6,STANDARD,14,2018-01-01,17
15,0,1718.973876953125,42,307.0733337402344,1.0,307.0733337402344,0.0,R_A6,STANDARD,15,2018-01-01,17
