SGAS,WELL,CONKPOS,CONJPOS,PRESSURE,CONIPOS,DRAWDOWN,CONBPRES,SWAT,DEPTH,DATE,CONIDX,WELLMODEL
0.0,R_A4,5,50,300.76617431640625,33,0,300.76617431640625,0.059997811913490295,1641.1195068359375,2018-01-01,12,STANDARD
0.0,R_A4,5,50,300.78277587890625,34,0,300.78277587890625,0.06142360717058182,1641.3668212890625,2018-01-01,13,STANDARD
0.0,R_A4,4,50,300.6616516113281,34,0,300.6616516113281,0.06147143617272377,1639.560546875,2018-01-01,14,STANDARD
0.0,R_A4,3,50,300.54052734375,34,0,300.54052734375,0.17460717260837555,1637.754150390625,2018-01-01,15,STANDARD
0.0,R_A4,3,50,300.719482421875,35,0,300.719482421875,0.13913683593273163,1640.4229736328125,2018-01-01,16,STANDARD
0.0,R_A4,2,50,300.6022644042969,35,0,300.6022644042969,0.224486842751503,1638.675048828125,2018-01-01,17,STANDARD
0.0,R_A4,2,49,300.982421875,35,0,300.982421875,0.23804235458374023,1644.343994140625,2018-01-01,18,STANDARD
0.0,R_A4,1,49,300.8638000488281,35,0,300.8638000488281,0.23318126797676086,1642.5753173828125,2018-01-01,19,STANDARD
0.0,R_A4,31,49,300.8186340332031,36,0,300.8186340332031,0.05308299884200096,1641.90185546875,2018-01-01,20,STANDARD
0.0,R_A4,31,48,300.7923278808594,36,0,300.7923278808594,0.05420754849910736,1641.509521484375,2018-01-01,21,STANDARD
0.0,R_A4,31,48,301.32977294921875,37,0,301.32977294921875,0.19331558048725128,1649.523681640625,2018-01-01,22,STANDARD
0.0,R_A4,30,48,300.95233154296875,37,0,300.95233154296875,0.10054931789636612,1643.8955078125,2018-01-01,23,STANDARD
0.0,R_A4,30,48,301.3695983886719,38,0,301.3695983886719,0.2465485781431198,1650.11767578125,2018-01-01,24,STANDARD
0.0,R_A4,30,47,301.802001953125,38,0,301.802001953125,0.13802123069763184,1656.5648193359375,2018-01-01,25,STANDARD
0.0,R_A5,1,20,303.9110412597656,31,0,303.9110412597656,1.0,1685.7332763671875,2018-01-01,1,STANDARD
0.0,R_A5,2,20,304.11260986328125,31,0,304.11260986328125,1.0,1687.8603515625,2018-01-01,2,STANDARD
0.0,R_A5,3,20,304.3141784667969,31,0,304.3141784667969,1.0,1689.9874267578125,2018-01-01,3,STANDARD
0.0,R_A5,4,20,304.5157775878906,31,0,304.5157775878906,1.0,1692.114501953125,2018-01-01,4,STANDARD
0.0,R_A5,5,20,304.71734619140625,31,0,304.71734619140625,1.0,1694.2415771484375,2018-01-01,5,STANDARD
0.0,R_A5,6,20,304.9189147949219,31,0,304.9189147949219,1.0,1696.36865234375,2018-01-01,6,STANDARD
0.0,R_A5,7,20,305.4263000488281,31,0,305.4263000488281,1.0,1698.495849609375,2018-01-01,7,STANDARD
0.0,R_A5,8,20,305.62786865234375,31,0,305.62786865234375,1.0,1700.6229248046875,2018-01-01,8,STANDARD
0.0,R_A5,8,21,305.07373046875,31,0,305.07373046875,1.0,1694.775634765625,2018-01-01,9,STANDARD
0.0,R_A5,11,21,305.39324951171875,31,0,305.39324951171875,1.0,1701.3726806640625,2018-01-01,10,STANDARD
0.0,R_A5,12,21,305.57818603515625,31,0,305.57818603515625,1.0,1703.323974609375,2018-01-01,11,STANDARD
0.0,R_A5,13,21,305.77508544921875,31,0,305.77508544921875,1.0,1705.2752685546875,2018-01-01,12,STANDARD
0.0,R_A5,14,21,305.9599914550781,31,0,305.9599914550781,1.0,1707.2266845703125,2018-01-01,13,STANDARD
0.0,R_A5,15,21,306.1449279785156,31,0,306.1449279785156,1.0,1709.177978515625,2018-01-01,14,STANDARD
0.0,R_A5,16,21,306.4748840332031,31,0,306.4748840332031,1.0,1711.1292724609375,2018-01-01,15,STANDARD
0.0,R_A5,17,21,306.6598205566406,31,0,306.6598205566406,1.0,1713.0806884765625,2018-01-01,16,STANDARD
0.0,R_A5,18,21,306.80364990234375,31,0,306.80364990234375,1.0,1714.5982666015625,2018-01-01,17,STANDARD
0.0,R_A5,29,21,306.8048095703125,31,0,306.8048095703125,1.0,1716.2681884765625,2018-01-01,18,STANDARD
0.0,R_A5,30,21,307.0154724121094,31,0,307.0154724121094,1.0,1718.490966796875,2018-01-01,19,STANDARD
0.0,R_A5,31,21,307.53192138671875,31,0,307.53192138671875,1.0,1720.7138671875,2018-01-01,20,STANDARD
0.0,R_A5,32,21,307.74261474609375,31,0,307.74261474609375,1.0,1722.9366455078125,2018-01-01,21,STANDARD
0.0,R_A5,33,21,307.9532775878906,31,0,307.9532775878906,1.0,1725.1595458984375,2018-01-01,22,STANDARD
0.0,R_A6,1,42,305.0579528808594,17,0,305.0579528808594,1.0,1694.60888671875,2018-01-01,1,STANDARD
0.0,R_A6,2,42,305.2037048339844,17,0,305.2037048339844,1.0,1696.1470947265625,2018-01-01,2,STANDARD
0.0,R_A6,3,42,305.3494873046875,17,0,305.3494873046875,1.0,1697.685302734375,2018-01-01,3,STANDARD
0.0,R_A6,4,42,305.4952392578125,17,0,305.4952392578125,1.0,1699.223388671875,2018-01-01,4,STANDARD
0.0,R_A6,5,42,305.6410217285156,17,0,305.6410217285156,1.0,1700.7615966796875,2018-01-01,5,STANDARD
0.0,R_A6,6,42,305.48773193359375,17,0,305.48773193359375,1.0,1702.2996826171875,2018-01-01,6,STANDARD
0.0,R_A6,7,42,305.63348388671875,17,0,305.63348388671875,1.0,1703.8377685546875,2018-01-01,7,STANDARD
0.0,R_A6,8,42,305.7792663574219,17,0,305.7792663574219,1.0,1705.3759765625,2018-01-01,8,STANDARD
0.0,R_A6,9,42,306.2240905761719,17,0,306.2240905761719,1.0,1706.9140625,2018-01-01,9,STANDARD
0.0,R_A6,10,42,306.0640563964844,17,0,306.0640563964844,1.0,1708.4522705078125,2018-01-01,10,STANDARD
0.0,R_A6,11,42,306.2457275390625,17,0,306.2457275390625,1.0,1710.36767578125,2018-01-01,11,STANDARD
0.0,R_A6,12,42,306.4629821777344,17,0,306.4629821777344,1.0,1712.66015625,2018-01-01,12,STANDARD
0.0,R_A6,13,42,306.6922302246094,17,0,306.6922302246094,1.0,1714.9527587890625,2018-01-01,13,STANDARD
0.0,R_A6,14,42,306.9095153808594,17,0,306.9095153808594,1.0,1717.245361328125,2018-01-01,14,STANDARD
0.0,R_A6,15,42,307.1268005371094,17,0,307.1268005371094,1.0,1719.5379638671875,2018-01-01,15,STANDARD
0.0,R_A6,16,42,307.48907470703125,17,0,307.48907470703125,1.0,1721.83056640625,2018-01-01,16,STANDARD
0.0,R_A6,17,42,307.70635986328125,17,0,307.70635986328125,1.0,1724.123046875,2018-01-01,17,STANDARD
0.0,R_A6,18,42,307.8534240722656,17,0,307.8534240722656,1.0,1725.6746826171875,2018-01-01,18,STANDARD
