CONBPRES,DRAWDOWN,PRESSURE,DATE,CONKPOS,SWAT,WELLMODEL,CONIDX,CONIPOS,WELL,CONJPOS,DEPTH,SGAS
300.07183837890625,0,300.07183837890625,2018-01-01,16,0.7788966298103333,STANDARD,17,29,R_A3,41,1631.4935302734375,0.0
300.2157287597656,0,300.2157287597656,2018-01-01,27,0.6481541991233826,STANDARD,18,29,R_A3,41,1633.6395263671875,0.0
300.4493408203125,0,300.4493408203125,2018-01-01,28,0.044510941952466965,STANDARD,19,29,R_A3,41,1637.1240234375,0.0
300.6829833984375,0,300.6829833984375,2018-01-01,29,0.04979538172483444,STANDARD,20,29,R_A3,41,1640.608642578125,0.0
300.9166564941406,0,300.9166564941406,2018-01-01,30,0.6481541991233826,STANDARD,21,29,R_A3,41,1644.093017578125,0.0
301.1502990722656,0,301.1502990722656,2018-01-01,31,0.06176402419805527,STANDARD,22,29,R_A3,41,1647.57763671875,0.0
300.216064453125,0,300.216064453125,2018-01-01,1,0.05323176831007004,STANDARD,1,30,R_A4,52,1633.64453125,0.0
299.815185546875,0,299.815185546875,2018-01-01,1,0.049731895327568054,STANDARD,2,31,R_A4,52,1627.6650390625,0.0
299.960205078125,0,299.960205078125,2018-01-01,2,0.051100511103868484,STANDARD,3,31,R_A4,52,1629.8280029296875,0.0
300.1051940917969,0,300.1051940917969,2018-01-01,3,0.05317872017621994,STANDARD,4,31,R_A4,52,1631.990966796875,0.0
300.2502136230469,0,300.2502136230469,2018-01-01,4,0.05490007996559143,STANDARD,5,31,R_A4,52,1634.1539306640625,0.0
300.2042541503906,0,300.2042541503906,2018-01-01,4,0.05517140030860901,STANDARD,6,32,R_A4,52,1633.4686279296875,0.0
300.3398132324219,0,300.3398132324219,2018-01-01,4,0.05703864246606827,STANDARD,7,32,R_A4,51,1635.4901123046875,0.0
300.2130432128906,0,300.2130432128906,2018-01-01,3,0.05437429994344711,STANDARD,8,32,R_A4,51,1633.599609375,0.0
300.413330078125,0,300.413330078125,2018-01-01,3,0.07641541957855225,STANDARD,9,33,R_A4,51,1636.5869140625,0.0
300.5416564941406,0,300.5416564941406,2018-01-01,4,0.05914375185966492,STANDARD,10,33,R_A4,51,1638.5006103515625,0.0
300.7495422363281,0,300.7495422363281,2018-01-01,4,0.09936032444238663,STANDARD,11,33,R_A4,50,1641.6011962890625,0.0
300.65240478515625,0,300.65240478515625,2018-01-01,4,0.19602644443511963,STANDARD,12,34,R_A4,50,1640.1524658203125,0.0
300.7527770996094,0,300.7527770996094,2018-01-01,4,0.23584292829036713,STANDARD,13,35,R_A4,50,1641.6494140625,0.0
300.6230163574219,0,300.6230163574219,2018-01-01,3,0.3238503336906433,STANDARD,14,35,R_A4,50,1639.7139892578125,0.0
300.7757568359375,0,300.7757568359375,2018-01-01,3,0.23090879619121552,STANDARD,15,35,R_A4,49,1641.9920654296875,0.0
300.6482238769531,0,300.6482238769531,2018-01-01,2,0.23137624561786652,STANDARD,16,35,R_A4,49,1640.0902099609375,0.0
300.7980651855469,0,300.7980651855469,2018-01-01,30,0.6481541991233826,STANDARD,17,36,R_A4,49,1642.32470703125,0.0
300.6783142089844,0,300.6783142089844,2018-01-01,30,0.6481541991233826,STANDARD,18,36,R_A4,48,1640.5386962890625,0.0
301.1766052246094,0,301.1766052246094,2018-01-01,30,0.8388099074363708,STANDARD,19,37,R_A4,48,1647.9698486328125,0.0
301.56854248046875,0,301.56854248046875,2018-01-01,30,0.6481541991233826,STANDARD,20,38,R_A4,48,1653.813720703125,0.0
301.6546630859375,0,301.6546630859375,2018-01-01,30,0.7224373817443848,STANDARD,21,38,R_A4,47,1655.0977783203125,0.0
303.9883728027344,0,303.9883728027344,2018-01-01,1,1.0,STANDARD,1,31,R_A5,20,1686.549072265625,0.0
304.1974182128906,0,304.1974182128906,2018-01-01,2,1.0,STANDARD,2,31,R_A5,20,1688.755126953125,0.0
304.4064636230469,0,304.4064636230469,2018-01-01,3,1.0,STANDARD,3,31,R_A5,20,1690.961181640625,0.0
304.6155090332031,0,304.6155090332031,2018-01-01,4,1.0,STANDARD,4,31,R_A5,20,1693.1671142578125,0.0
304.8245849609375,0,304.8245849609375,2018-01-01,5,1.0,STANDARD,5,31,R_A5,20,1695.373046875,0.0
305.03363037109375,0,305.03363037109375,2018-01-01,6,1.0,STANDARD,6,31,R_A5,20,1697.5792236328125,0.0
305.5484924316406,0,305.5484924316406,2018-01-01,7,1.0,STANDARD,7,31,R_A5,20,1699.78515625,0.0
304.5562438964844,0,304.5562438964844,2018-01-01,7,1.0,STANDARD,8,31,R_A5,21,1689.3148193359375,0.0
305.1270446777344,0,305.1270446777344,2018-01-01,11,1.0,STANDARD,9,31,R_A5,21,1698.5634765625,0.0
305.3389587402344,0,305.3389587402344,2018-01-01,12,1.0,STANDARD,10,31,R_A5,21,1700.7996826171875,0.0
305.5628356933594,0,305.5628356933594,2018-01-01,13,1.0,STANDARD,11,31,R_A5,21,1703.035888671875,0.0
305.7747802734375,0,305.7747802734375,2018-01-01,14,1.0,STANDARD,12,31,R_A5,21,1705.2720947265625,0.0
305.9866943359375,0,305.9866943359375,2018-01-01,15,1.0,STANDARD,13,31,R_A5,21,1707.50830078125,0.0
306.3436584472656,0,306.3436584472656,2018-01-01,16,1.0,STANDARD,14,31,R_A5,21,1709.74462890625,0.0
306.5278015136719,0,306.5278015136719,2018-01-01,17,1.0,STANDARD,15,31,R_A5,21,1711.687744140625,0.0
306.68359375,0,306.68359375,2018-01-01,19,1.0,STANDARD,16,31,R_A5,21,1713.33154296875,0.0
306.673095703125,0,306.673095703125,2018-01-01,27,1.0,STANDARD,17,31,R_A5,21,1714.8782958984375,0.0
306.8923034667969,0,306.8923034667969,2018-01-01,28,1.0,STANDARD,18,31,R_A5,21,1717.1915283203125,0.0
307.4173278808594,0,307.4173278808594,2018-01-01,29,1.0,STANDARD,19,31,R_A5,21,1719.5047607421875,0.0
307.6365966796875,0,307.6365966796875,2018-01-01,30,1.0,STANDARD,20,31,R_A5,21,1721.8179931640625,0.0
