CONKPOS,CONBPRES,DEPTH,WELLMODEL,DATE,PRESSURE,WELL,SGAS,SWAT,CONJPOS,CONIDX,CONIPOS,DRAWDOWN
10,274.0206298828125,1707.9244384765625,STANDARD,2018-11-07,274.0206298828125,R_A6,-1.7635935767312816e-10,1.0,42,10,17,0
11,277.1145935058594,1709.8236083984375,STANDARD,2018-11-07,277.1145935058594,R_A6,-1.1801661037313949e-10,1.0,42,11,17,0
12,277.3292236328125,1712.09033203125,STANDARD,2018-11-07,277.3292236328125,R_A6,-9.73801803083596e-11,1.0,42,12,17,0
13,277.5557861328125,1714.35693359375,STANDARD,2018-11-07,277.5557861328125,R_A6,-7.95243992185446e-12,1.0,42,13,17,0
14,277.77044677734375,1716.6236572265625,STANDARD,2018-11-07,277.77044677734375,R_A6,-5.591433132473567e-12,1.0,42,14,17,0
15,277.98565673828125,1718.890380859375,STANDARD,2018-11-07,277.98565673828125,R_A6,-3.509838687049127e-12,1.0,42,15,17,0
16,278.3462219238281,1721.156982421875,STANDARD,2018-11-07,278.3462219238281,R_A6,-1.0745361848571444e-12,1.0,42,16,17,0
17,278.56231689453125,1723.4237060546875,STANDARD,2018-11-07,278.56231689453125,R_A6,0.0,1.0,42,17,17,0
18,278.7139587402344,1725.0174560546875,STANDARD,2018-11-07,278.7139587402344,R_A6,-6.766529475404556e-14,1.0,42,18,17,0
32,278.6856384277344,1726.3309326171875,STANDARD,2018-11-07,278.6856384277344,R_A6,-1.8534821247251365e-11,1.0,42,19,17,0
33,278.84716796875,1728.037353515625,STANDARD,2018-11-07,278.84716796875,R_A6,-1.8081106056833107e-11,1.0,42,20,17,0
34,279.8791198730469,1729.74365234375,STANDARD,2018-11-07,279.8791198730469,R_A6,-1.520290302498358e-17,1.0,42,21,17,0
35,280.1794738769531,1731.449951171875,STANDARD,2018-11-07,280.1794738769531,R_A6,-1.8112230001820893e-18,1.0,42,22,17,0
36,279.35186767578125,1733.1563720703125,STANDARD,2018-11-07,279.35186767578125,R_A6,-1.6823681120090028e-12,1.0,42,23,17,0
