PRESSURE,CONIDX,CONJPOS,DATE,CONBPRES,CONIPOS,SGAS,CONKPOS,SWAT,WELLMODEL,DEPTH,DRAWDOWN,WELL
304.9492492675781,6,20,2018-01-01,304.9492492675781,31,0.0,6,1.0,STANDARD,1696.6885986328125,0,R_A5
305.4632873535156,7,20,2018-01-01,305.4632873535156,31,0.0,7,1.0,STANDARD,1698.88623046875,0,R_A5
305.6715393066406,8,20,2018-01-01,305.6715393066406,31,0.0,8,1.0,STANDARD,1701.083740234375,0,R_A5
305.2935791015625,9,21,2018-01-01,305.2935791015625,31,0.0,11,1.0,STANDARD,1700.3206787109375,0,R_A5
305.48358154296875,10,21,2018-01-01,305.48358154296875,31,0.0,12,1.0,STANDARD,1702.32568359375,0,R_A5
305.685546875,11,21,2018-01-01,305.685546875,31,0.0,13,1.0,STANDARD,1704.330810546875,0,R_A5
305.8755798339844,12,21,2018-01-01,305.8755798339844,31,0.0,14,1.0,STANDARD,1706.335693359375,0,R_A5
306.0655822753906,13,21,2018-01-01,306.0655822753906,31,0.0,15,1.0,STANDARD,1708.3406982421875,0,R_A5
306.4006042480469,14,21,2018-01-01,306.4006042480469,31,0.0,16,1.0,STANDARD,1710.345703125,0,R_A5
306.59063720703125,15,21,2018-01-01,306.59063720703125,31,0.0,17,1.0,STANDARD,1712.3507080078125,0,R_A5
306.74639892578125,16,21,2018-01-01,306.74639892578125,31,0.0,18,1.0,STANDARD,1713.994140625,0,R_A5
306.8167419433594,17,21,2018-01-01,306.8167419433594,31,0.0,19,1.0,STANDARD,1714.7364501953125,0,R_A5
306.7796630859375,18,21,2018-01-01,306.7796630859375,31,0.0,25,1.0,STANDARD,1716.0029296875,0,R_A5
307.00048828125,19,21,2018-01-01,307.00048828125,31,0.0,26,1.0,STANDARD,1718.3330078125,0,R_A5
307.5271301269531,20,21,2018-01-01,307.5271301269531,31,0.0,27,1.0,STANDARD,1720.6629638671875,0,R_A5
307.7479553222656,21,21,2018-01-01,307.7479553222656,31,0.0,28,1.0,STANDARD,1722.9930419921875,0,R_A5
307.9687805175781,22,21,2018-01-01,307.9687805175781,31,0.0,29,1.0,STANDARD,1725.3231201171875,0,R_A5
305.1567077636719,1,42,2018-01-01,305.1567077636719,17,0.0,1,1.0,STANDARD,1695.651123046875,0,R_A6
305.3038330078125,2,42,2018-01-01,305.3038330078125,17,0.0,2,1.0,STANDARD,1697.2034912109375,0,R_A6
305.450927734375,3,42,2018-01-01,305.450927734375,17,0.0,3,1.0,STANDARD,1698.7559814453125,0,R_A6
305.5980529785156,4,42,2018-01-01,305.5980529785156,17,0.0,4,1.0,STANDARD,1700.308349609375,0,R_A6
305.74517822265625,5,42,2018-01-01,305.74517822265625,17,0.0,5,1.0,STANDARD,1701.8607177734375,0,R_A6
305.8923034667969,6,42,2018-01-01,305.8923034667969,17,0.0,6,1.0,STANDARD,1703.4132080078125,0,R_A6
305.7403564453125,7,42,2018-01-01,305.7403564453125,17,0.0,7,1.0,STANDARD,1704.965576171875,0,R_A6
305.8874816894531,8,42,2018-01-01,305.8874816894531,17,0.0,8,1.0,STANDARD,1706.51806640625,0,R_A6
306.33367919921875,9,42,2018-01-01,306.33367919921875,17,0.0,9,1.0,STANDARD,1708.0704345703125,0,R_A6
306.1750183105469,10,42,2018-01-01,306.1750183105469,17,0.0,10,1.0,STANDARD,1709.622802734375,0,R_A6
306.35797119140625,11,42,2018-01-01,306.35797119140625,17,0.0,11,1.0,STANDARD,1711.552001953125,0,R_A6
306.57647705078125,12,42,2018-01-01,306.57647705078125,17,0.0,12,1.0,STANDARD,1713.857666015625,0,R_A6
