DEPTH,WELL,DATE,CONBPRES,PRESSURE,CONIDX,CONJPOS,DRAWDOWN,CONKPOS,CONIPOS,WELLMODEL,SGAS,SWAT
1715.623046875,R_A6,2018-01-01,306.7557678222656,306.7557678222656,13,42,0,13,17,STANDARD,0.0,1.0
1717.9068603515625,R_A6,2018-01-01,306.9721984863281,306.9721984863281,14,42,0,14,17,STANDARD,0.0,1.0
1720.190673828125,R_A6,2018-01-01,307.18865966796875,307.18865966796875,15,42,0,15,17,STANDARD,0.0,1.0
1722.474365234375,R_A6,2018-01-01,307.55010986328125,307.55010986328125,16,42,0,16,17,STANDARD,0.0,1.0
1724.7581787109375,R_A6,2018-01-01,307.7665710449219,307.7665710449219,17,42,0,17,17,STANDARD,0.0,1.0
1726.394287109375,R_A6,2018-01-01,307.921630859375,307.921630859375,18,42,0,18,17,STANDARD,0.0,1.0
1727.7508544921875,R_A6,2018-01-01,307.8930969238281,307.8930969238281,19,42,0,27,17,STANDARD,0.0,1.0
1729.4755859375,R_A6,2018-01-01,308.3623352050781,308.3623352050781,20,42,0,28,17,STANDARD,0.0,1.0
1731.2001953125,R_A6,2018-01-01,308.22003173828125,308.22003173828125,21,42,0,29,17,STANDARD,0.0,1.0
1732.9249267578125,R_A6,2018-01-01,308.68927001953125,308.68927001953125,22,42,0,30,17,STANDARD,0.0,1.0
1734.649658203125,R_A6,2018-01-01,308.5469665527344,308.5469665527344,23,42,0,31,17,STANDARD,0.0,1.0
1641.094970703125,R_A2,2018-03-01,298.2645568847656,298.2645568847656,1,30,0,1,22,STANDARD,0.0,0.05683641508221626
1642.8890380859375,R_A2,2018-03-01,298.384765625,298.384765625,2,30,0,2,22,STANDARD,0.0,0.05988115072250366
1644.68310546875,R_A2,2018-03-01,298.5049743652344,298.5049743652344,3,30,0,3,22,STANDARD,0.0,0.06266402453184128
1646.4771728515625,R_A2,2018-03-01,298.62518310546875,298.62518310546875,4,30,0,4,22,STANDARD,0.0,0.06651707738637924
1648.2713623046875,R_A2,2018-03-01,298.7453918457031,298.7453918457031,5,30,0,5,22,STANDARD,0.0,0.07091362029314041
1650.0654296875,R_A2,2018-03-01,298.8656005859375,298.8656005859375,6,30,0,6,22,STANDARD,0.0,0.2394864708185196
1651.859619140625,R_A2,2018-03-01,298.99505615234375,298.99505615234375,7,30,0,7,22,STANDARD,0.0,0.8950608372688293
1653.6536865234375,R_A2,2018-03-01,299.1224365234375,299.1224365234375,8,30,0,8,22,STANDARD,0.0,0.8684186339378357
1655.44775390625,R_A2,2018-03-01,299.248779296875,299.248779296875,9,30,0,9,22,STANDARD,0.0,0.8944891691207886
1657.2418212890625,R_A2,2018-03-01,299.51715087890625,299.51715087890625,10,30,0,10,22,STANDARD,0.0,0.9061958193778992
1659.1368408203125,R_A2,2018-03-01,300.227294921875,300.227294921875,11,30,0,11,22,STANDARD,0.0,0.07778246700763702
1661.132568359375,R_A2,2018-03-01,300.361083984375,300.361083984375,12,30,0,12,22,STANDARD,0.0,0.0811326876282692
1663.12841796875,R_A2,2018-03-01,300.4959716796875,300.4959716796875,13,30,0,13,22,STANDARD,0.0,0.4635794460773468
