CONKPOS,CONIDX,SGAS,WELL,DEPTH,CONJPOS,DATE,DRAWDOWN,CONBPRES,PRESSURE,SWAT,CONIPOS,WELLMODEL
3,4,0.0,R_A3,1604.7686767578125,41,2018-07-03,0,280.6158447265625,280.6158447265625,0.18932494521141052,29,STANDARD
4,5,0.0,R_A3,1606.8104248046875,41,2018-07-03,0,280.7518005371094,280.7518005371094,0.27555590867996216,29,STANDARD
5,6,0.0,R_A3,1608.8521728515625,41,2018-07-03,0,281.1388244628906,281.1388244628906,0.8044134974479675,29,STANDARD
6,7,0.0,R_A3,1610.89404296875,41,2018-07-03,0,281.2605285644531,281.2605285644531,0.6519414186477661,29,STANDARD
7,8,0.0,R_A3,1612.935791015625,41,2018-07-03,0,281.4104919433594,281.4104919433594,0.1978331208229065,29,STANDARD
8,9,0.0,R_A3,1614.9775390625,41,2018-07-03,0,281.54656982421875,281.54656982421875,0.1995071917772293,29,STANDARD
9,10,0.0,R_A3,1617.0194091796875,41,2018-07-03,0,281.77288818359375,281.77288818359375,0.800548791885376,29,STANDARD
10,11,0.0,R_A3,1619.0611572265625,41,2018-07-03,0,282.7615051269531,282.7615051269531,0.8046169281005859,29,STANDARD
11,12,0.0,R_A3,1621.263427734375,41,2018-07-03,0,288.6257629394531,288.6257629394531,0.04785016551613808,29,STANDARD
12,13,0.0,R_A3,1623.626220703125,41,2018-07-03,0,288.78375244140625,288.78375244140625,0.05675268918275833,29,STANDARD
13,14,0.0,R_A3,1625.989013671875,41,2018-07-03,0,288.942138671875,288.942138671875,0.37393295764923096,29,STANDARD
15,15,0.0,R_A3,1630.7147216796875,41,2018-07-03,0,289.0123291015625,289.0123291015625,0.49772292375564575,29,STANDARD
16,16,0.0,R_A3,1632.4453125,41,2018-07-03,0,289.1236267089844,289.1236267089844,0.7926713228225708,29,STANDARD
27,17,0.0,R_A3,1634.75830078125,41,2018-07-03,0,280.03802490234375,280.03802490234375,0.17455893754959106,29,STANDARD
28,18,0.0,R_A3,1638.2857666015625,41,2018-07-03,0,280.2524108886719,280.2524108886719,0.045035116374492645,29,STANDARD
29,19,0.0,R_A3,1641.813232421875,41,2018-07-03,0,280.48736572265625,280.48736572265625,0.05171395465731621,29,STANDARD
30,20,-9.979133838711185e-12,R_A3,1645.340576171875,41,2018-07-03,0,282.1426696777344,282.1426696777344,1.0,29,STANDARD
31,21,0.0,R_A3,1648.8680419921875,41,2018-07-03,0,281.24755859375,281.24755859375,0.06602198630571365,29,STANDARD
1,1,0.0,R_A4,1630.6932373046875,52,2018-09-12,0,279.9825744628906,279.9825744628906,0.05123617500066757,30,STANDARD
1,2,0.0,R_A4,1627.104248046875,52,2018-09-12,0,279.881591796875,279.881591796875,0.0493520125746727,31,STANDARD
2,3,0.0,R_A4,1629.1634521484375,52,2018-09-12,0,280.0189514160156,280.0189514160156,0.05144067108631134,31,STANDARD
3,4,0.0,R_A4,1631.22265625,52,2018-09-12,0,280.15625,280.15625,0.05289194732904434,31,STANDARD
4,5,0.0,R_A4,1633.281982421875,52,2018-09-12,0,280.2935485839844,280.2935485839844,0.0544925220310688,31,STANDARD
4,6,0.0,R_A4,1631.157470703125,52,2018-09-12,0,280.2778625488281,280.2778625488281,0.05317125841975212,32,STANDARD
5,7,0.0,R_A4,1633.06689453125,52,2018-09-12,0,280.40509033203125,280.40509033203125,0.05580134317278862,32,STANDARD
5,8,0.0,R_A4,1635.1854248046875,51,2018-09-12,0,280.3597106933594,280.3597106933594,0.09950441122055054,32,STANDARD
5,9,0.0,R_A4,1634.4072265625,51,2018-09-12,0,280.40814208984375,280.40814208984375,0.24255579710006714,33,STANDARD
6,10,0.0,R_A4,1636.276611328125,51,2018-09-12,0,280.5340270996094,280.5340270996094,0.2629311978816986,33,STANDARD
6,11,0.0,R_A4,1640.73291015625,50,2018-09-12,0,280.43768310546875,280.43768310546875,0.6494982838630676,33,STANDARD
6,12,0.0,R_A4,1640.6005859375,50,2018-09-12,0,280.52972412109375,280.52972412109375,0.6499127149581909,34,STANDARD
5,13,0.0,R_A4,1638.742431640625,50,2018-09-12,0,280.40576171875,280.40576171875,0.06328098475933075,34,STANDARD
5,14,0.0,R_A4,1642.564697265625,50,2018-09-12,0,280.9510192871094,280.9510192871094,0.08223769068717957,35,STANDARD
4,15,0.0,R_A4,1640.781982421875,50,2018-09-12,0,280.834228515625,280.834228515625,0.23247651755809784,35,STANDARD
3,16,0.0,R_A4,1638.9991455078125,50,2018-09-12,0,280.7176208496094,280.7176208496094,0.20354850590229034,35,STANDARD
3,17,0.0,R_A4,1641.8369140625,49,2018-09-12,0,280.6622314453125,280.6622314453125,0.23749415576457977,35,STANDARD
2,18,0.0,R_A4,1639.960693359375,49,2018-09-12,0,280.5363464355469,280.5363464355469,0.18146367371082306,35,STANDARD
30,19,0.0,R_A4,1644.268310546875,49,2018-09-12,0,281.1875305175781,281.1875305175781,0.06646908819675446,36,STANDARD
30,20,0.0,R_A4,1642.1470947265625,48,2018-09-12,0,280.8518981933594,280.8518981933594,0.23067839443683624,36,STANDARD
30,21,0.0,R_A4,1649.9071044921875,48,2018-09-12,0,281.6138000488281,281.6138000488281,0.213067889213562,37,STANDARD
29,22,0.0,R_A4,1644.111328125,48,2018-09-12,0,281.4403991699219,281.4403991699219,0.6947439312934875,37,STANDARD
29,23,0.0,R_A4,1648.8485107421875,48,2018-09-12,0,281.9731140136719,281.9731140136719,0.30614957213401794,38,STANDARD
30,24,0.0,R_A4,1654.6639404296875,48,2018-09-12,0,282.2872009277344,282.2872009277344,0.17088255286216736,38,STANDARD
29,25,0.0,R_A4,1656.1253662109375,47,2018-09-12,0,282.1636962890625,282.1636962890625,0.6544328331947327,38,STANDARD
1,1,-2.6501545031284816e-14,R_A6,1695.280029296875,42,2018-11-07,0,277.2392883300781,277.2392883300781,1.0,17,STANDARD
2,2,-1.0866586527358366e-14,R_A6,1696.833984375,42,2018-11-07,0,277.35687255859375,277.35687255859375,1.0,17,STANDARD
3,3,-7.635815672249122e-15,R_A6,1698.3880615234375,42,2018-11-07,0,277.4552917480469,277.4552917480469,1.0,17,STANDARD
4,4,-5.522662862911037e-15,R_A6,1699.9420166015625,42,2018-11-07,0,277.53338623046875,277.53338623046875,1.0,17,STANDARD
5,5,-8.44873267348686e-15,R_A6,1701.4959716796875,42,2018-11-07,0,277.61309814453125,277.61309814453125,1.0,17,STANDARD
6,6,-2.8799575571558655e-13,R_A6,1703.0499267578125,42,2018-11-07,0,277.724365234375,277.724365234375,1.0,17,STANDARD
7,7,-7.336259963235114e-13,R_A6,1704.60400390625,42,2018-11-07,0,277.5515441894531,277.5515441894531,1.0,17,STANDARD
8,8,-3.594109872998713e-14,R_A6,1706.157958984375,42,2018-11-07,0,277.9975280761719,277.9975280761719,1.0,17,STANDARD
