PRESSURE,CONKPOS,SWAT,DATE,CONIDX,WELLMODEL,CONIPOS,CONJPOS,CONBPRES,WELL,SGAS,DRAWDOWN,DEPTH
308.4861145019531,29,1.0,2018-01-01,20,STANDARD,17,42,308.4861145019531,R_A6,0.0,0,1730.781494140625
308.65252685546875,30,1.0,2018-01-01,21,STANDARD,17,42,308.65252685546875,R_A6,0.0,0,1732.5369873046875
308.81890869140625,31,1.0,2018-01-01,22,STANDARD,17,42,308.81890869140625,R_A6,0.0,0,1734.29248046875
308.67950439453125,32,1.0,2018-01-01,23,STANDARD,17,42,308.67950439453125,R_A6,0.0,0,1736.0479736328125
299.0045471191406,1,0.062113337218761444,2018-03-01,1,STANDARD,22,30,299.0045471191406,R_A2,0.0,0,1644.2327880859375
299.1224365234375,2,0.06337697058916092,2018-03-01,2,STANDARD,22,30,299.1224365234375,R_A2,0.0,0,1645.99169921875
299.2403259277344,3,0.06747587770223618,2018-03-01,3,STANDARD,22,30,299.2403259277344,R_A2,0.0,0,1647.750732421875
299.35821533203125,4,0.07405771315097809,2018-03-01,4,STANDARD,22,30,299.35821533203125,R_A2,0.0,0,1649.5096435546875
299.47613525390625,5,0.07817814499139786,2018-03-01,5,STANDARD,22,30,299.47613525390625,R_A2,0.0,0,1651.2686767578125
299.59405517578125,6,0.24590297043323517,2018-03-01,6,STANDARD,22,30,299.59405517578125,R_A2,0.0,0,1653.027587890625
299.71685791015625,7,0.9154046177864075,2018-03-01,7,STANDARD,22,30,299.71685791015625,R_A2,0.0,0,1654.78662109375
299.8387145996094,8,0.9081054329872131,2018-03-01,8,STANDARD,22,30,299.8387145996094,R_A2,0.0,0,1656.545654296875
299.9613952636719,9,0.9310803413391113,2018-03-01,9,STANDARD,22,30,299.9613952636719,R_A2,0.0,0,1658.3045654296875
300.1167907714844,10,0.6483830809593201,2018-03-01,10,STANDARD,22,30,300.1167907714844,R_A2,0.0,0,1660.0635986328125
299.8399353027344,11,0.0898604616522789,2018-03-01,11,STANDARD,22,30,299.8399353027344,R_A2,0.0,0,1661.9151611328125
299.976318359375,12,0.34649157524108887,2018-03-01,12,STANDARD,22,30,299.976318359375,R_A2,0.0,0,1663.859375
300.10528564453125,13,0.5146277546882629,2018-03-01,13,STANDARD,22,30,300.10528564453125,R_A2,0.0,0,1665.8037109375
300.235107421875,14,0.5938096642494202,2018-03-01,14,STANDARD,22,30,300.235107421875,R_A2,0.0,0,1667.7479248046875
300.36181640625,15,0.7658366560935974,2018-03-01,15,STANDARD,22,30,300.36181640625,R_A2,0.0,0,1669.6922607421875
300.4859924316406,16,0.9999958276748657,2018-03-01,16,STANDARD,22,30,300.4859924316406,R_A2,0.0,0,1671.636474609375
300.4527893066406,16,1.0,2018-03-01,17,STANDARD,22,29,300.4527893066406,R_A2,-1.3927696773663456e-09,0,1673.156982421875
300.78533935546875,17,0.9999999403953552,2018-03-01,18,STANDARD,22,29,300.78533935546875,R_A2,-4.637912720539816e-09,0,1675.278076171875
300.9685974121094,18,1.0,2018-03-01,19,STANDARD,22,29,300.9685974121094,R_A2,-2.5597286512635264e-09,0,1677.210693359375
303.3758239746094,28,1.0,2018-03-01,20,STANDARD,22,29,303.3758239746094,R_A2,-3.498963085550111e-15,0,1678.9434814453125
303.6400451660156,29,1.0,2018-03-01,21,STANDARD,22,29,303.6400451660156,R_A2,-4.2614741090088123e-16,0,1680.6649169921875
303.8515930175781,30,1.0,2018-03-01,22,STANDARD,22,29,303.8515930175781,R_A2,-6.095133283156188e-17,0,1682.386474609375
304.0289611816406,31,1.0,2018-03-01,23,STANDARD,22,29,304.0289611816406,R_A2,-3.5360919012902766e-17,0,1684.10791015625
304.197998046875,32,1.0,2018-03-01,24,STANDARD,22,29,304.197998046875,R_A2,-3.4539125000498683e-17,0,1685.829345703125
281.4085998535156,1,1.0,2018-04-28,1,STANDARD,31,20,281.4085998535156,R_A5,-1.6413934120532785e-21,0,1686.306640625
281.64892578125,2,1.0,2018-04-28,2,STANDARD,31,20,281.64892578125,R_A5,-1.3956254302892905e-20,0,1688.83935546875
281.5904235839844,3,1.0,2018-04-28,3,STANDARD,31,20,281.5904235839844,R_A5,-1.678196628327227e-20,0,1691.3720703125
281.8236999511719,4,1.0,2018-04-28,4,STANDARD,31,20,281.8236999511719,R_A5,-3.878095422756795e-20,0,1693.90478515625
282.0635986328125,5,1.0,2018-04-28,5,STANDARD,31,20,282.0635986328125,R_A5,-3.2523723865690696e-20,0,1696.4375
282.30340576171875,6,1.0,2018-04-28,6,STANDARD,31,20,282.30340576171875,R_A5,-2.6783012866390257e-20,0,1698.9703369140625
282.86163330078125,7,1.0,2018-04-28,7,STANDARD,31,20,282.86163330078125,R_A5,-7.67269214265261e-23,0,1701.5030517578125
286.0686950683594,11,1.0,2018-04-28,8,STANDARD,31,20,286.0686950683594,R_A5,-3.154186981046969e-13,0,1711.316162109375
283.5998840332031,11,1.0,2018-04-28,9,STANDARD,31,21,283.5998840332031,R_A5,-1.9806130346911033e-10,0,1697.010498046875
284.2236022949219,13,1.0,2018-04-28,10,STANDARD,31,21,284.2236022949219,R_A5,-4.473241499436398e-10,0,1700.8177490234375
284.416748046875,14,1.0,2018-04-28,11,STANDARD,31,21,284.416748046875,R_A5,-5.468692165777611e-11,0,1702.7213134765625
284.5995788574219,15,1.0,2018-04-28,12,STANDARD,31,21,284.5995788574219,R_A5,-2.6360434668415422e-11,0,1704.625
284.78497314453125,16,1.0,2018-04-28,13,STANDARD,31,21,284.78497314453125,R_A5,-1.462842000310438e-11,0,1706.528564453125
285.157470703125,17,1.0,2018-04-28,14,STANDARD,31,21,285.157470703125,R_A5,-2.245799900213452e-12,0,1708.4322509765625
285.4323425292969,18,1.0,2018-04-28,15,STANDARD,31,21,285.4323425292969,R_A5,-2.0062783899488235e-12,0,1710.3358154296875
285.6598205566406,19,1.0,2018-04-28,16,STANDARD,31,21,285.6598205566406,R_A5,-3.4982971380825845e-12,0,1711.972412109375
285.7751770019531,20,1.0,2018-04-28,17,STANDARD,31,21,285.7751770019531,R_A5,0.0,0,1712.8416748046875
286.3522644042969,28,1.0,2018-04-28,18,STANDARD,31,21,286.3522644042969,R_A5,-1.334803361591197e-11,0,1714.277099609375
286.5983581542969,29,1.0,2018-04-28,19,STANDARD,31,21,286.5983581542969,R_A5,-8.416666669175399e-12,0,1716.779296875
286.99163818359375,30,1.0,2018-04-28,20,STANDARD,31,21,286.99163818359375,R_A5,-1.458242657570143e-17,0,1719.281494140625
295.0462646484375,31,1.0,2018-04-28,21,STANDARD,31,21,295.0462646484375,R_A5,1.8622208562950914e-19,0,1721.78369140625
302.8692932128906,32,1.0,2018-04-28,22,STANDARD,31,21,302.8692932128906,R_A5,-5.389987065812809e-20,0,1724.285888671875
