CONKPOS,WELLMODEL,SGAS,CONJPOS,SWAT,CONBPRES,CONIDX,CONIPOS,PRESSURE,WELL,DRAWDOWN,DATE,DEPTH
13,STANDARD,0.0,42,1.0,306.6572570800781,13,17,306.6572570800781,R_A6,0,2018-01-01,1714.5838623046875
14,STANDARD,0.0,42,1.0,306.8750915527344,14,17,306.8750915527344,R_A6,0,2018-01-01,1716.8822021484375
15,STANDARD,0.0,42,1.0,307.0929260253906,15,17,307.0929260253906,R_A6,0,2018-01-01,1719.1806640625
16,STANDARD,0.0,42,1.0,307.4557800292969,16,17,307.4557800292969,R_A6,0,2018-01-01,1721.47900390625
17,STANDARD,0.0,42,1.0,307.6736145019531,17,17,307.6736145019531,R_A6,0,2018-01-01,1723.77734375
18,STANDARD,0.0,42,1.0,307.8167724609375,18,17,307.8167724609375,R_A6,0,2018-01-01,1725.2880859375
25,STANDARD,0.0,42,1.0,307.77490234375,19,17,307.77490234375,R_A6,0,2018-01-01,1726.50390625
26,STANDARD,0.0,42,1.0,308.2426452636719,20,17,308.2426452636719,R_A6,0,2018-01-01,1728.21240234375
27,STANDARD,0.0,42,1.0,308.4045715332031,21,17,308.4045715332031,R_A6,0,2018-01-01,1729.9208984375
28,STANDARD,0.0,42,1.0,308.5664978027344,22,17,308.5664978027344,R_A6,0,2018-01-01,1731.62939453125
29,STANDARD,0.0,42,1.0,308.4226379394531,23,17,308.4226379394531,R_A6,0,2018-01-01,1733.337890625
1,STANDARD,0.0,30,0.053700003772974014,298.1512145996094,1,22,298.1512145996094,R_A2,0,2018-03-01,1640.50439453125
2,STANDARD,0.0,30,0.05562819167971611,298.2673034667969,2,22,298.2673034667969,R_A2,0,2018-03-01,1642.235595703125
3,STANDARD,0.0,30,0.05814076215028763,298.3834533691406,3,22,298.3834533691406,R_A2,0,2018-03-01,1643.9669189453125
4,STANDARD,0.0,30,0.06295130401849747,298.4996032714844,4,22,298.4996032714844,R_A2,0,2018-03-01,1645.6982421875
5,STANDARD,0.0,30,0.1621461808681488,298.6161193847656,5,22,298.6161193847656,R_A2,0,2018-03-01,1647.429443359375
6,STANDARD,0.0,30,0.6616916656494141,298.9082336425781,6,22,298.9082336425781,R_A2,0,2018-03-01,1649.1607666015625
7,STANDARD,0.0,30,0.6629079580307007,299.3529357910156,7,22,299.3529357910156,R_A2,0,2018-03-01,1650.8919677734375
8,STANDARD,0.0,30,0.6484352350234985,299.5921936035156,8,22,299.5921936035156,R_A2,0,2018-03-01,1652.623291015625
9,STANDARD,0.0,30,0.130978524684906,299.7084045410156,9,22,299.7084045410156,R_A2,0,2018-03-01,1654.3544921875
10,STANDARD,0.0,30,0.21004198491573334,299.8246154785156,10,22,299.8246154785156,R_A2,0,2018-03-01,1656.0858154296875
11,STANDARD,0.0,30,0.06648942083120346,299.9491882324219,11,22,299.9491882324219,R_A2,0,2018-03-01,1657.975341796875
13,STANDARD,0.0,30,0.4249343276023865,300.5887756347656,12,22,300.5887756347656,R_A2,0,2018-03-01,1662.071044921875
14,STANDARD,0.0,30,0.4738771617412567,300.72637939453125,13,22,300.72637939453125,R_A2,0,2018-03-01,1664.1187744140625
15,STANDARD,0.0,30,0.8935170769691467,300.8631591796875,14,22,300.8631591796875,R_A2,0,2018-03-01,1666.1666259765625
15,STANDARD,0.0,29,0.9320147633552551,301.0350036621094,15,22,301.0350036621094,R_A2,0,2018-03-01,1670.5540771484375
16,STANDARD,0.0,29,0.9479902982711792,301.17962646484375,16,22,301.17962646484375,R_A2,0,2018-03-01,1672.704345703125
17,STANDARD,0.0,29,0.9379891157150269,301.32391357421875,17,22,301.32391357421875,R_A2,0,2018-03-01,1674.8544921875
18,STANDARD,0.0,29,0.9900335073471069,301.4434509277344,18,22,301.4434509277344,R_A2,0,2018-03-01,1676.6370849609375
25,STANDARD,-3.065318850730878e-15,29,1.0,302.33624267578125,19,22,302.33624267578125,R_A2,0,2018-03-01,1678.219482421875
26,STANDARD,0.0,29,0.6485546231269836,302.15252685546875,20,22,302.15252685546875,R_A2,0,2018-03-01,1679.969482421875
27,STANDARD,1.849444534150757e-13,29,1.0,302.7418212890625,21,22,302.7418212890625,R_A2,0,2018-03-01,1681.7193603515625
28,STANDARD,2.7000396276427585e-13,29,1.0,303.5220031738281,22,22,303.5220031738281,R_A2,0,2018-03-01,1683.46923828125
29,STANDARD,2.4782189104663455e-13,29,1.0,303.92767333984375,23,22,303.92767333984375,R_A2,0,2018-03-01,1685.2191162109375
1,STANDARD,-2.0856268101443476e-10,20,1.0,281.5548095703125,1,31,281.5548095703125,R_A5,0,2018-04-28,1685.5975341796875
2,STANDARD,-2.0088683494456916e-10,20,1.0,281.7484436035156,2,31,281.7484436035156,R_A5,0,2018-04-28,1687.642578125
3,STANDARD,-1.7449180989004276e-10,20,1.0,281.94195556640625,3,31,281.94195556640625,R_A5,0,2018-04-28,1689.6876220703125
4,STANDARD,-2.41787950772121e-10,20,1.0,282.1357421875,4,31,282.1357421875,R_A5,0,2018-04-28,1691.7327880859375
5,STANDARD,-1.9536680606613288e-10,20,1.0,282.3293151855469,5,31,282.3293151855469,R_A5,0,2018-04-28,1693.77783203125
6,STANDARD,-1.379958231018108e-10,20,1.0,282.5226745605469,6,31,282.5226745605469,R_A5,0,2018-04-28,1695.8228759765625
7,STANDARD,-1.081821156094509e-12,20,1.0,283.03411865234375,7,31,283.03411865234375,R_A5,0,2018-04-28,1697.867919921875
8,STANDARD,-5.573010043898041e-13,20,1.0,283.2408142089844,8,31,283.2408142089844,R_A5,0,2018-04-28,1699.9129638671875
9,STANDARD,-6.137563547670144e-12,21,1.0,282.3399658203125,9,31,282.3399658203125,R_A5,0,2018-04-28,1696.8248291015625
11,STANDARD,-7.930303549258388e-13,21,1.0,276.9333801269531,10,31,276.9333801269531,R_A5,0,2018-04-28,1701.2734375
12,STANDARD,4.382640355227868e-13,21,1.0,277.0901794433594,11,31,277.0901794433594,R_A5,0,2018-04-28,1703.305908203125
13,STANDARD,2.872983291156081e-14,21,1.0,277.29541015625,12,31,277.29541015625,R_A5,0,2018-04-28,1705.33837890625
14,STANDARD,3.955025190812908e-14,21,1.0,277.4908447265625,13,31,277.4908447265625,R_A5,0,2018-04-28,1707.3709716796875
15,STANDARD,2.3850504701100096e-14,21,1.0,277.6863098144531,14,31,277.6863098144531,R_A5,0,2018-04-28,1709.403564453125
16,STANDARD,4.1368957853793204e-15,21,1.0,278.03131103515625,15,31,278.03131103515625,R_A5,0,2018-04-28,1711.43603515625
17,STANDARD,6.479672873970941e-15,21,1.0,278.2252502441406,16,31,278.2252502441406,R_A5,0,2018-04-28,1713.415283203125
18,STANDARD,-2.933836586541443e-17,21,1.0,278.3411865234375,17,31,278.3411865234375,R_A5,0,2018-04-28,1714.635009765625
25,STANDARD,-9.584937417329506e-14,21,1.0,285.9939880371094,18,31,285.9939880371094,R_A5,0,2018-04-28,1715.991943359375
26,STANDARD,-1.1242203457224875e-13,21,1.0,286.1893615722656,19,31,286.1893615722656,R_A5,0,2018-04-28,1718.1748046875
27,STANDARD,-6.334456234670887e-21,21,1.0,296.7607727050781,20,31,296.7607727050781,R_A5,0,2018-04-28,1720.3577880859375
28,STANDARD,-3.3236138721832764e-22,21,1.0,304.2005920410156,21,31,304.2005920410156,R_A5,0,2018-04-28,1722.540771484375
29,STANDARD,-3.243296298885343e-24,21,1.0,306.96820068359375,22,31,306.96820068359375,R_A5,0,2018-04-28,1724.7236328125
1,STANDARD,0.0,41,0.3298644721508026,282.5035705566406,1,28,282.5035705566406,R_A3,0,2018-07-03,1610.4044189453125
2,STANDARD,0.0,41,0.19425691664218903,282.61273193359375,2,28,282.61273193359375,R_A3,0,2018-07-03,1612.406494140625
3,STANDARD,0.0,41,0.11195789277553558,282.7462463378906,3,28,282.7462463378906,R_A3,0,2018-07-03,1614.4085693359375
4,STANDARD,0.0,41,0.11401248723268509,282.8799133300781,4,28,282.8799133300781,R_A3,0,2018-07-03,1616.4107666015625
4,STANDARD,0.0,41,0.15260744094848633,282.15484619140625,5,29,282.15484619140625,R_A3,0,2018-07-03,1606.1123046875
5,STANDARD,0.0,41,0.8034787178039551,282.3692932128906,6,29,282.3692932128906,R_A3,0,2018-07-03,1608.156982421875
6,STANDARD,0.0,41,0.17643408477306366,282.4879150390625,7,29,282.4879150390625,R_A3,0,2018-07-03,1610.2017822265625
7,STANDARD,0.0,41,0.19397670030593872,282.6246032714844,8,29,282.6246032714844,R_A3,0,2018-07-03,1612.24658203125
8,STANDARD,0.0,41,0.19451715052127838,282.7613220214844,9,29,282.7613220214844,R_A3,0,2018-07-03,1614.291259765625
9,STANDARD,0.0,41,0.789831280708313,282.97955322265625,10,29,282.97955322265625,R_A3,0,2018-07-03,1616.3360595703125
10,STANDARD,0.0,41,0.7887147068977356,285.30645751953125,11,29,285.30645751953125,R_A3,0,2018-07-03,1618.380859375
11,STANDARD,0.0,41,0.048969198018312454,291.32000732421875,12,29,291.32000732421875,R_A3,0,2018-07-03,1620.55517578125
12,STANDARD,0.0,41,0.05374198779463768,291.4741516113281,13,29,291.4741516113281,R_A3,0,2018-07-03,1622.859375
13,STANDARD,0.0,41,0.36441630125045776,291.6289978027344,14,29,291.6289978027344,R_A3,0,2018-07-03,1625.163330078125
15,STANDARD,0.0,41,0.6022424697875977,292.31036376953125,15,29,292.31036376953125,R_A3,0,2018-07-03,1629.771484375
16,STANDARD,0.0,41,0.799542248249054,292.44610595703125,16,29,292.44610595703125,R_A3,0,2018-07-03,1631.46533203125
25,STANDARD,0.0,41,0.36682337522506714,286.84613037109375,17,29,286.84613037109375,R_A3,0,2018-07-03,1633.7574462890625
26,STANDARD,0.0,41,0.043627116829156876,287.07177734375,18,29,287.07177734375,R_A3,0,2018-07-03,1637.258056640625
27,STANDARD,0.0,41,0.05033257603645325,287.3056945800781,19,29,287.3056945800781,R_A3,0,2018-07-03,1640.7586669921875
28,STANDARD,0.0,41,0.6497920751571655,287.5234069824219,20,29,287.5234069824219,R_A3,0,2018-07-03,1644.2593994140625
29,STANDARD,0.0,41,0.06027248874306679,287.73681640625,21,29,287.73681640625,R_A3,0,2018-07-03,1647.760009765625
1,STANDARD,0.0,52,0.19519808888435364,280.1120300292969,1,30,280.1120300292969,R_A4,0,2018-09-12,1633.0308837890625
1,STANDARD,0.0,52,0.6495688557624817,279.863525390625,2,31,279.863525390625,R_A4,0,2018-09-12,1626.6802978515625
2,STANDARD,0.0,52,0.23812104761600494,280.00323486328125,3,31,280.00323486328125,R_A4,0,2018-09-12,1628.7757568359375
3,STANDARD,0.0,52,0.08830919116735458,280.1427307128906,4,31,280.1427307128906,R_A4,0,2018-09-12,1630.87109375
4,STANDARD,0.0,52,0.052953027188777924,280.28240966796875,5,31,280.28240966796875,R_A4,0,2018-09-12,1632.966552734375
