SGAS,CONIPOS,CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIDX,CONBPRES,CONJPOS,WELL,DATE,DEPTH,DRAWDOWN
0.0,31,2,1.0,303.9060363769531,STANDARD,2,303.9060363769531,20,R_A5,2018-01-01,1685.6802978515625,0
0.0,31,3,1.0,304.11895751953125,STANDARD,3,304.11895751953125,20,R_A5,2018-01-01,1687.92724609375,0
0.0,31,4,1.0,304.3319091796875,STANDARD,4,304.3319091796875,20,R_A5,2018-01-01,1690.1741943359375,0
0.0,31,5,1.0,304.5448303222656,STANDARD,5,304.5448303222656,20,R_A5,2018-01-01,1692.421142578125,0
0.0,31,6,1.0,304.75775146484375,STANDARD,6,304.75775146484375,20,R_A5,2018-01-01,1694.6680908203125,0
0.0,31,7,1.0,305.2764892578125,STANDARD,7,305.2764892578125,20,R_A5,2018-01-01,1696.9150390625,0
0.0,31,11,1.0,305.50982666015625,STANDARD,8,305.50982666015625,21,R_A5,2018-01-01,1702.602783203125,0
0.0,31,12,1.0,305.700927734375,STANDARD,9,305.700927734375,21,R_A5,2018-01-01,1704.619140625,0
0.0,31,13,1.0,305.90399169921875,STANDARD,10,305.90399169921875,21,R_A5,2018-01-01,1706.635498046875,0
0.0,31,14,1.0,306.0950927734375,STANDARD,11,306.0950927734375,21,R_A5,2018-01-01,1708.6519775390625,0
0.0,31,15,1.0,306.28619384765625,STANDARD,12,306.28619384765625,21,R_A5,2018-01-01,1710.6683349609375,0
0.0,31,16,1.0,306.6222839355469,STANDARD,13,306.6222839355469,21,R_A5,2018-01-01,1712.684814453125,0
0.0,31,17,1.0,306.8133850097656,STANDARD,14,306.8133850097656,21,R_A5,2018-01-01,1714.701171875,0
0.0,31,18,1.0,306.94525146484375,STANDARD,15,306.94525146484375,21,R_A5,2018-01-01,1716.09228515625,0
0.0,31,19,1.0,306.9952087402344,STANDARD,16,306.9952087402344,21,R_A5,2018-01-01,1716.619384765625,0
0.0,31,27,1.0,306.9566955566406,STANDARD,17,306.9566955566406,21,R_A5,2018-01-01,1717.870849609375,0
0.0,31,28,1.0,307.47235107421875,STANDARD,18,307.47235107421875,21,R_A5,2018-01-01,1720.085205078125,0
0.0,31,29,1.0,307.6822204589844,STANDARD,19,307.6822204589844,21,R_A5,2018-01-01,1722.299560546875,0
0.0,31,30,1.0,307.89208984375,STANDARD,20,307.89208984375,21,R_A5,2018-01-01,1724.513916015625,0
0.0,31,31,1.0,308.1019592285156,STANDARD,21,308.1019592285156,21,R_A5,2018-01-01,1726.728271484375,0
0.0,17,1,1.0,305.01983642578125,STANDARD,1,305.01983642578125,42,R_A6,2018-01-01,1694.20703125,0
