PRESSURE,CONJPOS,CONIPOS,WELL,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,SGAS,DEPTH
305.60003662109375,42,17,R_A6,5,5,1.0,305.60003662109375,2018-01-01,0,STANDARD,0.0,1700.3291015625
305.74530029296875,42,17,R_A6,6,6,1.0,305.74530029296875,2018-01-01,0,STANDARD,0.0,1701.8621826171875
305.591552734375,42,17,R_A6,7,7,1.0,305.591552734375,2018-01-01,0,STANDARD,0.0,1703.395263671875
305.7368469238281,42,17,R_A6,8,8,1.0,305.7368469238281,2018-01-01,0,STANDARD,0.0,1704.92822265625
306.1811828613281,42,17,R_A6,9,9,1.0,306.1811828613281,2018-01-01,0,STANDARD,0.0,1706.4613037109375
306.0206604003906,42,17,R_A6,10,10,1.0,306.0206604003906,2018-01-01,0,STANDARD,0.0,1707.994384765625
306.20062255859375,42,17,R_A6,11,11,1.0,306.20062255859375,2018-01-01,0,STANDARD,0.0,1709.891845703125
306.4150085449219,42,17,R_A6,12,12,1.0,306.4150085449219,2018-01-01,0,STANDARD,0.0,1712.1539306640625
306.641357421875,42,17,R_A6,13,13,1.0,306.641357421875,2018-01-01,0,STANDARD,0.0,1714.416015625
306.8557434082031,42,17,R_A6,14,14,1.0,306.8557434082031,2018-01-01,0,STANDARD,0.0,1716.6781005859375
307.07012939453125,42,17,R_A6,15,15,1.0,307.07012939453125,2018-01-01,0,STANDARD,0.0,1718.940185546875
307.4295349121094,42,17,R_A6,16,16,1.0,307.4295349121094,2018-01-01,0,STANDARD,0.0,1721.2022705078125
307.6439208984375,42,17,R_A6,17,17,1.0,307.6439208984375,2018-01-01,0,STANDARD,0.0,1723.46435546875
307.7972412109375,42,17,R_A6,18,18,1.0,307.7972412109375,2018-01-01,0,STANDARD,0.0,1725.0819091796875
307.7671203613281,42,17,R_A6,25,19,1.0,307.7671203613281,2018-01-01,0,STANDARD,0.0,1726.421630859375
308.2346496582031,42,17,R_A6,26,20,1.0,308.2346496582031,2018-01-01,0,STANDARD,0.0,1728.1282958984375
308.39642333984375,42,17,R_A6,27,21,1.0,308.39642333984375,2018-01-01,0,STANDARD,0.0,1729.8349609375
308.55816650390625,42,17,R_A6,28,22,1.0,308.55816650390625,2018-01-01,0,STANDARD,0.0,1731.54150390625
308.41412353515625,42,17,R_A6,29,23,1.0,308.41412353515625,2018-01-01,0,STANDARD,0.0,1733.2481689453125
299.40301513671875,30,22,R_A2,1,1,0.05381326377391815,299.40301513671875,2018-03-01,0,STANDARD,0.0,1641.79736328125
299.52197265625,30,22,R_A2,2,2,0.05456448718905449,299.52197265625,2018-03-01,0,STANDARD,0.0,1643.571044921875
299.64093017578125,30,22,R_A2,3,3,0.058085598051548004,299.64093017578125,2018-03-01,0,STANDARD,0.0,1645.3446044921875
299.7598876953125,30,22,R_A2,4,4,0.0634620413184166,299.7598876953125,2018-03-01,0,STANDARD,0.0,1647.1182861328125
299.8788757324219,30,22,R_A2,5,5,0.06764087080955505,299.8788757324219,2018-03-01,0,STANDARD,0.0,1648.8919677734375
300.0148620605469,30,22,R_A2,6,6,0.21584242582321167,300.0148620605469,2018-03-01,0,STANDARD,0.0,1650.66552734375
300.1435852050781,30,22,R_A2,7,7,0.8722549676895142,300.1435852050781,2018-03-01,0,STANDARD,0.0,1652.4390869140625
300.2670593261719,30,22,R_A2,8,8,0.8633943200111389,300.2670593261719,2018-03-01,0,STANDARD,0.0,1654.2127685546875
300.55047607421875,30,22,R_A2,9,9,0.8903902769088745,300.55047607421875,2018-03-01,0,STANDARD,0.0,1655.986328125
300.8592224121094,30,22,R_A2,10,10,0.8970411419868469,300.8592224121094,2018-03-01,0,STANDARD,0.0,1657.760009765625
299.6831970214844,30,22,R_A2,11,11,0.06975087523460388,299.6831970214844,2018-03-01,0,STANDARD,0.0,1659.6805419921875
299.82177734375,30,22,R_A2,12,12,0.07222211360931396,299.82177734375,2018-03-01,0,STANDARD,0.0,1661.748046875
299.9611511230469,30,22,R_A2,13,13,0.43061479926109314,299.9611511230469,2018-03-01,0,STANDARD,0.0,1663.8154296875
300.1013488769531,30,22,R_A2,14,14,0.466495156288147,300.1013488769531,2018-03-01,0,STANDARD,0.0,1665.8828125
300.2514343261719,30,22,R_A2,15,15,0.912303626537323,300.2514343261719,2018-03-01,0,STANDARD,0.0,1667.9503173828125
300.39971923828125,30,22,R_A2,16,16,0.9314811825752258,300.39971923828125,2018-03-01,0,STANDARD,0.0,1670.017822265625
300.5436096191406,30,22,R_A2,17,17,0.8815436363220215,300.5436096191406,2018-03-01,0,STANDARD,0.0,1672.085205078125
300.6614990234375,30,22,R_A2,18,18,0.9448845982551575,300.6614990234375,2018-03-01,0,STANDARD,0.0,1673.8333740234375
300.97430419921875,29,22,R_A2,18,19,0.9836294054985046,300.97430419921875,2018-03-01,0,STANDARD,0.0,1676.47998046875
301.664306640625,29,22,R_A2,25,20,0.6484284400939941,301.664306640625,2018-03-01,0,STANDARD,0.0,1678.1121826171875
302.995849609375,29,22,R_A2,26,21,1.0,302.995849609375,2018-03-01,0,STANDARD,-7.539089930683543e-14,1679.8310546875
302.7841796875,29,22,R_A2,27,22,1.0,302.7841796875,2018-03-01,0,STANDARD,-4.3052472936504216e-13,1681.5499267578125
