SWAT,SGAS,CONIDX,CONJPOS,WELLMODEL,WELL,CONIPOS,CONKPOS,DEPTH,CONBPRES,DRAWDOWN,DATE,PRESSURE
0.1976603865623474,0.0,10,50,STANDARD,R_A4,33,4,1642.1485595703125,300.6056823730469,0,2018-01-01,300.6056823730469
0.16846640408039093,0.0,11,50,STANDARD,R_A4,34,4,1641.132080078125,300.5375061035156,0,2018-01-01,300.5375061035156
0.26247310638427734,0.0,12,50,STANDARD,R_A4,34,3,1639.20703125,300.408447265625,0,2018-01-01,300.408447265625
0.17776165902614594,0.0,13,50,STANDARD,R_A4,35,3,1640.9061279296875,300.5223693847656,0,2018-01-01,300.5223693847656
0.24081292748451233,0.0,14,50,STANDARD,R_A4,35,2,1639.0426025390625,300.3974304199219,0,2018-01-01,300.3974304199219
0.24953612685203552,0.0,15,49,STANDARD,R_A4,35,2,1641.93212890625,300.5911560058594,0,2018-01-01,300.5911560058594
0.8394457101821899,0.0,16,49,STANDARD,R_A4,36,30,1642.357421875,300.61968994140625,0,2018-01-01,300.61968994140625
0.6481541991233826,0.0,17,48,STANDARD,R_A4,36,30,1639.6068115234375,300.43524169921875,0,2018-01-01,300.43524169921875
0.8337783217430115,0.0,18,48,STANDARD,R_A4,37,30,1646.7513427734375,300.914306640625,0,2018-01-01,300.914306640625
0.6481541991233826,0.0,19,48,STANDARD,R_A4,38,30,1653.461669921875,301.36431884765625,0,2018-01-01,301.36431884765625
0.8469705581665039,0.0,20,47,STANDARD,R_A4,38,30,1657.8184814453125,301.656494140625,0,2018-01-01,301.656494140625
1.0,0.0,1,20,STANDARD,R_A5,31,1,1685.026611328125,303.8440856933594,0,2018-01-01,303.8440856933594
1.0,0.0,2,20,STANDARD,R_A5,31,2,1687.3070068359375,304.0601806640625,0,2018-01-01,304.0601806640625
1.0,0.0,3,20,STANDARD,R_A5,31,3,1689.5875244140625,304.27630615234375,0,2018-01-01,304.27630615234375
1.0,0.0,4,20,STANDARD,R_A5,31,4,1691.8680419921875,304.4924011230469,0,2018-01-01,304.4924011230469
1.0,0.0,5,20,STANDARD,R_A5,31,5,1694.1485595703125,304.7085266113281,0,2018-01-01,304.7085266113281
1.0,0.0,6,20,STANDARD,R_A5,31,6,1696.4290771484375,304.9246520996094,0,2018-01-01,304.9246520996094
