CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS,DEPTH,DRAWDOWN,SWAT,WELL,SGAS,DATE,CONJPOS,CONIDX
38,301.7947998046875,301.7947998046875,STANDARD,30,1657.8184814453125,0,0.11428860574960709,R_A4,0.0,2018-01-01,47,20
31,303.8440856933594,303.8440856933594,STANDARD,1,1685.026611328125,0,1.0,R_A5,0.0,2018-01-01,20,1
31,304.0601806640625,304.0601806640625,STANDARD,2,1687.3070068359375,0,1.0,R_A5,0.0,2018-01-01,20,2
31,304.58209228515625,304.58209228515625,STANDARD,3,1689.5875244140625,0,1.0,R_A5,0.0,2018-01-01,20,3
31,304.4924011230469,304.4924011230469,STANDARD,4,1691.8680419921875,0,1.0,R_A5,0.0,2018-01-01,20,4
31,304.7085266113281,304.7085266113281,STANDARD,5,1694.1485595703125,0,1.0,R_A5,0.0,2018-01-01,20,5
31,304.9246520996094,304.9246520996094,STANDARD,6,1696.4290771484375,0,1.0,R_A5,0.0,2018-01-01,20,6
31,305.446533203125,305.446533203125,STANDARD,7,1698.70947265625,0,1.0,R_A5,0.0,2018-01-01,20,7
31,305.988037109375,305.988037109375,STANDARD,11,1707.6488037109375,0,1.0,R_A5,0.0,2018-01-01,20,8
31,306.1695251464844,306.1695251464844,STANDARD,12,1709.5638427734375,0,1.0,R_A5,0.0,2018-01-01,20,9
31,305.4322814941406,305.4322814941406,STANDARD,12,1701.7845458984375,0,1.0,R_A5,0.0,2018-01-01,21,10
31,305.6291198730469,305.6291198730469,STANDARD,13,1703.735107421875,0,1.0,R_A5,0.0,2018-01-01,21,11
31,305.81396484375,305.81396484375,STANDARD,14,1705.6856689453125,0,1.0,R_A5,0.0,2018-01-01,21,12
31,305.9988098144531,305.9988098144531,STANDARD,15,1707.63623046875,0,1.0,R_A5,0.0,2018-01-01,21,13
31,306.1836853027344,306.1836853027344,STANDARD,16,1709.5867919921875,0,1.0,R_A5,0.0,2018-01-01,21,14
31,306.5135498046875,306.5135498046875,STANDARD,17,1711.537353515625,0,1.0,R_A5,0.0,2018-01-01,21,15
31,306.6856994628906,306.6856994628906,STANDARD,18,1713.35400390625,0,1.0,R_A5,0.0,2018-01-01,21,16
