CONBPRES,DRAWDOWN,SWAT,CONIPOS,WELLMODEL,DATE,PRESSURE,CONKPOS,CONIDX,CONJPOS,SGAS,DEPTH,WELL
300.4330139160156,0,0.05665536969900131,33,STANDARD,2018-01-01,300.4330139160156,4,8,51,0.0,1636.3525390625,R_A4
300.5528869628906,0,0.05681908503174782,33,STANDARD,2018-01-01,300.5528869628906,5,9,51,0.0,1638.140625,R_A4
301.10089111328125,0,0.15254195034503937,33,STANDARD,2018-01-01,301.10089111328125,5,10,50,0.0,1646.3131103515625,R_A4
300.804931640625,0,0.18527548015117645,34,STANDARD,2018-01-01,300.804931640625,5,11,50,0.0,1641.8995361328125,R_A4
300.68206787109375,0,0.11821936070919037,34,STANDARD,2018-01-01,300.68206787109375,4,12,50,0.0,1640.0670166015625,R_A4
300.4966735839844,0,0.09647905081510544,35,STANDARD,2018-01-01,300.4966735839844,4,13,50,0.0,1637.3021240234375,R_A4
300.8427429199219,0,0.05558787286281586,35,STANDARD,2018-01-01,300.8427429199219,28,14,49,0.0,1642.463134765625,R_A4
300.4255676269531,0,0.12452498823404312,35,STANDARD,2018-01-01,300.4255676269531,27,15,49,0.0,1636.24169921875,R_A4
300.6823425292969,0,0.2203366458415985,36,STANDARD,2018-01-01,300.6823425292969,27,16,49,0.0,1640.0711669921875,R_A4
300.66815185546875,0,0.08346041291952133,36,STANDARD,2018-01-01,300.66815185546875,27,17,48,0.0,1639.8594970703125,R_A4
301.0217590332031,0,0.2184724360704422,37,STANDARD,2018-01-01,301.0217590332031,27,18,48,0.0,1645.1328125,R_A4
301.3470764160156,0,0.6481541991233826,38,STANDARD,2018-01-01,301.3470764160156,27,19,48,0.0,1649.9837646484375,R_A4
301.9091796875,0,0.6481541991233826,38,STANDARD,2018-01-01,301.9091796875,27,20,47,0.0,1658.3648681640625,R_A4
303.83782958984375,0,1.0,31,STANDARD,2018-01-01,303.83782958984375,1,1,20,0.0,1684.96044921875,R_A5
304.0483093261719,0,1.0,31,STANDARD,2018-01-01,304.0483093261719,2,2,20,0.0,1687.1815185546875,R_A5
304.2587890625,0,1.0,31,STANDARD,2018-01-01,304.2587890625,3,3,20,0.0,1689.4027099609375,R_A5
304.4692687988281,0,1.0,31,STANDARD,2018-01-01,304.4692687988281,4,4,20,0.0,1691.623779296875,R_A5
