WELLMODEL,DEPTH,WELL,SWAT,SGAS,CONIDX,CONKPOS,CONJPOS,CONIPOS,DRAWDOWN,CONBPRES,DATE,PRESSURE
STANDARD,1714.5506591796875,R_A6,1.0,0.0,13,13,42,17,0,306.65411376953125,2018-01-01,306.65411376953125
STANDARD,1716.8292236328125,R_A6,1.0,0.0,14,14,42,17,0,306.87005615234375,2018-01-01,306.87005615234375
STANDARD,1719.10791015625,R_A6,1.0,0.0,15,15,42,17,0,307.0860290527344,2018-01-01,307.0860290527344
STANDARD,1721.3865966796875,R_A6,1.0,0.0,16,16,42,17,0,307.4469909667969,2018-01-01,307.4469909667969
STANDARD,1723.665283203125,R_A6,1.0,0.0,17,17,42,17,0,307.6629638671875,2018-01-01,307.6629638671875
STANDARD,1725.2110595703125,R_A6,1.0,0.0,18,18,42,17,0,307.8094787597656,2018-01-01,307.8094787597656
STANDARD,1726.4697265625,R_A6,1.0,0.0,19,26,42,17,0,307.77166748046875,2018-01-01,307.77166748046875
STANDARD,1728.174072265625,R_A6,1.0,0.0,20,27,42,17,0,308.2389831542969,2018-01-01,308.2389831542969
STANDARD,1729.87841796875,R_A6,1.0,0.0,21,28,42,17,0,308.4005432128906,2018-01-01,308.4005432128906
STANDARD,1731.5828857421875,R_A6,1.0,0.0,22,29,42,17,0,308.56207275390625,2018-01-01,308.56207275390625
STANDARD,1733.2872314453125,R_A6,1.0,0.0,23,30,42,17,0,308.4178466796875,2018-01-01,308.4178466796875
STANDARD,1640.478759765625,R_A2,0.05327959358692169,0.0,1,1,30,22,0,298.24224853515625,2018-03-01,298.24224853515625
STANDARD,1642.2222900390625,R_A2,0.054803259670734406,0.0,2,2,30,22,0,298.3591003417969,2018-03-01,298.3591003417969
STANDARD,1643.9658203125,R_A2,0.05813334137201309,0.0,3,3,30,22,0,298.4759216308594,2018-03-01,298.4759216308594
STANDARD,1645.70947265625,R_A2,0.06378863751888275,0.0,4,4,30,22,0,298.5927429199219,2018-03-01,298.5927429199219
STANDARD,1647.452880859375,R_A2,0.06800109148025513,0.0,5,5,30,22,0,298.7095642089844,2018-03-01,298.7095642089844
STANDARD,1649.1964111328125,R_A2,0.6491129398345947,0.0,6,6,30,22,0,298.810791015625,2018-03-01,298.810791015625
STANDARD,1650.93994140625,R_A2,0.8813518285751343,0.0,7,7,30,22,0,298.9515380859375,2018-03-01,298.9515380859375
STANDARD,1652.68359375,R_A2,0.864446222782135,0.0,8,8,30,22,0,299.08038330078125,2018-03-01,299.08038330078125
STANDARD,1654.4271240234375,R_A2,0.877423107624054,0.0,9,9,30,22,0,299.558837890625,2018-03-01,299.558837890625
STANDARD,1656.1707763671875,R_A2,0.6484675407409668,0.0,10,10,30,22,0,299.77398681640625,2018-03-01,299.77398681640625
STANDARD,1658.0550537109375,R_A2,0.0687507688999176,0.0,11,11,30,22,0,299.91448974609375,2018-03-01,299.91448974609375
STANDARD,1660.0802001953125,R_A2,0.1256256401538849,0.0,12,12,30,22,0,300.05029296875,2018-03-01,300.05029296875
STANDARD,1662.105224609375,R_A2,0.4258485436439514,0.0,13,13,30,22,0,300.18682861328125,2018-03-01,300.18682861328125
STANDARD,1664.13037109375,R_A2,0.4696364998817444,0.0,14,14,30,22,0,300.32415771484375,2018-03-01,300.32415771484375
STANDARD,1666.1553955078125,R_A2,0.9092262983322144,0.0,15,15,30,22,0,300.46527099609375,2018-03-01,300.46527099609375
STANDARD,1668.1805419921875,R_A2,0.9161381125450134,0.0,16,16,30,22,0,300.6043701171875,2018-03-01,300.6043701171875
STANDARD,1670.2056884765625,R_A2,0.8893773555755615,0.0,17,17,30,22,0,300.7413024902344,2018-03-01,300.7413024902344
STANDARD,1672.6943359375,R_A2,0.905828058719635,0.0,18,17,29,22,0,301.0792236328125,2018-03-01,301.0792236328125
