SWAT,WELL,WELLMODEL,DEPTH,CONIPOS,PRESSURE,DATE,DRAWDOWN,SGAS,CONKPOS,CONJPOS,CONIDX,CONBPRES
1.0,R_A5,STANDARD,1720.7462158203125,31,307.5350036621094,2018-01-01,0,0.0,27,21,19,307.5350036621094
1.0,R_A5,STANDARD,1722.9400634765625,31,307.742919921875,2018-01-01,0,0.0,28,21,20,307.742919921875
1.0,R_A5,STANDARD,1725.1337890625,31,307.9508361816406,2018-01-01,0,0.0,29,21,21,307.9508361816406
1.0,R_A6,STANDARD,1693.9346923828125,17,304.9940490722656,2018-01-01,0,0.0,1,42,1,304.9940490722656
1.0,R_A6,STANDARD,1695.4613037109375,17,305.1387023925781,2018-01-01,0,0.0,2,42,2,305.1387023925781
1.0,R_A6,STANDARD,1696.98779296875,17,305.28338623046875,2018-01-01,0,0.0,3,42,3,305.28338623046875
1.0,R_A6,STANDARD,1698.514404296875,17,305.42803955078125,2018-01-01,0,0.0,4,42,4,305.42803955078125
1.0,R_A6,STANDARD,1700.0408935546875,17,305.5727233886719,2018-01-01,0,0.0,5,42,5,305.5727233886719
1.0,R_A6,STANDARD,1701.5673828125,17,305.7173767089844,2018-01-01,0,0.0,6,42,6,305.7173767089844
1.0,R_A6,STANDARD,1703.0938720703125,17,305.56298828125,2018-01-01,0,0.0,7,42,7,305.56298828125
1.0,R_A6,STANDARD,1704.6204833984375,17,305.7076721191406,2018-01-01,0,0.0,8,42,8,305.7076721191406
1.0,R_A6,STANDARD,1706.1470947265625,17,306.1513977050781,2018-01-01,0,0.0,9,42,9,306.1513977050781
1.0,R_A6,STANDARD,1707.6737060546875,17,305.99029541015625,2018-01-01,0,0.0,10,42,10,305.99029541015625
1.0,R_A6,STANDARD,1709.5853271484375,17,306.17156982421875,2018-01-01,0,0.0,11,42,11,306.17156982421875
1.0,R_A6,STANDARD,1711.8819580078125,17,306.38922119140625,2018-01-01,0,0.0,12,42,12,306.38922119140625
1.0,R_A6,STANDARD,1714.1787109375,17,306.6188659667969,2018-01-01,0,0.0,13,42,13,306.6188659667969
1.0,R_A6,STANDARD,1716.475341796875,17,306.8365173339844,2018-01-01,0,0.0,14,42,14,306.8365173339844
1.0,R_A6,STANDARD,1718.77197265625,17,307.05419921875,2018-01-01,0,0.0,15,42,15,307.05419921875
1.0,R_A6,STANDARD,1721.0687255859375,17,307.4168701171875,2018-01-01,0,0.0,16,42,16,307.4168701171875
1.0,R_A6,STANDARD,1723.3653564453125,17,307.6345520019531,2018-01-01,0,0.0,17,42,17,307.6345520019531
1.0,R_A6,STANDARD,1724.8387451171875,17,307.7742004394531,2018-01-01,0,0.0,18,42,18,307.7742004394531
1.0,R_A6,STANDARD,1726.013916015625,17,307.7284851074219,2018-01-01,0,0.0,25,42,19,307.7284851074219
1.0,R_A6,STANDARD,1727.714599609375,17,308.1954345703125,2018-01-01,0,0.0,26,42,20,308.1954345703125
1.0,R_A6,STANDARD,1729.4151611328125,17,308.35662841796875,2018-01-01,0,0.0,27,42,21,308.35662841796875
1.0,R_A6,STANDARD,1731.11572265625,17,308.5177917480469,2018-01-01,0,0.0,28,42,22,308.5177917480469
1.0,R_A6,STANDARD,1732.8162841796875,17,308.3731994628906,2018-01-01,0,0.0,29,42,23,308.3731994628906
0.054382771253585815,R_A2,STANDARD,1641.790283203125,22,297.7853088378906,2018-03-01,0,0.0,1,30,1,297.7853088378906
0.05620158091187477,R_A2,STANDARD,1643.5509033203125,22,297.9033508300781,2018-03-01,0,0.0,2,30,2,297.9033508300781
0.06008888781070709,R_A2,STANDARD,1645.3115234375,22,298.021484375,2018-03-01,0,0.0,3,30,3,298.021484375
