CONIDX,WELL,CONIPOS,CONJPOS,CONBPRES,DEPTH,PRESSURE,WELLMODEL,SGAS,DATE,DRAWDOWN,CONKPOS,SWAT
13,R_A6,17,42,280.1683654785156,1714.3336181640625,280.1683654785156,STANDARD,-8.464755318123712e-14,2018-11-07,0,13,1.0
14,R_A6,17,42,280.3813171386719,1716.5823974609375,280.3813171386719,STANDARD,-8.299296579833415e-14,2018-11-07,0,14,1.0
15,R_A6,17,42,280.594482421875,1718.8311767578125,280.594482421875,STANDARD,-5.2206482680731275e-14,2018-11-07,0,15,1.0
16,R_A6,17,42,280.9525146484375,1721.080078125,280.9525146484375,STANDARD,-1.3631860261908643e-14,2018-11-07,0,16,1.0
17,R_A6,17,42,281.1653137207031,1723.328857421875,281.1653137207031,STANDARD,-2.485945307841974e-14,2018-11-07,0,17,1.0
18,R_A6,17,42,281.3233947753906,1725.0,281.3233947753906,STANDARD,-2.0843237888684002e-14,2018-11-07,0,18,1.0
19,R_A6,17,42,281.17523193359375,1726.404052734375,281.17523193359375,STANDARD,1.7718538004944098e-15,2018-11-07,0,25,1.0
20,R_A6,17,42,282.0911560058594,1728.1185302734375,282.0911560058594,STANDARD,1.2985960548848572e-17,2018-11-07,0,26,1.0
21,R_A6,17,42,283.1033020019531,1729.8330078125,283.1033020019531,STANDARD,1.0779829455797777e-21,2018-11-07,0,27,1.0
22,R_A6,17,42,283.0294494628906,1731.547607421875,283.0294494628906,STANDARD,1.4406487084620964e-22,2018-11-07,0,28,1.0
23,R_A6,17,42,281.83331298828125,1733.261962890625,281.83331298828125,STANDARD,2.9939996658800787e-18,2018-11-07,0,29,1.0
