WELL,DATE,CONJPOS,WELLMODEL,DRAWDOWN,CONBPRES,DEPTH,CONKPOS,SWAT,CONIDX,PRESSURE,CONIPOS,SGAS
R_A4,2018-01-01,50,STANDARD,0,300.6534729003906,1639.4635009765625,3,0.22309991717338562,17,300.6534729003906,35,0.0
R_A4,2018-01-01,50,STANDARD,0,300.53692626953125,1637.724853515625,2,0.22462452948093414,18,300.53692626953125,35,0.0
R_A4,2018-01-01,49,STANDARD,0,300.8855285644531,1642.9239501953125,2,0.23059187829494476,19,300.8855285644531,35,0.0
R_A4,2018-01-01,49,STANDARD,0,300.7670593261719,1641.1573486328125,1,0.22974026203155518,20,300.7670593261719,35,0.0
R_A4,2018-01-01,49,STANDARD,0,301.0379638671875,1645.197021484375,27,0.14201050996780396,21,301.0379638671875,36,0.0
R_A4,2018-01-01,48,STANDARD,0,301.0708312988281,1645.687255859375,27,0.25332164764404297,22,301.0708312988281,36,0.0
R_A4,2018-01-01,48,STANDARD,0,301.2740783691406,1648.718017578125,27,0.352609783411026,23,301.2740783691406,37,0.0
R_A4,2018-01-01,48,STANDARD,0,301.3854064941406,1650.3782958984375,27,0.6481541991233826,24,301.3854064941406,38,0.0
R_A4,2018-01-01,47,STANDARD,0,301.8974914550781,1658.013427734375,27,1.0,25,301.8974914550781,38,0.0
R_A5,2018-01-01,20,STANDARD,0,304.0271301269531,1686.958251953125,1,1.0,1,304.0271301269531,31,0.0
R_A5,2018-01-01,20,STANDARD,0,304.2381286621094,1689.1846923828125,2,1.0,2,304.2381286621094,31,0.0
R_A5,2018-01-01,20,STANDARD,0,304.4490966796875,1691.4111328125,3,1.0,3,304.4490966796875,31,0.0
R_A5,2018-01-01,20,STANDARD,0,304.66009521484375,1693.6375732421875,4,1.0,4,304.66009521484375,31,0.0
R_A5,2018-01-01,20,STANDARD,0,304.87109375,1695.864013671875,5,1.0,5,304.87109375,31,0.0
R_A5,2018-01-01,20,STANDARD,0,305.08209228515625,1698.09033203125,6,1.0,6,305.08209228515625,31,0.0
R_A5,2018-01-01,20,STANDARD,0,305.5988464355469,1700.3167724609375,7,1.0,7,305.5988464355469,31,0.0
R_A5,2018-01-01,20,STANDARD,0,305.8098449707031,1702.543212890625,8,1.0,8,305.8098449707031,31,0.0
R_A5,2018-01-01,21,STANDARD,0,304.7086486816406,1690.923095703125,8,1.0,9,304.7086486816406,31,0.0
R_A5,2018-01-01,21,STANDARD,0,305.0713806152344,1697.976318359375,11,1.0,10,305.0713806152344,31,0.0
R_A5,2018-01-01,21,STANDARD,0,305.2737121582031,1700.111083984375,12,1.0,11,305.2737121582031,31,0.0
R_A5,2018-01-01,21,STANDARD,0,305.48797607421875,1702.2459716796875,13,1.0,12,305.48797607421875,31,0.0
R_A5,2018-01-01,21,STANDARD,0,305.6903076171875,1704.380859375,14,1.0,13,305.6903076171875,31,0.0
R_A5,2018-01-01,21,STANDARD,0,305.8926086425781,1706.515625,15,1.0,14,305.8926086425781,31,0.0
R_A5,2018-01-01,21,STANDARD,0,306.2399597167969,1708.650390625,16,1.0,15,306.2399597167969,31,0.0
R_A5,2018-01-01,21,STANDARD,0,306.4422607421875,1710.78515625,17,1.0,16,306.4422607421875,31,0.0
R_A5,2018-01-01,21,STANDARD,0,306.60040283203125,1712.45361328125,18,1.0,17,306.60040283203125,31,0.0
R_A5,2018-01-01,21,STANDARD,0,306.68231201171875,1713.3179931640625,19,1.0,18,306.68231201171875,31,0.0
R_A5,2018-01-01,21,STANDARD,0,306.6669921875,1714.81396484375,24,1.0,19,306.6669921875,31,0.0
R_A5,2018-01-01,21,STANDARD,0,306.900634765625,1717.279296875,25,1.0,20,306.900634765625,31,0.0
R_A5,2018-01-01,21,STANDARD,0,307.4400634765625,1719.74462890625,26,1.0,21,307.4400634765625,31,0.0
R_A5,2018-01-01,21,STANDARD,0,307.6737365722656,1722.2099609375,27,1.0,22,307.6737365722656,31,0.0
R_A5,2018-01-01,21,STANDARD,0,307.9073791503906,1724.67529296875,28,1.0,23,307.9073791503906,31,0.0
R_A6,2018-01-01,42,STANDARD,0,305.0439147949219,1694.4609375,1,1.0,1,305.0439147949219,17,0.0
R_A6,2018-01-01,42,STANDARD,0,305.1896057128906,1695.9984130859375,2,1.0,2,305.1896057128906,17,0.0
