CONIDX,CONBPRES,SGAS,DEPTH,CONKPOS,WELL,CONJPOS,DATE,CONIPOS,PRESSURE,DRAWDOWN,SWAT,WELLMODEL
5,278.55096435546875,-2.0088986897592864e-12,1697.4794921875,5,R_A5,20,2018-04-28,31,278.55096435546875,0,1.0,STANDARD
6,278.78033447265625,-3.1148378147605182e-12,1699.9063720703125,6,R_A5,20,2018-04-28,31,278.78033447265625,0,1.0,STANDARD
7,279.3392028808594,-9.834032459882236e-13,1702.333251953125,7,R_A5,20,2018-04-28,31,279.3392028808594,0,1.0,STANDARD
8,279.0487060546875,-5.147771986457883e-09,1698.420166015625,11,R_A5,21,2018-04-28,31,279.0487060546875,0,0.9999998807907104,STANDARD
9,279.33636474609375,-1.3666986431459804e-09,1700.22998046875,12,R_A5,21,2018-04-28,31,279.33636474609375,0,0.9999999403953552,STANDARD
10,279.5782165527344,-7.797690271260649e-10,1702.039794921875,13,R_A5,21,2018-04-28,31,279.5782165527344,0,1.0,STANDARD
11,279.7618408203125,-8.148019065012946e-11,1703.8497314453125,14,R_A5,21,2018-04-28,31,279.7618408203125,0,1.0,STANDARD
12,279.9338684082031,-3.056763869802026e-11,1705.6595458984375,15,R_A5,21,2018-04-28,31,279.9338684082031,0,1.0,STANDARD
13,280.7970275878906,-4.215834278897823e-11,1707.469482421875,16,R_A5,21,2018-04-28,31,280.7970275878906,0,1.0,STANDARD
14,281.7130432128906,-3.2497351164229027e-12,1709.279296875,17,R_A5,21,2018-04-28,31,281.7130432128906,0,1.0,STANDARD
15,281.8821716308594,-4.6318894900143626e-12,1710.97412109375,18,R_A5,21,2018-04-28,31,281.8821716308594,0,1.0,STANDARD
16,282.0067138671875,-9.584426134690016e-12,1712.25439453125,19,R_A5,21,2018-04-28,31,282.0067138671875,0,1.0,STANDARD
17,285.5034484863281,-8.386977635825577e-13,1714.0338134765625,28,R_A5,21,2018-04-28,31,285.5034484863281,0,1.0,STANDARD
18,285.6627197265625,-4.5174646900840443e-13,1716.4599609375,29,R_A5,21,2018-04-28,31,285.6627197265625,0,1.0,STANDARD
19,285.89178466796875,-3.301913321755723e-13,1718.8861083984375,30,R_A5,21,2018-04-28,31,285.89178466796875,0,1.0,STANDARD
20,292.6259460449219,4.097858131261681e-18,1721.312255859375,31,R_A5,21,2018-04-28,31,292.6259460449219,0,1.0,STANDARD
21,303.00390625,2.3398222111565946e-20,1723.738525390625,32,R_A5,21,2018-04-28,31,303.00390625,0,1.0,STANDARD
1,279.37664794921875,0.0,1608.019775390625,1,R_A3,41,2018-07-03,28,279.37664794921875,0,0.7723550796508789,STANDARD
2,279.05816650390625,0.0,1602.4521484375,1,R_A3,41,2018-07-03,29,279.05816650390625,0,0.3245599567890167,STANDARD
3,279.1348876953125,0.0,1604.4864501953125,2,R_A3,41,2018-07-03,29,279.1348876953125,0,0.1904364973306656,STANDARD
4,279.2705078125,0.0,1606.520751953125,3,R_A3,41,2018-07-03,29,279.2705078125,0,0.18668504059314728,STANDARD
5,279.435791015625,0.0,1608.5550537109375,4,R_A3,41,2018-07-03,29,279.435791015625,0,0.392438143491745,STANDARD
6,281.0539245605469,0.0,1610.58935546875,5,R_A3,41,2018-07-03,29,281.0539245605469,0,0.780551552772522,STANDARD
7,281.27947998046875,0.0,1612.62353515625,6,R_A3,41,2018-07-03,29,281.27947998046875,0,0.6494559049606323,STANDARD
8,281.47564697265625,0.0,1614.6578369140625,7,R_A3,41,2018-07-03,29,281.47564697265625,0,0.2452951967716217,STANDARD
9,281.6120300292969,0.0,1616.692138671875,8,R_A3,41,2018-07-03,29,281.6120300292969,0,0.20550128817558289,STANDARD
10,281.88653564453125,0.0,1618.7264404296875,9,R_A3,41,2018-07-03,29,281.88653564453125,0,0.8029720783233643,STANDARD
11,285.9443054199219,0.0,1620.7607421875,10,R_A3,41,2018-07-03,29,285.9443054199219,0,0.8027962446212769,STANDARD
12,287.9633483886719,0.0,1622.87548828125,11,R_A3,41,2018-07-03,29,287.9633483886719,0,0.04889151453971863,STANDARD
13,288.110107421875,0.0,1625.071044921875,12,R_A3,41,2018-07-03,29,288.110107421875,0,0.0557599775493145,STANDARD
14,288.2572326660156,0.0,1627.2664794921875,13,R_A3,41,2018-07-03,29,288.2572326660156,0,0.37340861558914185,STANDARD
15,288.42303466796875,0.0,1629.4619140625,14,R_A3,41,2018-07-03,29,288.42303466796875,0,0.25683504343032837,STANDARD
16,288.5959777832031,0.0,1631.6573486328125,15,R_A3,41,2018-07-03,29,288.5959777832031,0,0.5032581090927124,STANDARD
17,288.7121887207031,0.0,1633.509765625,16,R_A3,41,2018-07-03,29,288.7121887207031,0,0.8117485642433167,STANDARD
18,283.37158203125,0.0,1635.9967041015625,28,R_A3,41,2018-07-03,29,283.37158203125,0,0.6517460346221924,STANDARD
19,283.6028747558594,0.0,1639.4613037109375,29,R_A3,41,2018-07-03,29,283.6028747558594,0,0.044736530631780624,STANDARD
20,283.83392333984375,0.0,1642.926025390625,30,R_A3,41,2018-07-03,29,283.83392333984375,0,0.6495072841644287,STANDARD
21,286.349853515625,0.0,1646.390625,31,R_A3,41,2018-07-03,29,286.349853515625,0,0.9999947547912598,STANDARD
22,284.85498046875,0.0,1649.855224609375,32,R_A3,41,2018-07-03,29,284.85498046875,0,0.2019670456647873,STANDARD
1,280.1061706542969,0.0,1632.38232421875,1,R_A4,52,2018-09-12,30,280.1061706542969,0,0.08501356095075607,STANDARD
2,279.7715148925781,0.0,1626.51318359375,1,R_A4,52,2018-09-12,31,279.7715148925781,0,0.11158578842878342,STANDARD
3,279.9107971191406,0.0,1628.60205078125,2,R_A4,52,2018-09-12,31,279.9107971191406,0,0.09786105155944824,STANDARD
4,280.0500793457031,0.0,1630.6910400390625,3,R_A4,52,2018-09-12,31,280.0500793457031,0,0.052782073616981506,STANDARD
5,280.18939208984375,0.0,1632.780029296875,4,R_A4,52,2018-09-12,31,280.18939208984375,0,0.05526496469974518,STANDARD
6,280.1376647949219,0.0,1631.2828369140625,4,R_A4,52,2018-09-12,32,280.1376647949219,0,0.0560506209731102,STANDARD
7,280.3128967285156,0.0,1635.22900390625,4,R_A4,51,2018-09-12,32,280.3128967285156,0,0.05794281139969826,STANDARD
8,280.51318359375,0.0,1637.0322265625,4,R_A4,51,2018-09-12,33,280.51318359375,0,0.061693865805864334,STANDARD
9,280.3883056640625,0.0,1635.1573486328125,3,R_A4,51,2018-09-12,33,280.3883056640625,0,0.15247797966003418,STANDARD
10,280.8333740234375,0.0,1642.5225830078125,4,R_A4,50,2018-09-12,33,280.8333740234375,0,0.06537792086601257,STANDARD
11,280.7801818847656,0.0,1641.0916748046875,4,R_A4,50,2018-09-12,34,280.7801818847656,0,0.06281166523694992,STANDARD
12,280.65362548828125,0.0,1639.175048828125,3,R_A4,50,2018-09-12,34,280.65362548828125,0,0.6494953632354736,STANDARD
13,281.0003967285156,0.0,1644.2708740234375,4,R_A4,50,2018-09-12,35,281.0003967285156,0,0.12548410892486572,STANDARD
14,280.8770446777344,0.0,1642.413818359375,3,R_A4,50,2018-09-12,35,280.8770446777344,0,0.32320573925971985,STANDARD
15,280.75360107421875,0.0,1640.5567626953125,2,R_A4,50,2018-09-12,35,280.75360107421875,0,0.23187211155891418,STANDARD
16,280.8014221191406,0.0,1642.080322265625,2,R_A4,49,2018-09-12,35,280.8014221191406,0,0.23772266507148743,STANDARD
17,280.67437744140625,0.0,1640.1832275390625,1,R_A4,49,2018-09-12,35,280.67437744140625,0,0.23119613528251648,STANDARD
18,278.9346923828125,0.0,1643.061767578125,31,R_A4,49,2018-09-12,36,278.9346923828125,0,0.05798753723502159,STANDARD
19,278.4610595703125,0.0,1639.837646484375,31,R_A4,48,2018-09-12,36,278.4610595703125,0,0.05786767229437828,STANDARD
20,279.1484375,0.0,1646.720703125,31,R_A4,48,2018-09-12,37,279.1484375,0,0.08473911136388779,STANDARD
21,279.79913330078125,0.0,1652.13232421875,31,R_A4,48,2018-09-12,38,279.79913330078125,0,0.07318558543920517,STANDARD
22,279.7635192871094,0.0,1655.52734375,31,R_A4,47,2018-09-12,38,279.7635192871094,0,0.119962677359581,STANDARD
1,277.5250244140625,2.05542378174378e-16,1695.90869140625,1,R_A6,42,2018-11-07,17,277.5250244140625,0,1.0,STANDARD
2,277.6741027832031,1.0263044926904678e-16,1697.463623046875,2,R_A6,42,2018-11-07,17,277.6741027832031,0,1.0,STANDARD
3,277.82470703125,7.49222148542355e-17,1699.0185546875,3,R_A6,42,2018-11-07,17,277.82470703125,0,1.0,STANDARD
4,277.976318359375,6.294446753090025e-17,1700.573486328125,4,R_A6,42,2018-11-07,17,277.976318359375,0,1.0,STANDARD
5,278.12774658203125,8.11071832606374e-17,1702.1285400390625,5,R_A6,42,2018-11-07,17,278.12774658203125,0,1.0,STANDARD
6,277.9786071777344,1.9281332850869595e-15,1703.68359375,6,R_A6,42,2018-11-07,17,277.9786071777344,0,1.0,STANDARD
7,278.1377868652344,7.371044184365742e-15,1705.238525390625,7,R_A6,42,2018-11-07,17,278.1377868652344,0,1.0,STANDARD
8,278.3261413574219,5.672898555666691e-15,1706.79345703125,8,R_A6,42,2018-11-07,17,278.3261413574219,0,1.0,STANDARD
9,278.9407043457031,5.580160412282725e-16,1708.348388671875,9,R_A6,42,2018-11-07,17,278.9407043457031,0,1.0,STANDARD
10,279.21539306640625,2.349788827328992e-14,1709.9033203125,10,R_A6,42,2018-11-07,17,279.21539306640625,0,1.0,STANDARD
11,280.02178955078125,3.746558015812595e-15,1711.815673828125,11,R_A6,42,2018-11-07,17,280.02178955078125,0,1.0,STANDARD
12,280.2621154785156,1.777808865630081e-15,1714.08544921875,12,R_A6,42,2018-11-07,17,280.2621154785156,0,1.0,STANDARD
