CONIDX,DATE,WELLMODEL,WELL,CONKPOS,DRAWDOWN,SWAT,SGAS,PRESSURE,CONIPOS,CONJPOS,DEPTH,CONBPRES
10,2018-01-01,STANDARD,R_A4,4,0,0.06097133830189705,0.0,300.8592529296875,33,50,1642.020751953125,300.8592529296875
11,2018-01-01,STANDARD,R_A4,4,0,0.060652200132608414,0.0,300.72869873046875,34,50,1640.07373046875,300.72869873046875
12,2018-01-01,STANDARD,R_A4,4,0,0.0568152479827404,0.0,300.74871826171875,35,50,1640.3726806640625,300.74871826171875
13,2018-01-01,STANDARD,R_A4,3,0,0.22287018597126007,0.0,300.62786865234375,35,50,1638.5703125,300.62786865234375
14,2018-01-01,STANDARD,R_A4,3,0,0.20765867829322815,0.0,300.9801940917969,35,49,1643.8245849609375,300.9801940917969
15,2018-01-01,STANDARD,R_A4,2,0,0.23139934241771698,0.0,300.8611145019531,35,49,1642.0484619140625,300.8611145019531
16,2018-01-01,STANDARD,R_A4,28,0,0.1267641931772232,0.0,300.96588134765625,36,49,1643.61083984375,300.96588134765625
17,2018-01-01,STANDARD,R_A4,28,0,0.05131964385509491,0.0,300.9709777832031,36,48,1643.6871337890625,300.9709777832031
18,2018-01-01,STANDARD,R_A4,28,0,0.6481541991233826,0.0,301.3348388671875,37,48,1649.113037109375,301.3348388671875
19,2018-01-01,STANDARD,R_A4,28,0,0.6481541991233826,0.0,301.6133117675781,38,48,1653.2650146484375,301.6133117675781
20,2018-01-01,STANDARD,R_A4,28,0,1.0,0.0,302.1076965332031,38,47,1660.63623046875,302.1076965332031
1,2018-01-01,STANDARD,R_A5,1,0,1.0,0.0,303.8819580078125,31,20,1685.42626953125,303.8819580078125
2,2018-01-01,STANDARD,R_A5,2,0,1.0,0.0,304.0837097167969,31,20,1687.555419921875,304.0837097167969
3,2018-01-01,STANDARD,R_A5,3,0,1.0,0.0,304.2854919433594,31,20,1689.6845703125,304.2854919433594
4,2018-01-01,STANDARD,R_A5,4,0,1.0,0.0,304.48724365234375,31,20,1691.8135986328125,304.48724365234375
5,2018-01-01,STANDARD,R_A5,5,0,1.0,0.0,304.68902587890625,31,20,1693.9427490234375,304.68902587890625
