WELL,CONJPOS,CONIPOS,CONKPOS,SGAS,WELLMODEL,PRESSURE,DEPTH,CONBPRES,CONIDX,DATE,DRAWDOWN,SWAT
R_A5,21,31,27,0.0,STANDARD,306.9446105957031,1717.7431640625,306.9446105957031,19,2018-01-01,0,1.0
R_A5,21,31,28,0.0,STANDARD,307.47857666015625,1720.15087890625,307.47857666015625,20,2018-01-01,0,1.0
R_A5,21,31,29,0.0,STANDARD,307.706787109375,1722.5587158203125,307.706787109375,21,2018-01-01,0,1.0
R_A5,21,31,30,0.0,STANDARD,307.9349670410156,1724.9664306640625,307.9349670410156,22,2018-01-01,0,1.0
R_A6,42,17,1,0.0,STANDARD,305.084716796875,1694.8916015625,305.084716796875,1,2018-01-01,0,1.0
R_A6,42,17,2,0.0,STANDARD,305.2312927246094,1696.438232421875,305.2312927246094,2,2018-01-01,0,1.0
R_A6,42,17,3,0.0,STANDARD,305.37786865234375,1697.98486328125,305.37786865234375,3,2018-01-01,0,1.0
R_A6,42,17,4,0.0,STANDARD,305.5244445800781,1699.5316162109375,305.5244445800781,4,2018-01-01,0,1.0
R_A6,42,17,5,0.0,STANDARD,305.6710205078125,1701.0782470703125,305.6710205078125,5,2018-01-01,0,1.0
R_A6,42,17,6,0.0,STANDARD,305.8175964355469,1702.625,305.8175964355469,6,2018-01-01,0,1.0
R_A6,42,17,7,0.0,STANDARD,305.6651306152344,1704.1717529296875,305.6651306152344,7,2018-01-01,0,1.0
R_A6,42,17,8,0.0,STANDARD,305.81170654296875,1705.7183837890625,305.81170654296875,8,2018-01-01,0,1.0
R_A6,42,17,9,0.0,STANDARD,306.2573547363281,1707.2650146484375,306.2573547363281,9,2018-01-01,0,1.0
R_A6,42,17,10,0.0,STANDARD,306.09814453125,1708.811767578125,306.09814453125,10,2018-01-01,0,1.0
R_A6,42,17,11,0.0,STANDARD,306.28155517578125,1710.745849609375,306.28155517578125,11,2018-01-01,0,1.0
R_A6,42,17,12,0.0,STANDARD,306.5015869140625,1713.067626953125,306.5015869140625,12,2018-01-01,0,1.0
R_A6,42,17,13,0.0,STANDARD,306.73358154296875,1715.3892822265625,306.73358154296875,13,2018-01-01,0,1.0
R_A6,42,17,14,0.0,STANDARD,306.95361328125,1717.7109375,306.95361328125,14,2018-01-01,0,1.0
R_A6,42,17,15,0.0,STANDARD,307.1736755371094,1720.0325927734375,307.1736755371094,15,2018-01-01,0,1.0
R_A6,42,17,16,0.0,STANDARD,307.5387268066406,1722.354248046875,307.5387268066406,16,2018-01-01,0,1.0
R_A6,42,17,17,0.0,STANDARD,307.7587585449219,1724.6759033203125,307.7587585449219,17,2018-01-01,0,1.0
R_A6,42,17,18,0.0,STANDARD,307.9020080566406,1726.187255859375,307.9020080566406,18,2018-01-01,0,1.0
R_A6,42,17,26,0.0,STANDARD,307.8598327636719,1727.3997802734375,307.8598327636719,19,2018-01-01,0,1.0
R_A6,42,17,27,0.0,STANDARD,308.023193359375,1729.12353515625,308.023193359375,20,2018-01-01,0,1.0
R_A6,42,17,28,0.0,STANDARD,308.49237060546875,1730.8472900390625,308.49237060546875,21,2018-01-01,0,1.0
R_A6,42,17,29,0.0,STANDARD,308.6557312011719,1732.571044921875,308.6557312011719,22,2018-01-01,0,1.0
R_A6,42,17,30,0.0,STANDARD,308.5133361816406,1734.294921875,308.5133361816406,23,2018-01-01,0,1.0
R_A2,30,22,1,0.0,STANDARD,298.5970153808594,1642.2806396484375,298.5970153808594,1,2018-03-01,0,0.053837329149246216
R_A2,30,22,2,0.0,STANDARD,298.7151794433594,1644.0440673828125,298.7151794433594,2,2018-03-01,0,0.05619008094072342
R_A2,30,22,3,0.0,STANDARD,298.8333435058594,1645.8074951171875,298.8333435058594,3,2018-03-01,0,0.05864963307976723
R_A2,30,22,4,0.0,STANDARD,298.9514465332031,1647.5709228515625,298.9514465332031,4,2018-03-01,0,0.06452696025371552
R_A2,30,22,5,0.0,STANDARD,299.069580078125,1649.3343505859375,299.069580078125,5,2018-03-01,0,0.06579248607158661
R_A2,30,22,6,0.0,STANDARD,299.17681884765625,1651.0977783203125,299.17681884765625,6,2018-03-01,0,0.3080925941467285
R_A2,30,22,7,0.0,STANDARD,299.255615234375,1652.8612060546875,299.255615234375,7,2018-03-01,0,0.6488689184188843
R_A2,30,22,8,0.0,STANDARD,299.3703308105469,1654.6246337890625,299.3703308105469,8,2018-03-01,0,0.6485565304756165
R_A2,30,22,9,0.0,STANDARD,299.6728515625,1656.3880615234375,299.6728515625,9,2018-03-01,0,0.8798513412475586
R_A2,30,22,10,0.0,STANDARD,300.0284423828125,1658.151611328125,300.0284423828125,10,2018-03-01,0,0.8883121609687805
R_A2,30,22,11,0.0,STANDARD,300.22637939453125,1660.0458984375,300.22637939453125,11,2018-03-01,0,0.07089348137378693
R_A2,30,22,12,0.0,STANDARD,300.3622131347656,1662.0712890625,300.3622131347656,12,2018-03-01,0,0.12420704960823059
R_A2,30,22,13,0.0,STANDARD,300.4983215332031,1664.0965576171875,300.4983215332031,13,2018-03-01,0,0.4254510700702667
R_A2,30,22,14,0.0,STANDARD,300.63494873046875,1666.121826171875,300.63494873046875,14,2018-03-01,0,0.47683435678482056
R_A2,30,22,15,0.0,STANDARD,300.7726745605469,1668.1470947265625,300.7726745605469,15,2018-03-01,0,0.9158199429512024
R_A2,30,22,16,0.0,STANDARD,300.9093322753906,1670.17236328125,300.9093322753906,16,2018-03-01,0,0.9295171499252319
R_A2,30,22,17,0.0,STANDARD,301.04571533203125,1672.1976318359375,301.04571533203125,17,2018-03-01,0,0.9008958339691162
R_A2,29,22,17,0.0,STANDARD,301.09600830078125,1674.05419921875,301.09600830078125,18,2018-03-01,0,0.9120785593986511
R_A2,29,22,18,0.0,STANDARD,301.2200622558594,1675.9033203125,301.2200622558594,19,2018-03-01,0,0.9854834079742432
R_A2,29,22,26,0.0,STANDARD,301.71746826171875,1677.561279296875,301.71746826171875,20,2018-03-01,0,0.34411561489105225
R_A2,29,22,27,-5.571776967214746e-14,STANDARD,302.45123291015625,1679.3232421875,302.45123291015625,21,2018-03-01,0,1.0
R_A2,29,22,28,-7.48003868995253e-15,STANDARD,303.10186767578125,1681.085205078125,303.10186767578125,22,2018-03-01,0,1.0
R_A2,29,22,29,-1.4187108358283966e-15,STANDARD,303.7740173339844,1682.84716796875,303.7740173339844,23,2018-03-01,0,1.0
R_A2,29,22,30,-4.3502125628158434e-15,STANDARD,304.0123596191406,1684.609130859375,304.0123596191406,24,2018-03-01,0,1.0
R_A5,20,31,1,-6.253421391821945e-11,STANDARD,279.49688720703125,1686.235107421875,279.49688720703125,1,2018-04-28,0,1.0
R_A5,20,31,2,-7.203718871418019e-11,STANDARD,279.7048034667969,1688.433837890625,279.7048034667969,2,2018-04-28,0,1.0
R_A5,20,31,3,-5.7869809638733116e-11,STANDARD,279.91253662109375,1690.6324462890625,279.91253662109375,3,2018-04-28,0,1.0
R_A5,20,31,4,-5.373192862867526e-11,STANDARD,280.1202087402344,1692.8311767578125,280.1202087402344,4,2018-04-28,0,1.0
R_A5,20,31,5,-5.616829917842736e-11,STANDARD,280.3279724121094,1695.0299072265625,280.3279724121094,5,2018-04-28,0,1.0
R_A5,20,31,6,-4.7865968133553594e-11,STANDARD,280.5357360839844,1697.228515625,280.5357360839844,6,2018-04-28,0,1.0
R_A5,20,31,7,-2.401998413538442e-13,STANDARD,281.043212890625,1699.42724609375,281.043212890625,7,2018-04-28,0,1.0
R_A5,21,31,8,-8.881827218143457e-11,STANDARD,280.8357238769531,1692.2222900390625,280.8357238769531,8,2018-04-28,0,1.0
R_A5,21,31,11,-1.4904404099791435e-10,STANDARD,277.0721435546875,1699.1507568359375,277.0721435546875,9,2018-04-28,0,1.0
R_A5,21,31,12,-1.1623168399976791e-10,STANDARD,277.3780212402344,1701.2620849609375,277.3780212402344,10,2018-04-28,0,1.0
R_A5,21,31,13,-4.59011778239371e-12,STANDARD,277.5908508300781,1703.373291015625,277.5908508300781,11,2018-04-28,0,1.0
R_A5,21,31,14,-8.001866530493729e-12,STANDARD,277.7923583984375,1705.484619140625,277.7923583984375,12,2018-04-28,0,1.0
R_A5,21,31,15,-4.160279759579666e-12,STANDARD,279.1062927246094,1707.5958251953125,279.1062927246094,13,2018-04-28,0,1.0
R_A5,21,31,16,-7.579398805628024e-13,STANDARD,280.2826843261719,1709.7071533203125,280.2826843261719,14,2018-04-28,0,1.0
R_A5,21,31,17,-1.001747404645592e-12,STANDARD,280.49847412109375,1711.8184814453125,280.49847412109375,15,2018-04-28,0,1.0
R_A5,21,31,18,-1.3452290496818176e-12,STANDARD,280.6497802734375,1713.3538818359375,280.6497802734375,16,2018-04-28,0,1.0
R_A5,21,31,19,0.0,STANDARD,280.7095947265625,1713.982666015625,280.7095947265625,17,2018-04-28,0,1.0
R_A5,21,31,26,-1.5110237713833463e-11,STANDARD,284.5824279785156,1715.33544921875,284.5824279785156,18,2018-04-28,0,1.0
R_A5,21,31,27,-1.6157613441647456e-11,STANDARD,284.94287109375,1717.7431640625,284.94287109375,19,2018-04-28,0,1.0
R_A5,21,31,28,-8.13132862703981e-19,STANDARD,296.50518798828125,1720.15087890625,296.50518798828125,20,2018-04-28,0,1.0
R_A5,21,31,29,-7.362126363778589e-21,STANDARD,304.4466247558594,1722.5587158203125,304.4466247558594,21,2018-04-28,0,1.0
R_A5,21,31,30,-2.6574010215381927e-22,STANDARD,306.7016906738281,1724.9664306640625,306.7016906738281,22,2018-04-28,0,1.0
R_A3,41,28,1,0.0,STANDARD,283.0734558105469,1610.468505859375,283.0734558105469,1,2018-07-03,0,0.6497664451599121
R_A3,41,28,2,0.0,STANDARD,283.22161865234375,1612.491455078125,283.22161865234375,2,2018-07-03,0,0.11847235262393951
R_A3,41,28,3,0.0,STANDARD,283.35675048828125,1614.51416015625,283.35675048828125,3,2018-07-03,0,0.11847594380378723
R_A3,41,29,3,0.0,STANDARD,282.59112548828125,1603.8037109375,282.59112548828125,4,2018-07-03,0,0.1455295979976654
R_A3,41,29,4,0.0,STANDARD,282.7305908203125,1605.89111328125,282.7305908203125,5,2018-07-03,0,0.13897563517093658
R_A3,41,29,5,0.0,STANDARD,283.2721862792969,1607.9786376953125,283.2721862792969,6,2018-07-03,0,0.7964187264442444
R_A3,41,29,6,0.0,STANDARD,283.4460754394531,1610.0660400390625,283.4460754394531,7,2018-07-03,0,0.649176836013794
R_A3,41,29,7,0.0,STANDARD,283.6357727050781,1612.153564453125,283.6357727050781,8,2018-07-03,0,0.1961943358182907
R_A3,41,29,8,0.0,STANDARD,283.7771911621094,1614.240966796875,283.7771911621094,9,2018-07-03,0,0.33076515793800354
R_A3,41,29,9,0.0,STANDARD,284.09710693359375,1616.328369140625,284.09710693359375,10,2018-07-03,0,0.7922945618629456
R_A3,41,29,10,0.0,STANDARD,286.8163757324219,1618.4158935546875,286.8163757324219,11,2018-07-03,0,0.7704973220825195
R_A3,41,29,11,0.0,STANDARD,291.3851013183594,1620.6065673828125,291.3851013183594,12,2018-07-03,0,0.04750547185540199
R_A3,41,29,12,0.0,STANDARD,291.53857421875,1622.9005126953125,291.53857421875,13,2018-07-03,0,0.05329034477472305
R_A3,41,29,13,0.0,STANDARD,291.6926574707031,1625.1944580078125,291.6926574707031,14,2018-07-03,0,0.36637455224990845
R_A3,41,29,14,0.0,STANDARD,291.8980407714844,1627.4884033203125,291.8980407714844,15,2018-07-03,0,0.22993667423725128
R_A3,41,29,15,0.0,STANDARD,292.27996826171875,1629.7823486328125,292.27996826171875,16,2018-07-03,0,0.49421149492263794
R_A3,41,29,16,0.0,STANDARD,292.40911865234375,1631.647705078125,292.40911865234375,17,2018-07-03,0,0.7909616827964783
R_A3,41,29,26,0.0,STANDARD,285.7767639160156,1634.13134765625,285.7767639160156,18,2018-07-03,0,0.2035144567489624
R_A3,41,29,27,0.0,STANDARD,286.0080261230469,1637.662109375,286.0080261230469,19,2018-07-03,0,0.046839043498039246
R_A3,41,29,28,0.0,STANDARD,286.2440490722656,1641.1927490234375,286.2440490722656,20,2018-07-03,0,0.04975661262869835
R_A3,41,29,29,0.0,STANDARD,286.48797607421875,1644.723388671875,286.48797607421875,21,2018-07-03,0,0.6492702960968018
R_A3,41,29,30,0.0,STANDARD,286.6261901855469,1648.254150390625,286.6261901855469,22,2018-07-03,0,0.17341719567775726
R_A4,52,30,1,0.0,STANDARD,278.9703369140625,1633.671630859375,278.9703369140625,1,2018-09-12,0,0.050413019955158234
R_A4,52,31,1,0.0,STANDARD,278.6640930175781,1627.26416015625,278.6640930175781,2,2018-09-12,0,0.047834884375333786
R_A4,52,31,2,0.0,STANDARD,278.8010559082031,1629.318359375,278.8010559082031,3,2018-09-12,0,0.13411064445972443
R_A4,52,31,3,0.0,STANDARD,278.93792724609375,1631.3724365234375,278.93792724609375,4,2018-09-12,0,0.14873555302619934
R_A4,52,31,4,0.0,STANDARD,279.0746765136719,1633.426513671875,279.0746765136719,5,2018-09-12,0,0.05408734455704689
R_A4,52,32,4,0.0,STANDARD,279.01995849609375,1631.300537109375,279.01995849609375,6,2018-09-12,0,0.05338038131594658
R_A4,52,32,5,0.0,STANDARD,279.1449890136719,1633.1756591796875,279.1449890136719,7,2018-09-12,0,0.0549774207174778
R_A4,51,32,5,0.0,STANDARD,279.2896728515625,1636.270751953125,279.2896728515625,8,2018-09-12,0,0.059046030044555664
R_A4,51,33,5,0.0,STANDARD,279.4073181152344,1637.28515625,279.4073181152344,9,2018-09-12,0,0.05675420165061951
R_A4,51,33,4,0.0,STANDARD,279.28533935546875,1635.4552001953125,279.28533935546875,10,2018-09-12,0,0.14755067229270935
R_A4,50,33,5,0.0,STANDARD,279.7066345214844,1642.5521240234375,279.7066345214844,11,2018-09-12,0,0.06246258318424225
R_A4,50,34,5,0.0,STANDARD,279.6701965332031,1641.8050537109375,279.6701965332031,12,2018-09-12,0,0.05887709558010101
R_A4,50,34,4,0.0,STANDARD,279.5473327636719,1639.962890625,279.5473327636719,13,2018-09-12,0,0.06091196462512016
R_A4,50,35,4,0.0,STANDARD,279.6869812011719,1642.163330078125,279.6869812011719,14,2018-09-12,0,0.06131526082754135
R_A4,50,35,3,0.0,STANDARD,279.56982421875,1640.401611328125,279.56982421875,15,2018-09-12,0,0.23003226518630981
R_A4,50,35,2,0.0,STANDARD,279.45281982421875,1638.639892578125,279.45281982421875,16,2018-09-12,0,0.22561398148536682
R_A4,49,35,2,0.0,STANDARD,279.69183349609375,1643.1888427734375,279.69183349609375,17,2018-09-12,0,0.23341970145702362
R_A4,49,35,1,0.0,STANDARD,279.5723876953125,1641.4183349609375,279.5723876953125,18,2018-09-12,0,0.2242956906557083
