SWAT,DATE,CONKPOS,DEPTH,CONJPOS,WELL,PRESSURE,CONIDX,CONIPOS,WELLMODEL,DRAWDOWN,CONBPRES,SGAS
0.05312011390924454,2018-03-01,2,1639.58935546875,30,R_A2,298.72576904296875,2,22,STANDARD,0,298.72576904296875,0.0
0.056593142449855804,2018-03-01,3,1641.262939453125,30,R_A2,298.8379821777344,3,22,STANDARD,0,298.8379821777344,0.0
0.059486620128154755,2018-03-01,4,1642.9364013671875,30,R_A2,298.9501953125,4,22,STANDARD,0,298.9501953125,0.0
0.06180495396256447,2018-03-01,5,1644.6099853515625,30,R_A2,299.0624084472656,5,22,STANDARD,0,299.0624084472656,0.0
0.29975494742393494,2018-03-01,6,1646.2835693359375,30,R_A2,299.2044982910156,6,22,STANDARD,0,299.2044982910156,0.0
0.8613182902336121,2018-03-01,7,1647.9571533203125,30,R_A2,299.31622314453125,7,22,STANDARD,0,299.31622314453125,0.0
0.8556499481201172,2018-03-01,8,1649.630615234375,30,R_A2,299.4343566894531,8,22,STANDARD,0,299.4343566894531,0.0
0.8637492656707764,2018-03-01,9,1651.30419921875,30,R_A2,299.7430419921875,9,22,STANDARD,0,299.7430419921875,0.0
0.8653313517570496,2018-03-01,10,1652.977783203125,30,R_A2,299.983642578125,10,22,STANDARD,0,299.983642578125,0.0
0.06362888962030411,2018-03-01,11,1654.849609375,30,R_A2,299.07501220703125,11,22,STANDARD,0,299.07501220703125,0.0
0.06953476369380951,2018-03-01,12,1656.919677734375,30,R_A2,299.2137145996094,12,22,STANDARD,0,299.2137145996094,0.0
0.4082046449184418,2018-03-01,13,1658.989990234375,30,R_A2,299.3531188964844,13,22,STANDARD,0,299.3531188964844,0.0
0.4440910220146179,2018-03-01,14,1661.06005859375,30,R_A2,299.4930114746094,14,22,STANDARD,0,299.4930114746094,0.0
0.8812601566314697,2018-03-01,15,1663.1302490234375,30,R_A2,299.63848876953125,15,22,STANDARD,0,299.63848876953125,0.0
0.8759275078773499,2018-03-01,16,1665.200439453125,30,R_A2,299.7838134765625,16,22,STANDARD,0,299.7838134765625,0.0
0.9433622360229492,2018-03-01,16,1672.66162109375,29,R_A2,300.1048278808594,17,22,STANDARD,0,300.1048278808594,0.0
0.9356169700622559,2018-03-01,17,1674.721435546875,29,R_A2,300.243408203125,18,22,STANDARD,0,300.243408203125,0.0
0.9626045823097229,2018-03-01,18,1676.1910400390625,29,R_A2,300.3420104980469,19,22,STANDARD,0,300.3420104980469,0.0
1.0,2018-03-01,25,1677.4869384765625,29,R_A2,302.8865051269531,20,22,STANDARD,0,302.8865051269531,4.804056415844723e-16
1.0,2018-03-01,26,1679.19970703125,29,R_A2,302.7913513183594,21,22,STANDARD,0,302.7913513183594,-2.0967996436360714e-11
0.7324721813201904,2018-03-01,27,1680.912353515625,29,R_A2,302.5938415527344,22,22,STANDARD,0,302.5938415527344,0.0
0.9999998807907104,2018-03-01,28,1682.6248779296875,29,R_A2,302.97900390625,23,22,STANDARD,0,302.97900390625,-1.330940246901946e-08
1.0,2018-03-01,29,1684.337646484375,29,R_A2,303.3481140136719,24,22,STANDARD,0,303.3481140136719,-1.6816689913431299e-13
1.0,2018-04-28,1,1683.9088134765625,20,R_A5,279.4723205566406,1,31,STANDARD,0,279.4723205566406,-1.9396204087307467e-10
1.0,2018-04-28,2,1685.9334716796875,20,R_A5,279.66400146484375,2,31,STANDARD,0,279.66400146484375,-2.145223720884104e-10
1.0,2018-04-28,3,1687.9580078125,20,R_A5,279.85614013671875,3,31,STANDARD,0,279.85614013671875,-2.4171220580626596e-10
1.0,2018-04-28,4,1689.9825439453125,20,R_A5,280.0484924316406,4,31,STANDARD,0,280.0484924316406,-2.2872498339765457e-10
1.0,2018-04-28,5,1692.0072021484375,20,R_A5,280.2415466308594,5,31,STANDARD,0,280.2415466308594,-2.2099314045398444e-10
1.0,2018-04-28,6,1694.03173828125,20,R_A5,280.4344787597656,6,31,STANDARD,0,280.4344787597656,-1.7397765172955104e-10
1.0,2018-04-28,7,1696.056396484375,20,R_A5,280.9961853027344,7,31,STANDARD,0,280.9961853027344,-1.3004857607468168e-12
1.0,2018-04-28,8,1696.0196533203125,21,R_A5,280.1976013183594,8,31,STANDARD,0,280.1976013183594,-1.1589420558216074e-13
1.0,2018-04-28,11,1702.735107421875,21,R_A5,277.4714050292969,9,31,STANDARD,0,277.4714050292969,-1.892659856964074e-12
1.0,2018-04-28,12,1704.804443359375,21,R_A5,277.4998474121094,10,31,STANDARD,0,277.4998474121094,-2.595574146238566e-12
1.0,2018-04-28,13,1706.8736572265625,21,R_A5,277.7093505859375,11,31,STANDARD,0,277.7093505859375,-1.143430781915672e-13
1.0,2018-04-28,14,1708.94287109375,21,R_A5,277.918212890625,12,31,STANDARD,0,277.918212890625,-6.65594559719554e-14
1.0,2018-04-28,15,1711.01220703125,21,R_A5,278.30023193359375,13,31,STANDARD,0,278.30023193359375,-2.3553548502319895e-14
1.0,2018-04-28,16,1713.0814208984375,21,R_A5,278.530517578125,14,31,STANDARD,0,278.530517578125,-6.477753920828937e-15
1.0,2018-04-28,17,1714.92236328125,21,R_A5,278.7241516113281,15,31,STANDARD,0,278.7241516113281,-7.734188384677342e-15
1.0,2018-04-28,18,1715.9967041015625,21,R_A5,278.8271789550781,16,31,STANDARD,0,278.8271789550781,0.0
1.0,2018-04-28,25,1717.373779296875,21,R_A5,281.5094909667969,17,31,STANDARD,0,281.5094909667969,-4.870733790661398e-15
1.0,2018-04-28,26,1719.4869384765625,21,R_A5,282.0347595214844,18,31,STANDARD,0,282.0347595214844,-3.478150215486652e-15
1.0,2018-04-28,27,1721.60009765625,21,R_A5,289.947998046875,19,31,STANDARD,0,289.947998046875,-1.5439141350523823e-21
1.0,2018-04-28,28,1723.713134765625,21,R_A5,287.5285339355469,20,31,STANDARD,0,287.5285339355469,-9.365149470965105e-18
1.0,2018-04-28,29,1725.8262939453125,21,R_A5,300.512939453125,21,31,STANDARD,0,300.512939453125,-2.416321594805796e-22
0.21309269964694977,2018-07-03,1,1610.0968017578125,41,R_A3,279.7740173339844,1,28,STANDARD,0,279.7740173339844,0.0
0.11498964577913284,2018-07-03,2,1612.1220703125,41,R_A3,279.9093017578125,2,28,STANDARD,0,279.9093017578125,0.0
0.11897017061710358,2018-07-03,2,1601.361328125,41,R_A3,279.086181640625,3,29,STANDARD,0,279.086181640625,0.0
0.11923996359109879,2018-07-03,3,1603.4326171875,41,R_A3,279.2244873046875,4,29,STANDARD,0,279.2244873046875,0.0
0.21175649762153625,2018-07-03,4,1605.5040283203125,41,R_A3,279.3636474609375,5,29,STANDARD,0,279.3636474609375,0.0
0.8031512498855591,2018-07-03,5,1607.575439453125,41,R_A3,279.6198425292969,6,29,STANDARD,0,279.6198425292969,0.0
0.6497989892959595,2018-07-03,6,1609.646728515625,41,R_A3,279.7223205566406,7,29,STANDARD,0,279.7223205566406,0.0
0.19602225720882416,2018-07-03,7,1611.7181396484375,41,R_A3,279.8807067871094,8,29,STANDARD,0,279.8807067871094,0.0
0.195621058344841,2018-07-03,8,1613.78955078125,41,R_A3,280.0189514160156,9,29,STANDARD,0,280.0189514160156,0.0
0.7888209819793701,2018-07-03,9,1615.86083984375,41,R_A3,280.24359130859375,10,29,STANDARD,0,280.24359130859375,0.0
0.7885175943374634,2018-07-03,10,1617.93212890625,41,R_A3,281.837158203125,11,29,STANDARD,0,281.837158203125,0.0
0.04732409864664078,2018-07-03,11,1620.1337890625,41,R_A3,283.6087951660156,12,29,STANDARD,0,283.6087951660156,0.0
0.05253307893872261,2018-07-03,12,1622.4654541015625,41,R_A3,283.7644958496094,13,29,STANDARD,0,283.7644958496094,0.0
0.36579445004463196,2018-07-03,13,1624.797119140625,41,R_A3,283.9210510253906,14,29,STANDARD,0,283.9210510253906,0.0
0.6048694849014282,2018-07-03,15,1629.46044921875,41,R_A3,285.0118713378906,15,29,STANDARD,0,285.0118713378906,0.0
0.8000113368034363,2018-07-03,16,1631.3363037109375,41,R_A3,285.2192077636719,16,29,STANDARD,0,285.2192077636719,0.0
1.0,2018-07-03,25,1633.9910888671875,41,R_A3,289.2347106933594,17,29,STANDARD,0,289.2347106933594,3.172459690781171e-12
0.04226589575409889,2018-07-03,26,1637.6715087890625,41,R_A3,284.92498779296875,18,29,STANDARD,0,284.92498779296875,0.0
0.05243299528956413,2018-07-03,27,1641.3519287109375,41,R_A3,285.1708984375,19,29,STANDARD,0,285.1708984375,0.0
0.8138030171394348,2018-07-03,28,1645.032470703125,41,R_A3,287.94549560546875,20,29,STANDARD,0,287.94549560546875,0.0
0.08515410870313644,2018-07-03,29,1648.7127685546875,41,R_A3,285.7833251953125,21,29,STANDARD,0,285.7833251953125,0.0
0.04903089255094528,2018-09-12,1,1630.70361328125,52,R_A4,278.4775695800781,1,30,STANDARD,0,278.4775695800781,0.0
0.046956900507211685,2018-09-12,1,1626.3154296875,52,R_A4,278.22930908203125,2,31,STANDARD,0,278.22930908203125,0.0
0.048632364720106125,2018-09-12,2,1628.36181640625,52,R_A4,278.3657531738281,3,31,STANDARD,0,278.3657531738281,0.0
0.04998404532670975,2018-09-12,3,1630.408203125,52,R_A4,278.50213623046875,4,31,STANDARD,0,278.50213623046875,0.0
0.05092025548219681,2018-09-12,4,1632.45458984375,52,R_A4,278.6385803222656,5,31,STANDARD,0,278.6385803222656,0.0
0.11825825273990631,2018-09-12,5,1634.5009765625,52,R_A4,278.7750244140625,6,31,STANDARD,0,278.7750244140625,0.0
