SGAS,SWAT,CONIPOS,CONJPOS,DRAWDOWN,PRESSURE,DATE,CONKPOS,CONBPRES,DEPTH,WELLMODEL,WELL,CONIDX
0.0,1.0,31,21,0,277.7603759765625,2018-04-28,13,277.7603759765625,1707.2852783203125,STANDARD,R_A5,12
-1.8443586935479317e-10,1.0,31,21,0,277.9909973144531,2018-04-28,14,277.9909973144531,1709.273193359375,STANDARD,R_A5,13
-3.876249668466336e-11,1.0,31,21,0,278.39715576171875,2018-04-28,15,278.39715576171875,1711.2611083984375,STANDARD,R_A5,14
-1.0774400469037992e-11,1.0,31,21,0,278.7105407714844,2018-04-28,16,278.7105407714844,1713.2490234375,STANDARD,R_A5,15
-2.5729651048633784e-11,1.0,31,21,0,278.98321533203125,2018-04-28,17,278.98321533203125,1714.984375,STANDARD,R_A5,16
-8.328683229197331e-12,1.0,31,21,0,279.1239318847656,2018-04-28,18,279.1239318847656,1715.93701171875,STANDARD,R_A5,17
-3.397772896374107e-10,1.0,31,21,0,285.2085266113281,2018-04-28,30,285.2085266113281,1717.1937255859375,STANDARD,R_A5,18
-2.103832524857907e-10,1.0,31,21,0,285.4958801269531,2018-04-28,31,285.4958801269531,1719.28466796875,STANDARD,R_A5,19
5.658021798376708e-16,1.0,31,21,0,290.65142822265625,2018-04-28,32,290.65142822265625,1721.3756103515625,STANDARD,R_A5,20
-8.089128672450485e-11,1.0,31,21,0,285.8965148925781,2018-04-28,33,285.8965148925781,1723.466552734375,STANDARD,R_A5,21
3.9344643176834686e-18,1.0,31,21,0,293.3450012207031,2018-04-28,34,293.3450012207031,1725.557373046875,STANDARD,R_A5,22
0.0,0.6494953632354736,28,41,0,277.501708984375,2018-07-03,1,277.501708984375,1609.216796875,STANDARD,R_A3,1
0.0,0.19360484182834625,28,41,0,277.63037109375,2018-07-03,2,277.63037109375,1611.261962890625,STANDARD,R_A3,2
0.0,0.13523346185684204,28,41,0,277.7661437988281,2018-07-03,3,277.7661437988281,1613.3070068359375,STANDARD,R_A3,3
0.0,0.11638407409191132,28,41,0,277.90234375,2018-07-03,4,277.90234375,1615.35205078125,STANDARD,R_A3,4
0.0,0.1801815778017044,28,41,0,278.03863525390625,2018-07-03,5,278.03863525390625,1617.397216796875,STANDARD,R_A3,5
0.0,0.8098816871643066,29,41,0,277.571533203125,2018-07-03,5,277.571533203125,1608.0555419921875,STANDARD,R_A3,6
0.0,0.6506674885749817,29,41,0,277.6325378417969,2018-07-03,6,277.6325378417969,1610.1392822265625,STANDARD,R_A3,7
0.0,0.195063978433609,29,41,0,277.8155517578125,2018-07-03,7,277.8155517578125,1612.22314453125,STANDARD,R_A3,8
0.0,0.26067841053009033,29,41,0,277.9556579589844,2018-07-03,8,277.9556579589844,1614.306884765625,STANDARD,R_A3,9
0.0,0.7954975366592407,29,41,0,278.2171325683594,2018-07-03,9,278.2171325683594,1616.3907470703125,STANDARD,R_A3,10
0.0,0.789913535118103,29,41,0,279.84814453125,2018-07-03,10,279.84814453125,1618.474609375,STANDARD,R_A3,11
0.0,0.04772521182894707,29,41,0,280.00018310546875,2018-07-03,11,280.00018310546875,1620.6607666015625,STANDARD,R_A3,12
0.0,0.05331038683652878,29,41,0,280.15283203125,2018-07-03,12,280.15283203125,1622.94921875,STANDARD,R_A3,13
0.0,0.36849552392959595,29,41,0,280.3057556152344,2018-07-03,13,280.3057556152344,1625.2376708984375,STANDARD,R_A3,14
0.0,0.6035281419754028,29,41,0,281.788818359375,2018-07-03,15,281.788818359375,1629.814453125,STANDARD,R_A3,15
0.0,0.7997519373893738,29,41,0,281.97003173828125,2018-07-03,16,281.97003173828125,1631.67529296875,STANDARD,R_A3,16
0.0,0.7423929572105408,29,41,0,290.5074157714844,2018-07-03,30,290.5074157714844,1634.2769775390625,STANDARD,R_A3,17
0.0,0.04172780364751816,29,41,0,283.6502990722656,2018-07-03,31,283.6502990722656,1637.85693359375,STANDARD,R_A3,18
0.0,0.04948783293366432,29,41,0,283.8892517089844,2018-07-03,32,283.8892517089844,1641.43701171875,STANDARD,R_A3,19
-9.059743510952956e-10,1.0,29,41,0,287.4016418457031,2018-07-03,33,287.4016418457031,1645.0169677734375,STANDARD,R_A3,20
0.0,0.09438810497522354,29,41,0,284.3233642578125,2018-07-03,34,284.3233642578125,1648.5970458984375,STANDARD,R_A3,21
0.0,0.050094231963157654,30,52,0,275.994140625,2018-09-12,1,275.994140625,1629.66552734375,STANDARD,R_A4,1
0.0,0.04722173511981964,31,52,0,275.93914794921875,2018-09-12,1,275.93914794921875,1626.244873046875,STANDARD,R_A4,2
0.0,0.04856179282069206,31,52,0,276.0762939453125,2018-09-12,2,276.0762939453125,1628.303466796875,STANDARD,R_A4,3
0.0,0.050202954560518265,31,52,0,276.2134704589844,2018-09-12,3,276.2134704589844,1630.3621826171875,STANDARD,R_A4,4
0.0,0.05400450900197029,31,52,0,276.35064697265625,2018-09-12,4,276.35064697265625,1632.4208984375,STANDARD,R_A4,5
0.0,0.05443543195724487,32,52,0,276.4384460449219,2018-09-12,4,276.4384460449219,1631.7183837890625,STANDARD,R_A4,6
0.0,0.05705520138144493,32,52,0,276.5623779296875,2018-09-12,5,276.5623779296875,1633.577392578125,STANDARD,R_A4,7
0.0,0.056312620639801025,32,51,0,276.6407165527344,2018-09-12,5,276.6407165527344,1636.7110595703125,STANDARD,R_A4,8
0.0,0.0550762377679348,32,51,0,276.5211181640625,2018-09-12,4,276.5211181640625,1634.915771484375,STANDARD,R_A4,9
0.0,0.06040261685848236,33,51,0,276.8636779785156,2018-09-12,4,276.8636779785156,1638.1822509765625,STANDARD,R_A4,10
0.0,0.055988654494285583,33,51,0,276.74371337890625,2018-09-12,3,276.74371337890625,1636.382568359375,STANDARD,R_A4,11
0.0,0.06218615919351578,33,50,0,276.8833923339844,2018-09-12,3,276.8833923339844,1641.5679931640625,STANDARD,R_A4,12
0.0,0.06326233595609665,34,50,0,276.9869689941406,2018-09-12,3,276.9869689941406,1640.74462890625,STANDARD,R_A4,13
0.0,0.11586075276136398,34,50,0,276.8583984375,2018-09-12,2,276.8583984375,1638.819091796875,STANDARD,R_A4,14
0.0,0.14429080486297607,35,50,0,277.1801452636719,2018-09-12,2,277.1801452636719,1640.1336669921875,STANDARD,R_A4,15
