SWAT,SGAS,CONIPOS,WELLMODEL,WELL,CONKPOS,CONIDX,DRAWDOWN,CONJPOS,DATE,PRESSURE,DEPTH,CONBPRES
1.0,0.0,31,STANDARD,R_A5,14,12,0,21,2018-01-01,305.8003234863281,1705.5416259765625,305.8003234863281
1.0,0.0,31,STANDARD,R_A5,15,13,0,21,2018-01-01,305.9773864746094,1707.41015625,305.9773864746094
1.0,0.0,31,STANDARD,R_A5,16,14,0,21,2018-01-01,306.29949951171875,1709.2786865234375,306.29949951171875
1.0,0.0,31,STANDARD,R_A5,17,15,0,21,2018-01-01,306.4765625,1711.147216796875,306.4765625
1.0,0.0,31,STANDARD,R_A5,18,16,0,21,2018-01-01,306.6536560058594,1713.015625,306.6536560058594
1.0,0.0,31,STANDARD,R_A5,19,17,0,21,2018-01-01,306.7630615234375,1714.170166015625,306.7630615234375
1.0,0.0,31,STANDARD,R_A5,28,18,0,21,2018-01-01,306.7443542480469,1715.63037109375,306.7443542480469
1.0,0.0,31,STANDARD,R_A5,29,19,0,21,2018-01-01,306.97943115234375,1718.110595703125,306.97943115234375
1.0,0.0,31,STANDARD,R_A5,30,20,0,21,2018-01-01,307.520263671875,1720.5908203125,307.520263671875
1.0,0.0,31,STANDARD,R_A5,31,21,0,21,2018-01-01,307.7553405761719,1723.0709228515625,307.7553405761719
1.0,0.0,31,STANDARD,R_A5,32,22,0,21,2018-01-01,307.9903869628906,1725.5511474609375,307.9903869628906
1.0,0.0,17,STANDARD,R_A6,1,1,0,42,2018-01-01,305.17095947265625,1695.8013916015625,305.17095947265625
1.0,0.0,17,STANDARD,R_A6,2,2,0,42,2018-01-01,305.3186340332031,1697.35986328125,305.3186340332031
1.0,0.0,17,STANDARD,R_A6,3,3,0,42,2018-01-01,305.46630859375,1698.918212890625,305.46630859375
1.0,0.0,17,STANDARD,R_A6,4,4,0,42,2018-01-01,305.6139831542969,1700.4765625,305.6139831542969
1.0,0.0,17,STANDARD,R_A6,5,5,0,42,2018-01-01,305.7616882324219,1702.034912109375,305.7616882324219
1.0,0.0,17,STANDARD,R_A6,6,6,0,42,2018-01-01,305.90936279296875,1703.5933837890625,305.90936279296875
