CONIDX,SWAT,WELLMODEL,SGAS,WELL,DATE,CONJPOS,CONIPOS,CONBPRES,DRAWDOWN,CONKPOS,DEPTH,PRESSURE
7,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,305.6629638671875,0,7,1704.1488037109375,305.6629638671875
8,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,305.8086853027344,0,8,1705.6865234375,305.8086853027344
9,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,306.25347900390625,0,9,1707.2242431640625,306.25347900390625
10,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,306.0934143066406,0,10,1708.761962890625,306.0934143066406
11,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,306.27374267578125,0,11,1710.6632080078125,306.27374267578125
12,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,306.4883728027344,0,12,1712.9281005859375,306.4883728027344
13,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,306.7149963378906,0,13,1715.1929931640625,306.7149963378906
14,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,306.9296569824219,0,14,1717.4578857421875,306.9296569824219
15,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,307.144287109375,0,15,1719.7227783203125,307.144287109375
16,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,307.50396728515625,0,16,1721.9876708984375,307.50396728515625
17,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,307.7186279296875,0,17,1724.2525634765625,307.7186279296875
18,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,307.87353515625,0,18,1725.8868408203125,307.87353515625
19,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,307.8451843261719,0,27,1727.245361328125,307.8451843261719
20,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,308.3133544921875,0,28,1728.9586181640625,308.3133544921875
21,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,308.4757385253906,0,29,1730.6719970703125,308.4757385253906
22,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,308.6381530761719,0,30,1732.3853759765625,308.6381530761719
23,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,308.4947509765625,0,31,1734.0987548828125,308.4947509765625
1,0.05800303816795349,STANDARD,0.0,R_A2,2018-03-01,30,22,297.93194580078125,0,1,1640.86181640625,297.93194580078125
2,0.05956711247563362,STANDARD,0.0,R_A2,2018-03-01,30,22,298.0464172363281,0,2,1642.5703125,298.0464172363281
3,0.06405344605445862,STANDARD,0.0,R_A2,2018-03-01,30,22,298.160888671875,0,3,1644.27880859375,298.160888671875
4,0.06988479942083359,STANDARD,0.0,R_A2,2018-03-01,30,22,298.2753601074219,0,4,1645.9873046875,298.2753601074219
5,0.07394422590732574,STANDARD,0.0,R_A2,2018-03-01,30,22,298.389892578125,0,5,1647.69580078125,298.389892578125
6,0.3255090117454529,STANDARD,0.0,R_A2,2018-03-01,30,22,298.53765869140625,0,6,1649.404296875,298.53765869140625
7,0.900576114654541,STANDARD,0.0,R_A2,2018-03-01,30,22,298.6579284667969,0,7,1651.11279296875,298.6579284667969
