CONKPOS,WELL,SWAT,CONJPOS,CONIDX,DATE,CONIPOS,SGAS,PRESSURE,DRAWDOWN,CONBPRES,DEPTH,WELLMODEL
12,R_A6,1.0,42,12,2018-11-07,17,1.2403707401464903e-11,281.4915771484375,0,281.4915771484375,1712.2567138671875,STANDARD
13,R_A6,1.0,42,13,2018-11-07,17,1.8249811384318804e-12,281.7281494140625,0,281.7281494140625,1714.476806640625,STANDARD
14,R_A6,1.0,42,14,2018-11-07,17,1.717646207557988e-12,281.9383544921875,0,281.9383544921875,1716.6968994140625,STANDARD
15,R_A6,1.0,42,15,2018-11-07,17,9.581105440276128e-13,282.14886474609375,0,282.14886474609375,1718.9168701171875,STANDARD
16,R_A6,1.0,42,16,2018-11-07,17,3.120104543653801e-13,282.5046081542969,0,282.5046081542969,1721.136962890625,STANDARD
17,R_A6,1.0,42,17,2018-11-07,17,5.923656747411354e-13,282.7152099609375,0,282.7152099609375,1723.35693359375,STANDARD
18,R_A6,1.0,42,18,2018-11-07,17,5.160736204698479e-13,282.87921142578125,0,282.87921142578125,1725.0880126953125,STANDARD
25,R_A6,1.0,42,19,2018-11-07,17,8.715064802634898e-13,282.89410400390625,0,282.89410400390625,1726.56201171875,STANDARD
26,R_A6,1.0,42,20,2018-11-07,17,4.406577641842546e-13,283.4100036621094,0,283.4100036621094,1728.2679443359375,STANDARD
27,R_A6,1.0,42,21,2018-11-07,17,9.728378126417246e-19,284.2585754394531,0,284.2585754394531,1729.973876953125,STANDARD
28,R_A6,1.0,42,22,2018-11-07,17,2.191994760559197e-19,284.5189514160156,0,284.5189514160156,1731.679931640625,STANDARD
29,R_A6,1.0,42,23,2018-11-07,17,5.3128532253926206e-14,283.57244873046875,0,283.57244873046875,1733.3858642578125,STANDARD
