PRESSURE,SWAT,DRAWDOWN,WELL,CONIDX,DEPTH,CONKPOS,DATE,CONBPRES,CONJPOS,WELLMODEL,SGAS,CONIPOS
300.49871826171875,0.055175893008708954,0,R_A4,8,1636.9285888671875,4,2018-01-01,300.49871826171875,51,STANDARD,0.0,33
300.8642272949219,0.0583534874022007,0,R_A4,9,1642.37939453125,4,2018-01-01,300.8642272949219,50,STANDARD,0.0,33
300.6871337890625,0.09381960332393646,0,R_A4,10,1639.7386474609375,4,2018-01-01,300.6871337890625,50,STANDARD,0.0,34
300.5184631347656,0.13927508890628815,0,R_A4,11,1637.22314453125,4,2018-01-01,300.5184631347656,50,STANDARD,0.0,35
300.6802978515625,0.05079171434044838,0,R_A4,12,1639.6365966796875,31,2018-01-01,300.6802978515625,49,STANDARD,0.0,35
301.1179504394531,0.05641390010714531,0,R_A4,13,1646.1630859375,31,2018-01-01,301.1179504394531,49,STANDARD,0.0,36
300.7297668457031,0.2902541756629944,0,R_A4,14,1640.374267578125,30,2018-01-01,300.7297668457031,49,STANDARD,0.0,36
300.8304443359375,0.6481541991233826,0,R_A4,15,1641.8756103515625,30,2018-01-01,300.8304443359375,48,STANDARD,0.0,36
301.27716064453125,0.6481541991233826,0,R_A4,16,1648.53759765625,30,2018-01-01,301.27716064453125,48,STANDARD,0.0,37
301.7030944824219,0.8206844925880432,0,R_A4,17,1654.88818359375,30,2018-01-01,301.7030944824219,48,STANDARD,0.0,38
301.324462890625,0.6481541991233826,0,R_A4,18,1649.24267578125,29,2018-01-01,301.324462890625,48,STANDARD,0.0,38
302.11810302734375,0.19763989746570587,0,R_A4,19,1661.07568359375,29,2018-01-01,302.11810302734375,47,STANDARD,0.0,38
303.8743896484375,1.0,0,R_A5,1,1685.346435546875,1,2018-01-01,303.8743896484375,20,STANDARD,0.0,31
304.091552734375,1.0,0,R_A5,2,1687.6380615234375,2,2018-01-01,304.091552734375,20,STANDARD,0.0,31
