WELL,DRAWDOWN,PRESSURE,SGAS,CONJPOS,DEPTH,CONIPOS,CONKPOS,DATE,WELLMODEL,CONIDX,SWAT,CONBPRES
R_A5,0,306.5904235839844,0.0,21,1712.3486328125,31,17,2018-01-01,STANDARD,17,1.0,306.5904235839844
R_A5,0,306.7159118652344,0.0,21,1713.6727294921875,31,18,2018-01-01,STANDARD,18,1.0,306.7159118652344
R_A5,0,306.7684631347656,0.0,21,1714.22705078125,31,19,2018-01-01,STANDARD,19,1.0,306.7684631347656
R_A5,0,306.7350158691406,0.0,21,1715.5318603515625,31,25,2018-01-01,STANDARD,20,1.0,306.7350158691406
R_A5,0,306.94677734375,0.0,21,1717.7662353515625,31,26,2018-01-01,STANDARD,21,1.0,306.94677734375
R_A5,0,307.4643249511719,0.0,21,1720.0006103515625,31,27,2018-01-01,STANDARD,22,1.0,307.4643249511719
R_A5,0,307.6761169433594,0.0,21,1722.2349853515625,31,28,2018-01-01,STANDARD,23,1.0,307.6761169433594
R_A5,0,307.88787841796875,0.0,21,1724.469482421875,31,29,2018-01-01,STANDARD,24,1.0,307.88787841796875
R_A6,0,305.0375061035156,0.0,42,1694.3931884765625,17,1,2018-01-01,STANDARD,1,1.0,305.0375061035156
R_A6,0,305.18310546875,0.0,42,1695.9296875,17,2,2018-01-01,STANDARD,2,1.0,305.18310546875
R_A6,0,305.3287048339844,0.0,42,1697.4661865234375,17,3,2018-01-01,STANDARD,3,1.0,305.3287048339844
R_A6,0,305.4743347167969,0.0,42,1699.002685546875,17,4,2018-01-01,STANDARD,4,1.0,305.4743347167969
R_A6,0,305.61993408203125,0.0,42,1700.5391845703125,17,5,2018-01-01,STANDARD,5,1.0,305.61993408203125
R_A6,0,305.7655334472656,0.0,42,1702.07568359375,17,6,2018-01-01,STANDARD,6,1.0,305.7655334472656
R_A6,0,305.6120910644531,0.0,42,1703.612060546875,17,7,2018-01-01,STANDARD,7,1.0,305.6120910644531
R_A6,0,305.7577209472656,0.0,42,1705.1485595703125,17,8,2018-01-01,STANDARD,8,1.0,305.7577209472656
R_A6,0,306.202392578125,0.0,42,1706.6851806640625,17,9,2018-01-01,STANDARD,9,1.0,306.202392578125
R_A6,0,306.0422058105469,0.0,42,1708.2216796875,17,10,2018-01-01,STANDARD,10,1.0,306.0422058105469
R_A6,0,306.2225036621094,0.0,42,1710.1226806640625,17,11,2018-01-01,STANDARD,11,1.0,306.2225036621094
R_A6,0,306.4372253417969,0.0,42,1712.3883056640625,17,12,2018-01-01,STANDARD,12,1.0,306.4372253417969
R_A6,0,306.6639099121094,0.0,42,1714.65380859375,17,13,2018-01-01,STANDARD,13,1.0,306.6639099121094
R_A6,0,306.8786315917969,0.0,42,1716.91943359375,17,14,2018-01-01,STANDARD,14,1.0,306.8786315917969
R_A6,0,307.0933532714844,0.0,42,1719.18505859375,17,15,2018-01-01,STANDARD,15,1.0,307.0933532714844
R_A6,0,307.4530944824219,0.0,42,1721.45068359375,17,16,2018-01-01,STANDARD,16,1.0,307.4530944824219
R_A6,0,307.6678161621094,0.0,42,1723.71630859375,17,17,2018-01-01,STANDARD,17,1.0,307.6678161621094
R_A6,0,307.8215637207031,0.0,42,1725.338623046875,17,18,2018-01-01,STANDARD,18,1.0,307.8215637207031
R_A6,0,307.7919921875,0.0,42,1726.6839599609375,17,25,2018-01-01,STANDARD,19,1.0,307.7919921875
R_A6,0,308.2599792480469,0.0,42,1728.3955078125,17,26,2018-01-01,STANDARD,20,1.0,308.2599792480469
R_A6,0,308.4222106933594,0.0,42,1730.107177734375,17,27,2018-01-01,STANDARD,21,1.0,308.4222106933594
R_A6,0,308.5844421386719,0.0,42,1731.81884765625,17,28,2018-01-01,STANDARD,22,1.0,308.5844421386719
R_A6,0,308.4408874511719,0.0,42,1733.5303955078125,17,29,2018-01-01,STANDARD,23,1.0,308.4408874511719
R_A2,0,299.00054931640625,0.0,30,1641.36083984375,22,1,2018-03-01,STANDARD,1,0.052713360637426376,299.00054931640625
R_A2,0,299.1171569824219,0.0,30,1643.1005859375,22,2,2018-03-01,STANDARD,2,0.0540962889790535,299.1171569824219
R_A2,0,299.2337646484375,0.0,30,1644.84033203125,22,3,2018-03-01,STANDARD,3,0.057867132127285004,299.2337646484375
R_A2,0,299.3503723144531,0.0,30,1646.580078125,22,4,2018-03-01,STANDARD,4,0.06320519745349884,299.3503723144531
R_A2,0,299.46697998046875,0.0,30,1648.31982421875,22,5,2018-03-01,STANDARD,5,0.0658133402466774,299.46697998046875
R_A2,0,299.60595703125,0.0,30,1650.0595703125,22,6,2018-03-01,STANDARD,6,0.6840904951095581,299.60595703125
R_A2,0,299.8227844238281,0.0,30,1651.79931640625,22,7,2018-03-01,STANDARD,7,0.8687981367111206,299.8227844238281
R_A2,0,299.96588134765625,0.0,30,1653.5390625,22,8,2018-03-01,STANDARD,8,0.6485720276832581,299.96588134765625
R_A2,0,300.1254577636719,0.0,30,1655.27880859375,22,9,2018-03-01,STANDARD,9,0.24630510807037354,300.1254577636719
R_A2,0,300.2938232421875,0.0,30,1657.0185546875,22,10,2018-03-01,STANDARD,10,0.6482691168785095,300.2938232421875
R_A2,0,300.123291015625,0.0,30,1658.9039306640625,22,11,2018-03-01,STANDARD,11,0.06934724003076553,300.123291015625
R_A2,0,300.2594909667969,0.0,30,1660.9349365234375,22,12,2018-03-01,STANDARD,12,0.07116241008043289,300.2594909667969
R_A2,0,300.3963928222656,0.0,30,1662.9659423828125,22,13,2018-03-01,STANDARD,13,0.43094366788864136,300.3963928222656
R_A2,0,300.53399658203125,0.0,30,1664.9969482421875,22,14,2018-03-01,STANDARD,14,0.4755525588989258,300.53399658203125
R_A2,0,300.67681884765625,0.0,30,1667.0279541015625,22,15,2018-03-01,STANDARD,15,0.9049238562583923,300.67681884765625
R_A2,0,300.8171081542969,0.0,30,1669.0589599609375,22,16,2018-03-01,STANDARD,16,0.9172971248626709,300.8171081542969
R_A2,0,300.9549865722656,0.0,30,1671.0899658203125,22,17,2018-03-01,STANDARD,17,0.8697755336761475,300.9549865722656
R_A2,0,301.1977844238281,0.0,29,1674.6494140625,22,17,2018-03-01,STANDARD,18,0.9299372434616089,301.1977844238281
R_A2,0,301.3229064941406,0.0,29,1676.5206298828125,22,18,2018-03-01,STANDARD,19,0.9846596717834473,301.3229064941406
R_A2,0,302.9419250488281,-4.025377808858366e-10,29,1678.2225341796875,22,25,2018-03-01,STANDARD,20,1.0,302.9419250488281
R_A2,0,302.8553161621094,0.0,29,1679.9757080078125,22,26,2018-03-01,STANDARD,21,0.8418816328048706,302.8553161621094
R_A2,0,303.2972412109375,5.975936874524652e-15,29,1681.7288818359375,22,27,2018-03-01,STANDARD,22,1.0,303.2972412109375
R_A2,0,302.9879150390625,1.563960350114968e-10,29,1683.482177734375,22,28,2018-03-01,STANDARD,23,1.0,302.9879150390625
R_A2,0,303.0210876464844,4.082270876892835e-08,29,1685.2353515625,22,29,2018-03-01,STANDARD,24,1.0000003576278687,303.0210876464844
R_A5,0,284.9602966308594,-2.6309223688514294e-09,20,1685.984619140625,31,1,2018-04-28,STANDARD,1,0.9999999403953552,284.9602966308594
R_A5,0,285.1625671386719,-2.5452568941375375e-09,20,1688.12255859375,31,2,2018-04-28,STANDARD,2,0.9999999403953552,285.1625671386719
R_A5,0,285.3646545410156,-2.523439235346814e-09,20,1690.2606201171875,31,3,2018-04-28,STANDARD,3,0.9999999403953552,285.3646545410156
R_A5,0,285.5666198730469,-2.226968609519986e-09,20,1692.398681640625,31,4,2018-04-28,STANDARD,4,0.9999999403953552,285.5666198730469
R_A5,0,285.7685852050781,-1.3106423724096317e-09,20,1694.5367431640625,31,5,2018-04-28,STANDARD,5,1.0,285.7685852050781
