DATE,REGION,RGIP,RGIPG,RGIPL,RGPR,RGPT,ROIP,ROIPG,ROIPL,RPR
2001-10-01,4,541962.75,73.63983154296875,541889.125,0.0,0.0,2943.779052734375,0.0,2943.779052734375,270.8623962402344
2001-10-01,5,1608903936.0,1218.982421875,1608902656.0,347311.40625,298403968.0,8744042.0,0.0,8744042.0,269.2838439941406
2001-10-01,6,1974678.875,53.61848449707031,1974625.25,0.0,0.0,10731.91796875,0.0,10731.91796875,270.7149658203125
2001-11-01,1,3047584000.0,181.02452087402344,3047584000.0,301885.78125,132582416.0,16562957.0,0.0,16562957.0,268.92437744140625
2001-11-01,2,7645282.5,46.593780517578125,7645235.5,0.0,0.0,41548.49609375,0.0,41548.49609375,272.34918212890625
2001-11-01,3,2733762304.0,198.15013122558594,2733762048.0,551325.0,489033504.0,14857404.0,0.0,14857404.0,270.2295837402344
2001-11-01,4,548925.8125,75.44031524658203,548850.375,0.0,0.0,2981.621826171875,0.0,2981.621826171875,271.06146240234375
2001-11-01,5,1597483264.0,1206.6588134765625,1597481984.0,346070.40625,309135104.0,8681973.0,0.0,8681973.0,269.7126159667969
2001-11-01,6,1979397.125,55.61376953125,1979341.5,0.0,0.0,10757.560546875,0.0,10757.560546875,270.90789794921875
2001-12-01,1,3037338880.0,160.26412963867188,3037338880.0,292721.5,141496992.0,16507277.0,0.0,16507277.0,269.3385009765625
2001-12-01,2,7739149.0,45.75898742675781,7739103.0,0.0,0.0,42058.640625,0.0,42058.640625,272.4827880859375
2001-12-01,3,2719129856.0,194.1412811279297,2719129600.0,531390.625,505222400.0,14777879.0,0.0,14777879.0,270.6579284667969
2001-12-01,4,555267.875,74.78058624267578,555193.0625,0.0,0.0,3016.089599609375,0.0,3016.089599609375,271.22357177734375
2001-12-01,5,1586705920.0,1215.4931640625,1586704640.0,348357.4375,319582272.0,8623401.0,0.0,8623401.0,270.1147766113281
2001-12-01,6,1983489.625,55.22603988647461,1983434.5,0.0,0.0,10779.802734375,0.0,10779.802734375,271.0643005371094
2002-01-01,1,3027059200.0,150.77578735351562,3027058944.0,284082.34375,150443888.0,16451409.0,0.0,16451409.0,269.7101135253906
2002-01-01,2,7831710.0,51.473697662353516,7831658.5,0.0,0.0,42561.6875,0.0,42561.6875,272.5928955078125
2002-01-01,3,2704393216.0,195.1143035888672,2704392960.0,503839.4375,521204448.0,14697788.0,0.0,14697788.0,271.0609130859375
2002-01-01,4,561405.375,75.73377990722656,561329.625,0.0,0.0,3049.445556640625,0.0,3049.445556640625,271.3608093261719
2002-01-01,5,1575723520.0,1221.7286376953125,1575722240.0,353513.4375,330549728.0,8563714.0,0.0,8563714.0,270.49395751953125
2002-01-01,6,1987309.25,56.45102310180664,1987252.75,0.0,0.0,10800.5615234375,0.0,10800.5615234375,271.198486328125
2002-02-01,1,3017118976.0,136.7843780517578,3017118720.0,274126.09375,159090384.0,16397386.0,0.0,16397386.0,270.0482482910156
2002-02-01,2,7920189.0,50.07093048095703,7920139.0,0.0,0.0,43042.5546875,0.0,43042.5546875,272.6785888671875
2002-02-01,3,2690277888.0,190.4058837890625,2690277632.0,470347.6875,536197152.0,14621075.0,0.0,14621075.0,271.43988037109375
2002-02-01,4,567188.0625,75.38716888427734,567112.6875,0.0,0.0,3080.873291015625,0.0,3080.873291015625,271.46893310546875
2002-02-01,5,1564915840.0,1219.3809814453125,1564914688.0,357590.96875,341675872.0,8504977.0,0.0,8504977.0,270.8540954589844
2002-02-01,6,1990830.25,56.123252868652344,1990774.125,0.0,0.0,10819.697265625,0.0,10819.697265625,271.30560302734375
2002-03-01,1,3008457984.0,119.48741149902344,3008457728.0,263795.21875,166597984.0,16350315.0,0.0,16350315.0,270.3451232910156
2002-03-01,2,7996916.5,44.28950500488281,7996872.5,0.0,0.0,43459.5546875,0.0,43459.5546875,272.7351379394531
2002-03-01,3,2678105344.0,168.22183227539062,2678105088.0,440307.03125,548836672.0,14554919.0,0.0,14554919.0,271.7707824707031
2002-03-01,4,572121.5,74.85357666015625,572046.625,0.0,0.0,3107.685546875,0.0,3107.685546875,271.5421142578125
2002-03-01,5,1555420288.0,1172.5137939453125,1555419136.0,358285.1875,351773376.0,8453370.0,0.0,8453370.0,271.1724853515625
2002-03-01,6,1993810.5,55.71186828613281,1993754.75,0.0,0.0,10835.8935546875,0.0,10835.8935546875,271.3785705566406
2002-04-01,1,2999182080.0,119.10918426513672,2999182080.0,252845.078125,174574784.0,16299903.0,0.0,16299903.0,270.66229248046875
2002-04-01,2,8078578.0,48.807212829589844,8078529.0,0.0,0.0,43903.36328125,0.0,43903.36328125,272.7735290527344
2002-04-01,3,2664982016.0,165.34075927734375,2664981760.0,410356.3125,561915200.0,14483598.0,0.0,14483598.0,272.1177673339844
2002-04-01,4,577290.75,74.51402282714844,577216.1875,0.0,0.0,3135.779296875,0.0,3135.779296875,271.59832763671875
2002-04-01,5,1545536896.0,1176.0472412109375,1545535744.0,355707.71875,362910496.0,8399656.0,0.0,8399656.0,271.5132141113281
2002-04-01,6,1996875.375,55.6902961730957,1996819.625,0.0,0.0,10852.55078125,0.0,10852.55078125,271.4349670410156
2002-05-01,1,2990501120.0,110.52893829345703,2990501120.0,242733.078125,181962656.0,16252723.0,0.0,16252723.0,270.9914245605469
2002-05-01,2,8154458.0,50.54238510131836,8154407.5,0.0,0.0,44315.7578125,0.0,44315.7578125,272.793212890625
2002-05-01,3,2652918784.0,182.77061462402344,2652918784.0,381565.875,573671808.0,14418037.0,0.0,14418037.0,272.4815979003906
2002-05-01,4,582034.9375,72.80985260009766,581962.125,0.0,0.0,3161.56298828125,0.0,3161.56298828125,271.6351013183594
2002-05-01,5,1536388480.0,1192.4970703125,1536387328.0,351976.9375,373575136.0,8349937.0,0.0,8349937.0,271.87164306640625
2002-05-01,6,1999666.125,54.29604721069336,1999611.75,0.0,0.0,10867.7177734375,0.0,10867.7177734375,271.47174072265625
2002-06-01,1,2981747456.0,118.26258850097656,2981747456.0,234168.9375,189319136.0,16205149.0,0.0,16205149.0,271.3269348144531
2002-06-01,2,8229735.0,51.525970458984375,8229683.5,0.0,0.0,44724.87109375,0.0,44724.87109375,272.7922668457031
2002-06-01,3,2641189120.0,173.14840698242188,2641189120.0,355436.25,584998080.0,14354289.0,0.0,14354289.0,272.8487243652344
2002-06-01,4,586633.4375,76.42123413085938,586557.0625,0.0,0.0,3186.554931640625,0.0,3186.554931640625,271.65240478515625
2002-06-01,5,1527189760.0,1159.3828125,1527188608.0,348916.1875,384491776.0,8299944.0,0.0,8299944.0,272.23681640625
2002-06-01,6,2002345.375,58.323883056640625,2002287.0,0.0,0.0,10882.279296875,0.0,10882.279296875,271.4887390136719
2002-07-01,1,2973420544.0,113.60774230957031,2973420544.0,227289.578125,196221424.0,16159894.0,0.0,16159894.0,271.6142578125
2002-07-01,2,8299596.0,50.93284225463867,8299545.0,0.0,0.0,45104.55078125,0.0,45104.55078125,272.783447265625
2002-07-01,3,2630250240.0,156.20681762695312,2630250240.0,333871.53125,595277056.0,14294838.0,0.0,14294838.0,273.15826416015625
2002-07-01,4,590924.125,74.23004150390625,590849.875,0.0,0.0,3209.873779296875,0.0,3209.873779296875,271.6650085449219
2002-07-01,5,1518702592.0,1151.65478515625,1518701440.0,347008.96875,394987040.0,8253817.5,0.0,8253817.5,272.552734375
2002-07-01,6,2004831.625,56.03120040893555,2004775.5,0.0,0.0,10895.791015625,0.0,10895.791015625,271.501953125
2002-08-01,1,2964981504.0,119.85700988769531,2964981248.0,219920.4375,203123840.0,16114029.0,0.0,16114029.0,271.89788818359375
2002-08-01,2,8368771.0,53.626190185546875,8368717.0,0.0,0.0,45480.50390625,0.0,45480.50390625,272.77630615234375
2002-08-01,3,2619491840.0,170.6104278564453,2619491584.0,313416.46875,605242944.0,14236368.0,0.0,14236368.0,273.46221923828125
2002-08-01,4,595138.8125,73.43560028076172,595065.375,0.0,0.0,3232.780029296875,0.0,3232.780029296875,271.6815490722656
2002-08-01,5,1510183040.0,1171.8250732421875,1510181888.0,344532.75,405760032.0,8207515.5,0.0,8207515.5,272.8694152832031
2002-08-01,6,2007254.75,55.15692138671875,2007199.5,0.0,0.0,10908.9609375,0.0,10908.9609375,271.52020263671875
2002-09-01,1,2956763136.0,102.26241302490234,2956762880.0,211364.125,209756048.0,16069364.0,0.0,16069364.0,272.2202453613281
2002-09-01,2,8434964.0,57.61338424682617,8434906.0,0.0,0.0,45840.24609375,0.0,45840.24609375,272.78546142578125
2002-09-01,3,2609441280.0,185.65174865722656,2609441024.0,293439.375,614567680.0,14181746.0,0.0,14181746.0,273.8022766113281
2002-09-01,4,599155.875,73.29529571533203,599082.5625,0.0,0.0,3254.611572265625,0.0,3254.611572265625,271.711669921875
2002-09-01,5,1501779072.0,1185.6014404296875,1501777920.0,339919.875,416403424.0,8161842.0,0.0,8161842.0,273.2271423339844
2002-09-01,6,2009553.25,54.958290100097656,2009498.375,0.0,0.0,10921.453125,0.0,10921.453125,271.5517883300781
2002-10-01,1,2949083392.0,112.47379302978516,2949083392.0,201747.484375,215876832.0,16027627.0,0.0,16027627.0,272.6188659667969
2002-10-01,2,8496102.0,60.1988410949707,8496041.0,0.0,0.0,46172.515625,0.0,46172.515625,272.8273010253906
2002-10-01,3,2600428800.0,216.10708618164062,2600428544.0,274912.46875,623015104.0,14132765.0,0.0,14132765.0,274.2053527832031
2002-10-01,4,602867.625,73.67840576171875,602794.0,0.0,0.0,3274.784423828125,0.0,3274.784423828125,271.7694091796875
2002-10-01,5,1493763456.0,1208.5015869140625,1493762176.0,331877.40625,426475936.0,8118278.0,0.0,8118278.0,273.6541748046875
2002-10-01,6,2011672.375,55.48704147338867,2011616.875,0.0,0.0,10932.9697265625,0.0,10932.9697265625,271.6095886230469
2002-11-01,1,2941484544.0,71.21115112304688,2941484544.0,190883.734375,221860560.0,15986329.0,0.0,15986329.0,273.1521301269531
2002-11-01,2,8555904.0,59.149139404296875,8555845.0,0.0,0.0,46497.53125,0.0,46497.53125,272.9480285644531
2002-11-01,3,2591909376.0,249.135009765625,2591909120.0,259776.9375,631266624.0,14086463.0,0.0,14086463.0,274.69305419921875
2002-11-01,4,606521.8125,76.07867431640625,606445.75,0.0,0.0,3294.64404296875,0.0,3294.64404296875,271.89996337890625
2002-11-01,5,1485611008.0,1257.1182861328125,1485609728.0,317207.375,436446144.0,8073971.0,0.0,8073971.0,274.1850891113281
2002-11-01,6,2013735.875,58.2231330871582,2013677.625,0.0,0.0,10944.1845703125,0.0,10944.1845703125,271.7364196777344
2002-12-01,1,2934366976.0,106.1554183959961,2934366720.0,183886.890625,227434864.0,15947646.0,0.0,15947646.0,273.628662109375
2002-12-01,2,8610188.0,62.85771179199219,8610125.0,0.0,0.0,46792.55078125,0.0,46792.55078125,273.123779296875
