CONKPOS,PRESSURE,CONJPOS,DRAWDOWN,CONIPOS,DATE,WELLMODEL,CONIDX,SGAS,DEPTH,WELL,SWAT,CONBPRES
14,282.1534423828125,42,0,17,2018-11-07,STANDARD,14,3.483268881665502e-11,1717.011962890625,R_A6,1.0,282.1534423828125
15,282.3672790527344,42,0,17,2018-11-07,STANDARD,15,1.7401337315536836e-11,1719.2677001953125,R_A6,1.0,282.3672790527344
16,282.72613525390625,42,0,17,2018-11-07,STANDARD,16,4.0843214227370694e-12,1721.5234375,R_A6,1.0,282.72613525390625
17,282.9398193359375,42,0,17,2018-11-07,STANDARD,17,1.2517894706909338e-11,1723.7791748046875,R_A6,1.0,282.9398193359375
18,283.095458984375,42,0,17,2018-11-07,STANDARD,18,9.869851463895074e-12,1725.4232177734375,R_A6,1.0,283.095458984375
24,281.856689453125,42,0,17,2018-11-07,STANDARD,19,3.6821409636622615e-12,1726.7940673828125,R_A6,1.0,281.856689453125
25,282.03948974609375,42,0,17,2018-11-07,STANDARD,20,2.286607752102765e-12,1728.503173828125,R_A6,1.0,282.03948974609375
26,282.9481506347656,42,0,17,2018-11-07,STANDARD,21,1.355728179022976e-17,1730.212158203125,R_A6,1.0,282.9481506347656
27,283.3485412597656,42,0,17,2018-11-07,STANDARD,22,1.8758266332030934e-18,1731.9212646484375,R_A6,1.0,283.3485412597656
28,282.5439758300781,42,0,17,2018-11-07,STANDARD,23,4.1435008635987147e-13,1733.63037109375,R_A6,1.0,282.5439758300781
