CONKPOS,CONBPRES,DATE,SWAT,PRESSURE,WELLMODEL,DEPTH,SGAS,DRAWDOWN,WELL,CONIPOS,CONJPOS,CONIDX
18,300.82330322265625,2018-03-01,0.9828847050666809,300.82330322265625,STANDARD,1672.9881591796875,0.0,0,R_A2,22,30,18
18,300.8243103027344,2018-03-01,0.9966233372688293,300.8243103027344,STANDARD,1674.229736328125,0.0,0,R_A2,22,29,19
27,302.4541931152344,2018-03-01,1.0,302.4541931152344,STANDARD,1676.1676025390625,-7.051814132630341e-10,0,R_A2,22,29,20
28,303.2381286621094,2018-03-01,1.0,303.2381286621094,STANDARD,1677.9368896484375,4.750022063584323e-21,0,R_A2,22,29,21
29,303.5387878417969,2018-03-01,1.0,303.5387878417969,STANDARD,1679.7061767578125,-1.0673600158879719e-20,0,R_A2,22,29,22
30,303.7487487792969,2018-03-01,1.0,303.7487487792969,STANDARD,1681.4754638671875,-4.229489178670137e-20,0,R_A2,22,29,23
31,303.92193603515625,2018-03-01,1.0,303.92193603515625,STANDARD,1683.2447509765625,-5.022115290486042e-20,0,R_A2,22,29,24
1,274.3460693359375,2018-04-28,1.0,274.3460693359375,STANDARD,1685.026611328125,-3.0646378362412857e-15,0,R_A5,31,20,1
2,274.5619812011719,2018-04-28,1.0,274.5619812011719,STANDARD,1687.3070068359375,-3.130788144806531e-15,0,R_A5,31,20,2
3,274.7779541015625,2018-04-28,1.0,274.7779541015625,STANDARD,1689.5875244140625,-2.838238846692657e-15,0,R_A5,31,20,3
4,274.9936828613281,2018-04-28,1.0,274.9936828613281,STANDARD,1691.8680419921875,-3.078804462284114e-15,0,R_A5,31,20,4
5,275.20928955078125,2018-04-28,1.0,275.20928955078125,STANDARD,1694.1485595703125,-2.949947881117159e-15,0,R_A5,31,20,5
6,275.42498779296875,2018-04-28,1.0,275.42498779296875,STANDARD,1696.4290771484375,-2.3167702124955985e-15,0,R_A5,31,20,6
7,275.96148681640625,2018-04-28,1.0,275.96148681640625,STANDARD,1698.70947265625,-7.655005203669168e-16,0,R_A5,31,20,7
11,278.4990539550781,2018-04-28,1.0,278.4990539550781,STANDARD,1707.6488037109375,2.6338748890242236e-12,0,R_A5,31,20,8
12,278.6770324707031,2018-04-28,1.0,278.6770324707031,STANDARD,1709.5638427734375,1.1212469754745547e-12,0,R_A5,31,20,9
12,276.57208251953125,2018-04-28,1.0,276.57208251953125,STANDARD,1701.7845458984375,-3.674359774774594e-11,0,R_A5,31,21,10
13,276.7695617675781,2018-04-28,1.0,276.7695617675781,STANDARD,1703.735107421875,-2.80315592786351e-12,0,R_A5,31,21,11
14,276.95513916015625,2018-04-28,1.0,276.95513916015625,STANDARD,1705.6856689453125,-3.854528241725719e-12,0,R_A5,31,21,12
15,278.14385986328125,2018-04-28,1.0,278.14385986328125,STANDARD,1707.63623046875,-5.036716269751773e-12,0,R_A5,31,21,13
16,279.4620056152344,2018-04-28,1.0,279.4620056152344,STANDARD,1709.5867919921875,-3.814913229066574e-12,0,R_A5,31,21,14
17,279.66571044921875,2018-04-28,1.0,279.66571044921875,STANDARD,1711.537353515625,-1.13966258305509e-12,0,R_A5,31,21,15
