CONBPRES,CONKPOS,PRESSURE,DATE,SWAT,CONIDX,DRAWDOWN,CONJPOS,SGAS,DEPTH,CONIPOS,WELLMODEL,WELL
299.4479064941406,7,299.4479064941406,2018-03-01,0.8916807770729065,7,0,30,0.0,1650.440185546875,22,STANDARD,R_A2
299.6275939941406,8,299.6275939941406,2018-03-01,0.8693324327468872,8,0,30,0.0,1652.1490478515625,22,STANDARD,R_A2
299.7873840332031,9,299.7873840332031,2018-03-01,0.6482682228088379,9,0,30,0.0,1653.85791015625,22,STANDARD,R_A2
299.97454833984375,10,299.97454833984375,2018-03-01,0.6482592821121216,10,0,30,0.0,1655.5667724609375,22,STANDARD,R_A2
299.9584045410156,11,299.9584045410156,2018-03-01,0.07558298110961914,11,0,30,0.0,1657.4237060546875,22,STANDARD,R_A2
300.1044006347656,12,300.1044006347656,2018-03-01,0.06640202552080154,12,0,30,0.0,1659.4285888671875,22,STANDARD,R_A2
300.40966796875,13,300.40966796875,2018-03-01,0.45331496000289917,13,0,30,0.0,1661.4334716796875,22,STANDARD,R_A2
300.54412841796875,14,300.54412841796875,2018-03-01,0.502634584903717,14,0,30,0.0,1663.4383544921875,22,STANDARD,R_A2
300.6773681640625,15,300.6773681640625,2018-03-01,0.9350205063819885,15,0,30,0.0,1665.4432373046875,22,STANDARD,R_A2
300.81072998046875,16,300.81072998046875,2018-03-01,0.9534422755241394,16,0,30,0.0,1667.4481201171875,22,STANDARD,R_A2
301.14111328125,16,301.14111328125,2018-03-01,0.9867282509803772,17,0,29,0.0,1671.6373291015625,22,STANDARD,R_A2
301.28143310546875,17,301.28143310546875,2018-03-01,0.983737587928772,18,0,29,0.0,1673.736328125,22,STANDARD,R_A2
301.39520263671875,18,301.39520263671875,2018-03-01,1.0,19,0,29,-1.1996984516926545e-09,1675.4337158203125,22,STANDARD,R_A2
302.40850830078125,27,302.40850830078125,2018-03-01,0.9999999403953552,20,0,29,-6.471500668681074e-09,1676.96337890625,22,STANDARD,R_A2
302.3555603027344,28,302.3555603027344,2018-03-01,1.0,21,0,29,-3.717741785540414e-14,1678.714111328125,22,STANDARD,R_A2
302.5312805175781,29,302.5312805175781,2018-03-01,1.0,22,0,29,-9.097621961329239e-12,1680.46484375,22,STANDARD,R_A2
303.1598205566406,30,303.1598205566406,2018-03-01,1.0,23,0,29,-4.198781031592234e-17,1682.215576171875,22,STANDARD,R_A2
303.68426513671875,31,303.68426513671875,2018-03-01,1.0,24,0,29,-1.581954487174109e-18,1683.96630859375,22,STANDARD,R_A2
272.4217224121094,1,272.4217224121094,2018-04-28,1.0,1,0,20,-1.1944992217571837e-10,1685.4287109375,31,STANDARD,R_A5
272.6192321777344,2,272.6192321777344,2018-04-28,1.0,2,0,20,-1.0295467256504764e-10,1687.51904296875,31,STANDARD,R_A5
272.8165283203125,3,272.8165283203125,2018-04-28,1.0,3,0,20,-5.8135982139440046e-11,1689.609619140625,31,STANDARD,R_A5
273.0140380859375,4,273.0140380859375,2018-04-28,1.0,4,0,20,-2.1078881695668628e-11,1691.7000732421875,31,STANDARD,R_A5
273.2120666503906,5,273.2120666503906,2018-04-28,1.0,5,0,20,-5.105536132754551e-11,1693.7906494140625,31,STANDARD,R_A5
273.410400390625,6,273.410400390625,2018-04-28,1.0,6,0,20,-7.395665330145462e-11,1695.881103515625,31,STANDARD,R_A5
273.998779296875,7,273.998779296875,2018-04-28,1.0,7,0,20,-1.650353898680068e-12,1697.9715576171875,31,STANDARD,R_A5
273.1865234375,11,273.1865234375,2018-04-28,1.0,8,0,21,-9.754500679415301e-11,1698.9698486328125,31,STANDARD,R_A5
273.385986328125,12,273.385986328125,2018-04-28,1.0,9,0,21,-1.3903991846753172e-10,1701.0760498046875,31,STANDARD,R_A5
273.59893798828125,13,273.59893798828125,2018-04-28,1.0,10,0,21,-5.309407861281423e-12,1703.1822509765625,31,STANDARD,R_A5
273.8010559082031,14,273.8010559082031,2018-04-28,1.0,11,0,21,-8.209760128663479e-12,1705.2884521484375,31,STANDARD,R_A5
274.02435302734375,15,274.02435302734375,2018-04-28,1.0,12,0,21,-1.4746278200264418e-12,1707.39453125,31,STANDARD,R_A5
274.5805358886719,16,274.5805358886719,2018-04-28,1.0,13,0,21,-1.5229928863186304e-13,1709.500732421875,31,STANDARD,R_A5
275.107177734375,17,275.107177734375,2018-04-28,1.0,14,0,21,-1.697460802561196e-14,1711.60693359375,31,STANDARD,R_A5
275.41827392578125,18,275.41827392578125,2018-04-28,1.0,15,0,21,-1.696177717052695e-14,1713.28466796875,31,STANDARD,R_A5
275.5064697265625,19,275.5064697265625,2018-04-28,1.0,16,0,21,0.0,1714.1131591796875,31,STANDARD,R_A5
276.88677978515625,27,276.88677978515625,2018-04-28,1.0,17,0,21,-1.8609957596216892e-14,1715.5234375,31,STANDARD,R_A5
277.1047058105469,28,277.1047058105469,2018-04-28,1.0,18,0,21,-1.538120352655506e-14,1717.9359130859375,31,STANDARD,R_A5
277.6385803222656,29,277.6385803222656,2018-04-28,1.0,19,0,21,-1.7720662998850522e-15,1720.3482666015625,31,STANDARD,R_A5
277.8662109375,30,277.8662109375,2018-04-28,1.0,20,0,21,-2.2888392491413798e-21,1722.7607421875,31,STANDARD,R_A5
278.0943908691406,31,278.0943908691406,2018-04-28,1.0,21,0,21,-4.5180272852541965e-23,1725.173095703125,31,STANDARD,R_A5
283.86724853515625,1,283.86724853515625,2018-07-03,0.1741916388273239,1,0,41,0.0,1610.6373291015625,28,STANDARD,R_A3
284.0020446777344,2,284.0020446777344,2018-07-03,0.11844748258590698,2,0,41,0.0,1612.656982421875,28,STANDARD,R_A3
283.1558532714844,2,283.1558532714844,2018-07-03,0.11841190606355667,3,0,41,0.0,1600.045166015625,29,STANDARD,R_A3
283.29901123046875,3,283.29901123046875,2018-07-03,0.1184542253613472,4,0,41,0.0,1602.1900634765625,29,STANDARD,R_A3
283.4425048828125,4,283.4425048828125,2018-07-03,0.2669648826122284,5,0,41,0.0,1604.3349609375,29,STANDARD,R_A3
283.6025390625,5,283.6025390625,2018-07-03,0.6836502552032471,6,0,41,0.0,1606.479736328125,29,STANDARD,R_A3
283.7485656738281,6,283.7485656738281,2018-07-03,0.20865517854690552,7,0,41,0.0,1608.6246337890625,29,STANDARD,R_A3
283.8918762207031,7,283.8918762207031,2018-07-03,0.19812530279159546,8,0,41,0.0,1610.76953125,29,STANDARD,R_A3
284.03509521484375,8,284.03509521484375,2018-07-03,0.19959071278572083,9,0,41,0.0,1612.914306640625,29,STANDARD,R_A3
284.2683410644531,9,284.2683410644531,2018-07-03,0.7956569790840149,10,0,41,0.0,1615.05908203125,29,STANDARD,R_A3
285.6632995605469,10,285.6632995605469,2018-07-03,0.8024559020996094,11,0,41,0.0,1617.2039794921875,29,STANDARD,R_A3
288.4512634277344,11,288.4512634277344,2018-07-03,0.0490146167576313,12,0,41,0.0,1619.391357421875,29,STANDARD,R_A3
288.6003112792969,12,288.6003112792969,2018-07-03,0.05407198891043663,13,0,41,0.0,1621.6212158203125,29,STANDARD,R_A3
288.7498779296875,13,288.7498779296875,2018-07-03,0.37229445576667786,14,0,41,0.0,1623.85107421875,29,STANDARD,R_A3
291.39886474609375,14,291.39886474609375,2018-07-03,0.39476707577705383,15,0,41,0.0,1626.0809326171875,29,STANDARD,R_A3
289.09259033203125,15,289.09259033203125,2018-07-03,0.3493364751338959,16,0,41,0.0,1628.3106689453125,29,STANDARD,R_A3
289.2556457519531,16,289.2556457519531,2018-07-03,0.8024513125419617,17,0,41,0.0,1630.3975830078125,29,STANDARD,R_A3
289.3330078125,17,289.3330078125,2018-07-03,0.7963212728500366,18,0,41,0.0,1631.530029296875,29,STANDARD,R_A3
288.04638671875,27,288.04638671875,2018-07-03,1.0,19,0,41,-3.283638361217811e-10,1633.559814453125,29,STANDARD,R_A3
