PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PORO,UpperReek,Dorne,Crevasse,0.2015489,,0.37634242,0.063246444,0.14139193,0.26390466,0.047586594,geogrid,geogrid
SW,UpperReek,Dorne,Crevasse,0.98077,,1.0,0.18025967,1.0,1.0,0.10451411,geogrid,geogrid
PERM,UpperReek,IronIslands,Background,18.768919,,100.0,0.051405508,1.7737393,52.66446,25.373049,geogrid,geogrid
PORO,UpperReek,IronIslands,Background,0.11424451,,0.34113106,0.0,0.04597011,0.18350545,0.055123385,geogrid,geogrid
SW,UpperReek,IronIslands,Background,0.48952445,,1.0,0.0,0.19185112,1.0,0.3122349,geogrid,geogrid
PERM,UpperReek,IronIslands,Channel,3103.4065,,10000.0,41.516518,487.64426,8578.247,2910.788,geogrid,geogrid
PORO,UpperReek,IronIslands,Channel,0.25100455,,0.40724915,0.09941745,0.19148234,0.31191808,0.046283852,geogrid,geogrid
SW,UpperReek,IronIslands,Channel,0.47369,,1.0,0.0185123,0.0324449,1.0,0.45030436,geogrid,geogrid
PERM,UpperReek,IronIslands,Crevasse,176.55139,,1000.0,1.743143,20.514862,432.3517,215.2424,geogrid,geogrid
PORO,UpperReek,IronIslands,Crevasse,0.2013399,,0.3665214,0.0,0.13593414,0.26746422,0.05160802,geogrid,geogrid
SW,UpperReek,IronIslands,Crevasse,0.57033336,,1.0,0.0,0.10433671,1.0,0.38861638,geogrid,geogrid
PERM,UpperReek,North,Background,11.638614,,100.0,0.06002352,1.0876977,28.859257,17.625193,geogrid,geogrid
PORO,UpperReek,North,Background,0.098954566,,0.31553844,0.0,0.03157439,0.17100602,0.05274486,geogrid,geogrid
SW,UpperReek,North,Background,0.9946043,,1.0,0.0,1.0,1.0,0.054652467,geogrid,geogrid
PERM,UpperReek,North,Channel,3324.243,,10000.0,23.87106,447.92908,9680.014,3082.8044,geogrid,geogrid
PORO,UpperReek,North,Channel,0.2512092,,0.42988205,0.057590842,0.18519823,0.31742346,0.051354956,geogrid,geogrid
SW,UpperReek,North,Channel,0.99131817,,1.0,0.026546283,1.0,1.0,0.09034789,geogrid,geogrid
PERM,UpperReek,North,Crevasse,152.01634,,1000.0,2.3587408,21.015335,364.622,190.11249,geogrid,geogrid
PORO,UpperReek,North,Crevasse,0.19279502,,0.38909483,0.02132845,0.13096204,0.2554574,0.048191417,geogrid,geogrid
SW,UpperReek,North,Crevasse,0.9879536,,1.0,0.085668296,1.0,1.0,0.100119025,geogrid,geogrid
PERM,UpperReek,Reach,Background,9.721533,,100.0,0.06557741,1.5235015,21.820854,12.045188,geogrid,geogrid
PORO,UpperReek,Reach,Background,0.10190428,,0.28853408,0.0,0.04477669,0.15923612,0.044139512,geogrid,geogrid
SW,UpperReek,Reach,Background,0.7658845,,1.0,0.0,0.34613994,1.0,0.28960717,geogrid,geogrid
PERM,UpperReek,Reach,Channel,3017.5618,,10000.0,41.440765,443.81613,8367.271,2899.4734,geogrid,geogrid
PORO,UpperReek,Reach,Channel,0.2500146,,0.44893184,0.070055455,0.18571663,0.31467173,0.050355244,geogrid,geogrid
SW,UpperReek,Reach,Channel,0.36305395,,1.0,0.020907255,0.04310458,1.0,0.42375606,geogrid,geogrid
PERM,UpperReek,Reach,Crevasse,189.66399,,1000.0,1.9181274,22.162865,497.6303,228.78604,geogrid,geogrid
PORO,UpperReek,Reach,Crevasse,0.20160724,,0.38874796,0.026504487,0.13522068,0.2664533,0.051365785,geogrid,geogrid
SW,UpperReek,Reach,Crevasse,0.49584454,,1.0,0.047071792,0.12408224,1.0,0.38250998,geogrid,geogrid
PERM,UpperReek,Stormlands,Background,23.63992,,100.0,0.28465623,1.5616268,72.663666,28.151327,geogrid,geogrid
PORO,UpperReek,Stormlands,Background,0.13847965,,0.3411551,0.0,0.05296037,0.22122708,0.06379892,geogrid,geogrid
SW,UpperReek,Stormlands,Background,0.229001,,0.54007554,0.0,0.1374679,0.33260295,0.080861874,geogrid,geogrid
PERM,UpperReek,Stormlands,Channel,2042.9781,,10000.0,59.12406,297.58746,5014.7036,2229.695,geogrid,geogrid
PORO,UpperReek,Stormlands,Channel,0.23191904,,0.3720801,0.10456087,0.17335232,0.28864592,0.044770084,geogrid,geogrid
SW,UpperReek,Stormlands,Channel,0.040486816,,0.087874524,0.017585367,0.025380561,0.056435186,0.012506232,geogrid,geogrid
PERM,UpperReek,Stormlands,Crevasse,116.1286,,1000.0,1.351872,10.304038,302.67368,153.00294,geogrid,geogrid
PORO,UpperReek,Stormlands,Crevasse,0.18263055,,0.32927293,0.04483597,0.10487741,0.2511878,0.05790225,geogrid,geogrid
SW,UpperReek,Stormlands,Crevasse,0.11645208,,0.24533491,0.051945534,0.070911996,0.17019919,0.03953336,geogrid,geogrid
PERM,UpperReek,Vale,Background,6.8844748,,100.0,0.15707013,1.1509349,14.736915,9.73126,geogrid,geogrid
PORO,UpperReek,Vale,Background,0.0927549,,0.27825493,0.0,0.038726017,0.14924228,0.043195873,geogrid,geogrid
SW,UpperReek,Vale,Background,0.7082072,,1.0,0.0,0.2741322,1.0,0.33205226,geogrid,geogrid
PERM,UpperReek,Vale,Channel,3132.3184,,10000.0,41.946667,480.72495,8117.012,2855.3306,geogrid,geogrid
PORO,UpperReek,Vale,Channel,0.25289685,,0.4078009,0.10911098,0.19111171,0.31231314,0.047886107,geogrid,geogrid
SW,UpperReek,Vale,Channel,0.66179115,,1.0,0.020432618,0.034780424,1.0,0.45513433,geogrid,geogrid
PERM,UpperReek,Vale,Crevasse,192.96515,,1000.0,4.90393,24.461779,504.6949,234.60323,geogrid,geogrid
PORO,UpperReek,Vale,Crevasse,0.20404539,,0.35772443,0.06770161,0.13959521,0.27412662,0.051647242,geogrid,geogrid
SW,UpperReek,Vale,Crevasse,0.74975216,,1.0,0.04980922,0.108637504,1.0,0.39438954,geogrid,geogrid
PERM,UpperReek,Westerlands,Background,9.89196,,100.0,0.036254056,1.1122713,22.826153,14.334285,geogrid,geogrid
PORO,UpperReek,Westerlands,Background,0.095616885,,0.31233805,0.0,0.027256621,0.16144271,0.050549712,geogrid,geogrid
SW,UpperReek,Westerlands,Background,0.98750186,,1.0,0.0,1.0,1.0,0.0825361,geogrid,geogrid
PERM,UpperReek,Westerlands,Channel,3136.5828,,10000.0,14.114838,487.70822,8505.445,2897.5908,geogrid,geogrid
