DRAWDOWN,WELLMODEL,CONIPOS,WELL,CONKPOS,SWAT,CONIDX,CONBPRES,CONJPOS,PRESSURE,DEPTH,SGAS,DATE
0,STANDARD,38,R_A4,30,0.23997251689434052,20,301.7947998046875,47,301.7947998046875,1657.8184814453125,0.0,2018-01-01
0,STANDARD,31,R_A5,1,1.0,1,303.8440856933594,20,303.8440856933594,1685.026611328125,0.0,2018-01-01
0,STANDARD,31,R_A5,2,1.0,2,304.0601806640625,20,304.0601806640625,1687.3070068359375,0.0,2018-01-01
0,STANDARD,31,R_A5,3,1.0,3,304.27630615234375,20,304.27630615234375,1689.5875244140625,0.0,2018-01-01
0,STANDARD,31,R_A5,4,1.0,4,304.4924011230469,20,304.4924011230469,1691.8680419921875,0.0,2018-01-01
0,STANDARD,31,R_A5,5,1.0,5,304.7085266113281,20,304.7085266113281,1694.1485595703125,0.0,2018-01-01
0,STANDARD,31,R_A5,6,1.0,6,304.9246520996094,20,304.9246520996094,1696.4290771484375,0.0,2018-01-01
0,STANDARD,31,R_A5,7,1.0,7,305.446533203125,20,305.446533203125,1698.70947265625,0.0,2018-01-01
0,STANDARD,31,R_A5,11,1.0,8,305.988037109375,20,305.988037109375,1707.6488037109375,0.0,2018-01-01
0,STANDARD,31,R_A5,12,1.0,9,306.1695251464844,20,306.1695251464844,1709.5638427734375,0.0,2018-01-01
0,STANDARD,31,R_A5,12,1.0,10,305.4322814941406,21,305.4322814941406,1701.7845458984375,0.0,2018-01-01
0,STANDARD,31,R_A5,13,1.0,11,305.6291198730469,21,305.6291198730469,1703.735107421875,0.0,2018-01-01
0,STANDARD,31,R_A5,14,1.0,12,305.81396484375,21,305.81396484375,1705.6856689453125,0.0,2018-01-01
0,STANDARD,31,R_A5,15,1.0,13,305.9988098144531,21,305.9988098144531,1707.63623046875,0.0,2018-01-01
0,STANDARD,31,R_A5,16,1.0,14,306.1836853027344,21,306.1836853027344,1709.5867919921875,0.0,2018-01-01
0,STANDARD,31,R_A5,17,1.0,15,306.5135498046875,21,306.5135498046875,1711.537353515625,0.0,2018-01-01
0,STANDARD,31,R_A5,18,1.0,16,306.6856994628906,21,306.6856994628906,1713.35400390625,0.0,2018-01-01
0,STANDARD,31,R_A5,19,1.0,17,306.7843933105469,21,306.7843933105469,1714.3951416015625,0.0,2018-01-01
0,STANDARD,31,R_A5,27,1.0,18,306.75689697265625,21,306.75689697265625,1715.7628173828125,0.0,2018-01-01
0,STANDARD,31,R_A5,28,1.0,19,306.978271484375,21,306.978271484375,1718.098388671875,0.0,2018-01-01
0,STANDARD,31,R_A5,29,1.0,20,307.5054016113281,21,307.5054016113281,1720.43408203125,0.0,2018-01-01
0,STANDARD,31,R_A5,30,1.0,21,307.7267761230469,21,307.7267761230469,1722.7696533203125,0.0,2018-01-01
0,STANDARD,31,R_A5,31,1.0,22,307.9481506347656,21,307.9481506347656,1725.105224609375,0.0,2018-01-01
0,STANDARD,17,R_A6,1,1.0,1,305.11419677734375,42,305.11419677734375,1695.20263671875,0.0,2018-01-01
0,STANDARD,17,R_A6,2,1.0,2,305.2609558105469,42,305.2609558105469,1696.7510986328125,0.0,2018-01-01
0,STANDARD,17,R_A6,3,1.0,3,305.4076843261719,42,305.4076843261719,1698.299560546875,0.0,2018-01-01
0,STANDARD,17,R_A6,4,1.0,4,305.554443359375,42,305.554443359375,1699.84814453125,0.0,2018-01-01
0,STANDARD,17,R_A6,5,1.0,5,305.7012023925781,42,305.7012023925781,1701.3966064453125,0.0,2018-01-01
0,STANDARD,17,R_A6,6,1.0,6,305.84796142578125,42,305.84796142578125,1702.9451904296875,0.0,2018-01-01
0,STANDARD,17,R_A6,7,1.0,7,305.6956481933594,42,305.6956481933594,1704.49365234375,0.0,2018-01-01
0,STANDARD,17,R_A6,8,1.0,8,305.8424072265625,42,305.8424072265625,1706.042236328125,0.0,2018-01-01
0,STANDARD,17,R_A6,9,1.0,9,306.2882080078125,42,306.2882080078125,1707.5906982421875,0.0,2018-01-01
0,STANDARD,17,R_A6,10,1.0,10,306.1291809082031,42,306.1291809082031,1709.1392822265625,0.0,2018-01-01
0,STANDARD,17,R_A6,11,1.0,11,306.3109130859375,42,306.3109130859375,1711.055419921875,0.0,2018-01-01
0,STANDARD,17,R_A6,12,1.0,12,306.52734375,42,306.52734375,1713.3392333984375,0.0,2018-01-01
0,STANDARD,17,R_A6,13,1.0,13,306.7557678222656,42,306.7557678222656,1715.623046875,0.0,2018-01-01
0,STANDARD,17,R_A6,14,1.0,14,306.9721984863281,42,306.9721984863281,1717.9068603515625,0.0,2018-01-01
0,STANDARD,17,R_A6,15,1.0,15,307.18865966796875,42,307.18865966796875,1720.190673828125,0.0,2018-01-01
0,STANDARD,17,R_A6,16,1.0,16,307.55010986328125,42,307.55010986328125,1722.474365234375,0.0,2018-01-01
0,STANDARD,17,R_A6,17,1.0,17,307.7665710449219,42,307.7665710449219,1724.7581787109375,0.0,2018-01-01
0,STANDARD,17,R_A6,18,1.0,18,307.921630859375,42,307.921630859375,1726.394287109375,0.0,2018-01-01
0,STANDARD,17,R_A6,27,1.0,19,307.8930969238281,42,307.8930969238281,1727.7508544921875,0.0,2018-01-01
