SGAS,CONJPOS,DRAWDOWN,WELL,CONIPOS,WELLMODEL,CONBPRES,DATE,CONKPOS,SWAT,CONIDX,DEPTH,PRESSURE
0.0,42,0,R_A6,17,STANDARD,305.11175537109375,2018-01-01,1,1.0,1,1695.1768798828125,305.11175537109375
0.0,42,0,R_A6,17,STANDARD,305.2586975097656,2018-01-01,2,1.0,2,1696.7274169921875,305.2586975097656
0.0,42,0,R_A6,17,STANDARD,305.4056396484375,2018-01-01,3,1.0,3,1698.2779541015625,305.4056396484375
0.0,42,0,R_A6,17,STANDARD,305.5525817871094,2018-01-01,4,1.0,4,1699.8284912109375,305.5525817871094
0.0,42,0,R_A6,17,STANDARD,305.69952392578125,2018-01-01,5,1.0,5,1701.3790283203125,305.69952392578125
0.0,42,0,R_A6,17,STANDARD,305.8464660644531,2018-01-01,6,1.0,6,1702.929443359375,305.8464660644531
0.0,42,0,R_A6,17,STANDARD,305.6943664550781,2018-01-01,7,1.0,7,1704.47998046875,305.6943664550781
0.0,42,0,R_A6,17,STANDARD,305.84130859375,2018-01-01,8,1.0,8,1706.0306396484375,305.84130859375
0.0,42,0,R_A6,17,STANDARD,306.28729248046875,2018-01-01,9,1.0,9,1707.5811767578125,306.28729248046875
0.0,42,0,R_A6,17,STANDARD,306.1284484863281,2018-01-01,10,1.0,10,1709.131591796875,306.1284484863281
0.0,42,0,R_A6,17,STANDARD,306.3052978515625,2018-01-01,11,1.0,11,1710.996337890625,306.3052978515625
0.0,42,0,R_A6,17,STANDARD,306.51177978515625,2018-01-01,12,1.0,12,1713.175048828125,306.51177978515625
0.0,42,0,R_A6,17,STANDARD,306.7302551269531,2018-01-01,13,1.0,13,1715.3538818359375,306.7302551269531
0.0,42,0,R_A6,17,STANDARD,306.9367370605469,2018-01-01,14,1.0,14,1717.53271484375,306.9367370605469
0.0,42,0,R_A6,17,STANDARD,307.14324951171875,2018-01-01,15,1.0,15,1719.7115478515625,307.14324951171875
0.0,42,0,R_A6,17,STANDARD,307.4947509765625,2018-01-01,16,1.0,16,1721.890380859375,307.4947509765625
0.0,42,0,R_A6,17,STANDARD,307.7012634277344,2018-01-01,17,1.0,17,1724.0692138671875,307.7012634277344
0.0,42,0,R_A6,17,STANDARD,307.8876037597656,2018-01-01,18,1.0,18,1726.0355224609375,307.8876037597656
0.0,42,0,R_A6,17,STANDARD,307.89556884765625,2018-01-01,27,1.0,19,1727.7769775390625,307.89556884765625
0.0,42,0,R_A6,17,STANDARD,308.365234375,2018-01-01,28,1.0,20,1729.506103515625,308.365234375
0.0,42,0,R_A6,17,STANDARD,308.52911376953125,2018-01-01,29,1.0,21,1731.235107421875,308.52911376953125
0.0,42,0,R_A6,17,STANDARD,308.6929931640625,2018-01-01,30,1.0,22,1732.9642333984375,308.6929931640625
0.0,42,0,R_A6,17,STANDARD,308.55108642578125,2018-01-01,31,1.0,23,1734.6932373046875,308.55108642578125
