CONJPOS,CONKPOS,PRESSURE,WELLMODEL,SGAS,DEPTH,DATE,CONIDX,WELL,CONBPRES,DRAWDOWN,CONIPOS,SWAT
30,13,300.5765075683594,STANDARD,0.0,1663.3106689453125,2018-03-01,12,R_A2,300.5765075683594,0,22,0.4599219560623169
30,14,300.71331787109375,STANDARD,0.0,1665.3499755859375,2018-03-01,13,R_A2,300.71331787109375,0,22,0.5005673766136169
30,15,300.84881591796875,STANDARD,0.0,1667.389404296875,2018-03-01,14,R_A2,300.84881591796875,0,22,0.9501616954803467
29,15,301.02374267578125,STANDARD,0.0,1670.822021484375,2018-03-01,15,R_A2,301.02374267578125,0,22,0.9877087473869324
29,16,301.16033935546875,STANDARD,5.991900309254561e-10,1672.8740234375,2018-03-01,16,R_A2,301.16033935546875,0,22,1.0
29,17,301.29736328125,STANDARD,0.0,1674.9259033203125,2018-03-01,17,R_A2,301.29736328125,0,22,0.9972484111785889
29,18,301.4225158691406,STANDARD,8.346043856022334e-10,1676.7947998046875,2018-03-01,18,R_A2,301.4225158691406,0,22,1.0
29,29,303.48907470703125,STANDARD,-6.438731536465405e-17,1678.559814453125,2018-03-01,19,R_A2,303.48907470703125,0,22,1.0
29,30,303.6533508300781,STANDARD,-1.2429832418328277e-14,1680.2960205078125,2018-03-01,20,R_A2,303.6533508300781,0,22,1.0
29,31,303.82403564453125,STANDARD,-6.040239592473699e-16,1682.0322265625,2018-03-01,21,R_A2,303.82403564453125,0,22,1.0
29,32,303.9905090332031,STANDARD,-1.3424150842582944e-15,1683.7684326171875,2018-03-01,22,R_A2,303.9905090332031,0,22,1.0
29,33,304.1575012207031,STANDARD,-6.267212129206737e-16,1685.504638671875,2018-03-01,23,R_A2,304.1575012207031,0,22,1.0
20,1,275.4654235839844,STANDARD,-1.1167789537577864e-15,1685.4273681640625,2018-04-28,1,R_A5,275.4654235839844,0,31,1.0
20,2,275.37738037109375,STANDARD,-5.032292619855947e-15,1687.732177734375,2018-04-28,2,R_A5,275.37738037109375,0,31,1.0
20,3,275.5945739746094,STANDARD,-2.9711148109525702e-15,1690.0369873046875,2018-04-28,3,R_A5,275.5945739746094,0,31,1.0
20,4,275.812255859375,STANDARD,-1.7755434760126495e-15,1692.341796875,2018-04-28,4,R_A5,275.812255859375,0,31,1.0
20,5,276.0307922363281,STANDARD,-2.704710099551283e-13,1694.646728515625,2018-04-28,5,R_A5,276.0307922363281,0,31,1.0
20,6,276.2491149902344,STANDARD,-2.6308030190089204e-13,1696.951416015625,2018-04-28,6,R_A5,276.2491149902344,0,31,1.0
20,7,276.78515625,STANDARD,-2.3189707193892704e-14,1699.25634765625,2018-04-28,7,R_A5,276.78515625,0,31,1.0
20,11,280.5086975097656,STANDARD,-3.408318820317252e-13,1708.2957763671875,2018-04-28,8,R_A5,280.5086975097656,0,31,1.0
21,11,278.828369140625,STANDARD,7.672426929894449e-12,1700.190673828125,2018-04-28,9,R_A5,278.828369140625,0,31,1.0
21,12,279.03302001953125,STANDARD,6.243223386187546e-12,1702.04931640625,2018-04-28,10,R_A5,279.03302001953125,0,31,1.0
21,13,279.3604431152344,STANDARD,1.0850111228314502e-13,1703.9080810546875,2018-04-28,11,R_A5,279.3604431152344,0,31,1.0
21,14,279.5491027832031,STANDARD,2.452504887541507e-13,1705.7667236328125,2018-04-28,12,R_A5,279.5491027832031,0,31,1.0
21,15,279.72900390625,STANDARD,6.541196349765105e-14,1707.62548828125,2018-04-28,13,R_A5,279.72900390625,0,31,1.0
21,16,280.0690002441406,STANDARD,3.706738827555581e-14,1709.484130859375,2018-04-28,14,R_A5,280.0690002441406,0,31,1.0
21,17,280.2850341796875,STANDARD,2.6914277081427525e-15,1711.3427734375,2018-04-28,15,R_A5,280.2850341796875,0,31,1.0
21,18,280.490234375,STANDARD,-3.596768285903671e-15,1713.0792236328125,2018-04-28,16,R_A5,280.490234375,0,31,1.0
21,19,280.6202392578125,STANDARD,-5.665996507695989e-15,1714.270263671875,2018-04-28,17,R_A5,280.6202392578125,0,31,1.0
21,29,281.89422607421875,STANDARD,-8.1085702388628e-12,1715.8392333984375,2018-04-28,18,R_A5,281.89422607421875,0,31,1.0
21,30,282.0838928222656,STANDARD,-4.988281489259894e-12,1718.20947265625,2018-04-28,19,R_A5,282.0838928222656,0,31,1.0
21,31,282.3074035644531,STANDARD,-4.176406182693215e-12,1720.579833984375,2018-04-28,20,R_A5,282.3074035644531,0,31,1.0
21,32,284.6735534667969,STANDARD,-9.353255440937205e-16,1722.9501953125,2018-04-28,21,R_A5,284.6735534667969,0,31,1.0
21,33,299.29248046875,STANDARD,1.0949971896720512e-18,1725.3204345703125,2018-04-28,22,R_A5,299.29248046875,0,31,1.0
41,1,277.35260009765625,STANDARD,0.0,1611.6676025390625,2018-07-03,1,R_A3,277.35260009765625,0,28,0.6495075821876526
41,2,277.4859619140625,STANDARD,0.0,1613.7017822265625,2018-07-03,2,R_A3,277.4859619140625,0,28,0.20143342018127441
41,3,277.6213684082031,STANDARD,0.0,1615.736083984375,2018-07-03,3,R_A3,277.6213684082031,0,28,0.19901029765605927
41,4,277.7567138671875,STANDARD,0.0,1617.770263671875,2018-07-03,4,R_A3,277.7567138671875,0,28,0.20937803387641907
41,5,277.86846923828125,STANDARD,0.0,1619.804443359375,2018-07-03,5,R_A3,277.86846923828125,0,28,0.6496856212615967
41,6,277.006591796875,STANDARD,0.0,1606.5789794921875,2018-07-03,6,R_A3,277.006591796875,0,29,0.6495242714881897
41,7,277.1510009765625,STANDARD,0.0,1608.6878662109375,2018-07-03,7,R_A3,277.1510009765625,0,29,0.19740870594978333
41,8,277.2915344238281,STANDARD,0.0,1610.796875,2018-07-03,8,R_A3,277.2915344238281,0,29,0.1977575272321701
41,9,277.5166320800781,STANDARD,0.0,1612.9058837890625,2018-07-03,9,R_A3,277.5166320800781,0,29,0.7941939830780029
41,10,277.7142028808594,STANDARD,0.0,1615.0147705078125,2018-07-03,10,R_A3,277.7142028808594,0,29,0.7968880534172058
41,11,283.1190490722656,STANDARD,0.0,1617.2652587890625,2018-07-03,11,R_A3,283.1190490722656,0,29,0.04658490791916847
41,12,283.27874755859375,STANDARD,0.0,1619.6571044921875,2018-07-03,12,R_A3,283.27874755859375,0,29,0.053052183240652084
41,13,283.43878173828125,STANDARD,0.0,1622.0489501953125,2018-07-03,13,R_A3,283.43878173828125,0,29,0.36290058493614197
41,15,281.3887939453125,STANDARD,0.0,1626.75830078125,2018-07-03,14,R_A3,281.3887939453125,0,29,0.5043070316314697
41,16,281.48138427734375,STANDARD,0.0,1628.766357421875,2018-07-03,15,R_A3,281.48138427734375,0,29,0.7935361862182617
41,17,281.31341552734375,STANDARD,0.0,1629.8314208984375,2018-07-03,16,R_A3,281.31341552734375,0,29,0.7771263718605042
41,29,280.6046142578125,STANDARD,0.0,1631.93798828125,2018-07-03,17,R_A3,280.6046142578125,0,29,0.6636525392532349
41,30,280.931396484375,STANDARD,0.0,1635.7940673828125,2018-07-03,18,R_A3,280.931396484375,0,29,0.047252122312784195
41,31,281.1891784667969,STANDARD,0.0,1639.650146484375,2018-07-03,19,R_A3,281.1891784667969,0,29,0.05103962868452072
41,32,281.44561767578125,STANDARD,0.0,1643.506103515625,2018-07-03,20,R_A3,281.44561767578125,0,29,0.18469379842281342
41,33,281.70220947265625,STANDARD,0.0,1647.3621826171875,2018-07-03,21,R_A3,281.70220947265625,0,29,0.06571128964424133
52,1,281.14849853515625,STANDARD,0.0,1629.65283203125,2018-09-12,1,R_A4,281.14849853515625,0,30,0.04899298772215843
52,1,281.11309814453125,STANDARD,0.0,1627.9898681640625,2018-09-12,2,R_A4,281.11309814453125,0,31,0.048222482204437256
52,2,281.248046875,STANDARD,0.0,1630.01220703125,2018-09-12,3,R_A4,281.248046875,0,31,0.052078135311603546
52,3,281.3829650878906,STANDARD,0.0,1632.0345458984375,2018-09-12,4,R_A4,281.3829650878906,0,31,0.05745813995599747
