CONJPOS,CONIDX,PRESSURE,CONIPOS,SWAT,SGAS,WELLMODEL,DATE,WELL,DRAWDOWN,CONBPRES,CONKPOS,DEPTH
20,4,304.4924011230469,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,304.4924011230469,4,1691.8680419921875
20,5,304.7085266113281,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,304.7085266113281,5,1694.1485595703125
20,6,304.9246520996094,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,304.9246520996094,6,1696.4290771484375
20,7,305.446533203125,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,305.446533203125,7,1698.70947265625
20,8,305.988037109375,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,305.988037109375,11,1707.6488037109375
20,9,306.1695251464844,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,306.1695251464844,12,1709.5638427734375
21,10,305.4322814941406,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,305.4322814941406,12,1701.7845458984375
21,11,305.6291198730469,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,305.6291198730469,13,1703.735107421875
21,12,305.81396484375,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,305.81396484375,14,1705.6856689453125
21,13,305.9988098144531,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,305.9988098144531,15,1707.63623046875
21,14,306.3287048339844,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,306.3287048339844,16,1709.5867919921875
21,15,306.5135498046875,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,306.5135498046875,17,1711.537353515625
21,16,306.6856994628906,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,306.6856994628906,18,1713.35400390625
21,17,306.7843933105469,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,306.7843933105469,19,1714.3951416015625
21,18,306.75689697265625,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,306.75689697265625,27,1715.7628173828125
21,19,306.978271484375,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,306.978271484375,28,1718.098388671875
21,20,307.5054016113281,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,307.5054016113281,29,1720.43408203125
21,21,307.7267761230469,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,307.7267761230469,30,1722.7696533203125
21,22,307.9481506347656,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,307.9481506347656,31,1725.105224609375
